代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12131700.000000000000
真實報酬,2131700.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,35931.535275535272
風險,166014.134551253520
起點值,0.216436602658
找到最佳解世代,2725
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,3
2412(24)[5],2474(26)[2],2881(30)[3],
Stock#,2412(24)[5],2474(26)[2],2881(30)[3],
張數,40,13,76,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,24132.999999999534,25483.000000000000,26573.000000000466,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3336532.999999999500,3446173.000000000000,3333333.000000000000,10116040.000000000000
FS( 3 ),3346932.999999999100,3463983.000000000000,3412373.000000000000,10223290.000000000000
FS( 4 ),3354132.999999999500,3410552.999999999500,3425293.000000000500,10189980.000000000000
FS( 5 ),3354132.999999999500,3339313.000000000000,3405533.000000000500,10098980.000000000000
FS( 6 ),3340132.999999999500,3357122.999999999500,3399453.000000000500,10096710.000000000000
FS( 7 ),3354132.999999999500,3398723.000000000500,3497493.000000000500,10250350.000000000000
FS( 8 ),3354132.999999999500,3398723.000000000500,3491413.000000000500,10244270.000000000000
FS( 9 ),3371333.000000000000,3446173.000000000000,3504333.000000000000,10321840.000000000000
FS( 10 ),3385332.999999999500,3499603.000000000000,3543853.000000000500,10428790.000000000000
FS( 11 ),3444132.999999999500,3511563.000000000500,3675333.000000000000,10631030.000000000000
FS( 12 ),3454532.999999999500,3487773.000000000000,3675333.000000000000,10617640.000000000000
FS( 13 ),3430532.999999999100,3434343.000000000500,3708013.000000000000,10572890.000000000000
FS( 14 ),3423333.000000000000,3458003.000000000500,3701933.000000000500,10583270.000000000000
FS( 15 ),3423333.000000000000,3434343.000000000500,3655573.000000000500,10513250.000000000000
FS( 16 ),3423333.000000000000,3392742.999999999500,3642653.000000000500,10458730.000000000000
FS( 17 ),3423333.000000000000,3458003.000000000500,3603133.000000000900,10484470.000000000000
FS( 18 ),3423333.000000000000,3564992.999999999500,3668493.000000000500,10656820.000000000000
FS( 19 ),3395733.000000000000,3553033.000000000000,3642653.000000000500,10591420.000000000000
FS( 20 ),3399332.999999999500,3553033.000000000000,3747533.000000000500,10699900.000000000000
FS( 21 ),3399332.999999999500,3576823.000000000000,3892693.000000000500,10868850.000000000000
FS( 22 ),3406132.999999999500,3517413.000000000500,3872933.000000000500,10796480.000000000000
FS( 23 ),3440932.999999999500,3458003.000000000500,3761213.000000000500,10660150.000000000000
FS( 24 ),3423333.000000000000,3440193.000000000000,3747533.000000000500,10611060.000000000000
FS( 25 ),3437332.999999999500,3440193.000000000000,3741453.000000000500,10618980.000000000000
FS( 26 ),3444132.999999999500,3517413.000000000500,3839493.000000000500,10801040.000000000000
FS( 27 ),3458132.999999999500,3624402.999999999500,3839493.000000000500,10922030.000000000000
FS( 28 ),3461732.999999999500,3873742.999999999500,3819733.000000000500,11155210.000000000000
FS( 29 ),3451333.000000000000,4123212.999999999500,3774133.000000000900,11348680.000000000000
FS( 30 ),3482532.999999999100,4087593.000000000500,3806813.000000000900,11376940.000000000000
FS( 31 ),3475332.999999999500,4045992.999999999500,3754373.000000000000,11275700.000000000000
FS( 32 ),3485733.000000000000,4022203.000000000000,3787053.000000000000,11294990.000000000000
FS( 33 ),3475332.999999999500,3903513.000000000000,3668493.000000000500,11047340.000000000000
FS( 34 ),3475332.999999999500,3956943.000000000000,3695093.000000000900,11127370.000000000000
FS( 35 ),3475332.999999999500,3921323.000000000000,3721693.000000000500,11118350.000000000000
FS( 36 ),3447733.000000000000,4028183.000000000000,3675333.000000000000,11151250.000000000000
FS( 37 ),3468532.999999999500,4028183.000000000000,3793893.000000000500,11290610.000000000000
FS( 38 ),3451333.000000000000,4307293.000000000000,3787053.000000000000,11545680.000000000000
FS( 39 ),3451333.000000000000,4182622.999999999500,3741453.000000000500,11375410.000000000000
FS( 40 ),3461732.999999999500,4135043.000000000500,3787053.000000000000,11383830.000000000000
FS( 41 ),3475332.999999999500,4182622.999999999500,3819733.000000000500,11477690.000000000000
FS( 42 ),3478932.999999999500,4141023.000000000000,3799973.000000000500,11419930.000000000000
FS( 43 ),3458132.999999999500,4200433.000000000000,3780213.000000000500,11438780.000000000000
FS( 44 ),3406132.999999999500,4170663.000000000500,3714853.000000000500,11291650.000000000000
FS( 45 ),3426932.999999999100,4182622.999999999500,3774133.000000000900,11383690.000000000000
FS( 46 ),3409732.999999999500,4206283.000000000000,3761213.000000000500,11377230.000000000000
FS( 47 ),3416532.999999999500,4194453.000000000000,3806813.000000000900,11417800.000000000000
FS( 48 ),3423333.000000000000,4241903.000000000000,3793893.000000000500,11459130.000000000000
FS( 49 ),3423333.000000000000,4526993.000000000000,3819733.000000000500,11770060.000000000000
FS( 50 ),3451333.000000000000,4479543.000000000000,4082693.000000000500,12013570.000000000000
FS( 51 ),3472132.999999999500,4497353.000000000000,4050013.000000000000,12019500.000000000000
FS( 52 ),3468532.999999999500,4538953.000000000000,4214173.000000000900,12221660.000000000000
FS( 53 ),3468532.999999999500,4491372.999999999100,4332733.000000000000,12292639.999999998000
FS( 54 ),3472132.999999999500,4182622.999999999500,4345653.000000000000,12000410.000000000000
FS( 55 ),3458132.999999999500,4301313.000000000000,4372253.000000000000,12131700.000000000000
