代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11718530.000000000000
真實報酬,1718530.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,27349.059047619048
風險,107581.038468328000
起點值,0.254218210170
找到最佳解世代,1807
找到最佳解實驗#,3
找到最佳解次數,6

投資組合檔數,5
2227(10)[4],2317(15)[3],2354(18)[7],2886(35)[2],6505(47)[10],
Stock#,2227(10)[4],2317(15)[3],2354(18)[7],2886(35)[2],6505(47)[10],
張數,9,30,28,98,32,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,40879.999999999767,10699.999999999767,45040.000000000233,5699.999999999767,56640.000000000000,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),1982629.999999999800,1981699.999999999800,1985160.000000000500,2024500.000000000000,1988480.000000000000,9962470.000000000000
FS( 3 ),2017279.999999999500,2027299.999999999800,2005040.000000000200,2016659.999999999800,2000000.000000000000,10066280.000000000000
FS( 4 ),2010349.999999999800,2032099.999999999500,2039760.000000000000,2003919.999999999800,1980160.000000000000,10066290.000000000000
FS( 5 ),2117630.000000000000,2038999.999999999800,2061880.000000000500,2024500.000000000000,1997120.000000000000,10240130.000000000000
FS( 6 ),2114210.000000000000,2015899.999999999800,2039760.000000000000,2007839.999999999500,2002880.000000000000,10180590.000000000000
FS( 7 ),2086489.999999999800,2000000.000000000000,2017360.000000000200,2007839.999999999500,2005760.000000000000,10117450.000000000000
FS( 8 ),2093419.999999999800,2004499.999999999500,2024920.000000000000,2012739.999999999800,1983040.000000000000,10118620.000000000000
FS( 9 ),2069209.999999999800,2000000.000000000000,2032200.000000000000,2056839.999999999500,2002880.000000000000,10161130.000000000000
FS( 10 ),2062279.999999999500,2020699.999999999800,2017360.000000000200,2041159.999999999800,1991360.000000000000,10132860.000000000000
FS( 11 ),2024209.999999999800,2004499.999999999500,2005040.000000000200,2032339.999999999500,1985920.000000000000,10052009.999999998000
FS( 12 ),2034559.999999999800,2004499.999999999500,2024920.000000000000,2045079.999999999500,1994240.000000000000,10103299.999999998000
FS( 13 ),2062279.999999999500,2018300.000000000000,2027440.000000000000,2094079.999999999500,2014400.000000000000,10216500.000000000000
FS( 14 ),2107280.000000000000,2091500.000000000000,2052080.000000000500,2113680.000000000000,2037440.000000000000,10401980.000000000000
FS( 15 ),2131490.000000000000,2134700.000000000000,2116480.000000000000,2098000.000000000000,2023040.000000000000,10503710.000000000000
FS( 16 ),2117630.000000000000,2146100.000000000000,2123760.000000000000,2113680.000000000000,2008640.000000000000,10509810.000000000000
FS( 17 ),2186840.000000000000,2141600.000000000000,2106680.000000000000,2109760.000000000000,1988480.000000000000,10533360.000000000000
FS( 18 ),2166139.999999999100,2166800.000000000000,2086800.000000000200,2081339.999999999500,1991360.000000000000,10492439.999999998000
FS( 19 ),2173070.000000000000,2166800.000000000000,2111440.000000000000,2081339.999999999500,2031680.000000000000,10564330.000000000000
FS( 20 ),2173070.000000000000,2134700.000000000000,2079240.000000000500,2045079.999999999500,2043200.000000000000,10475290.000000000000
FS( 21 ),2128070.000000000000,2157500.000000000000,2111440.000000000000,2094079.999999999500,2046080.000000000000,10537170.000000000000
FS( 22 ),2138420.000000000000,2102899.999999999500,2123760.000000000000,2118579.999999999100,2023040.000000000000,10506700.000000000000
FS( 23 ),2124560.000000000000,2105000.000000000000,2136360.000000000000,2105840.000000000000,1997120.000000000000,10468880.000000000000
FS( 24 ),2117630.000000000000,2139499.999999999100,2175840.000000000000,2118579.999999999100,2005760.000000000000,10557309.999999998000
FS( 25 ),2145350.000000000000,2148500.000000000000,2227920.000000000000,2126420.000000000000,2080640.000000000000,10728830.000000000000
FS( 26 ),2128070.000000000000,2150900.000000000000,2217840.000000000000,2109760.000000000000,2123520.000000000000,10730090.000000000000
FS( 27 ),2128070.000000000000,2134700.000000000000,2210560.000000000000,2113680.000000000000,2112000.000000000000,10699010.000000000000
FS( 28 ),2138420.000000000000,2137099.999999999100,2222880.000000000000,2130340.000000000000,2140800.000000000000,10769540.000000000000
FS( 29 ),2103769.999999999500,2132600.000000000000,2198240.000000000900,2147000.000000000000,2155200.000000000000,10736810.000000000000
FS( 30 ),2117630.000000000000,2152999.999999999100,2203000.000000000000,2138180.000000000000,2132160.000000000000,10743970.000000000000
FS( 31 ),2076139.999999999500,2114300.000000000000,2178360.000000000000,2122500.000000000000,2112000.000000000000,10603300.000000000000
FS( 32 ),2058769.999999999800,2141600.000000000000,2217840.000000000000,2154840.000000000000,2184000.000000000000,10757050.000000000000
FS( 33 ),2072629.999999999800,2118800.000000000000,2210560.000000000000,2138180.000000000000,2192320.000000000000,10732490.000000000000
FS( 34 ),2100350.000000000000,2130200.000000000000,2198240.000000000900,2143079.999999999100,2209600.000000000000,10781470.000000000000
FS( 35 ),2086489.999999999800,2114300.000000000000,2200480.000000000000,2143079.999999999100,2212480.000000000000,10756830.000000000000
FS( 36 ),2086489.999999999800,2111900.000000000000,2217840.000000000000,2158760.000000000000,2255680.000000000000,10830670.000000000000
FS( 37 ),2114210.000000000000,2141600.000000000000,2220360.000000000000,2305760.000000000000,2312960.000000000000,11094890.000000000000
FS( 38 ),2121139.999999999500,2171300.000000000000,2227920.000000000000,2305760.000000000000,2341760.000000000000,11167880.000000000000
FS( 39 ),2152280.000000000000,2173700.000000000000,2269920.000000000000,2285180.000000000000,2393280.000000000000,11274360.000000000000
FS( 40 ),2124560.000000000000,2148500.000000000000,2272440.000000000000,2289100.000000000000,2396160.000000000000,11230760.000000000000
FS( 41 ),2200699.999999999100,2114300.000000000000,2208040.000000000000,2260680.000000000000,2407680.000000000000,11191400.000000000000
FS( 42 ),2245699.999999999100,2111900.000000000000,2210560.000000000000,2228340.000000000000,2324480.000000000000,11120980.000000000000
FS( 43 ),2231840.000000000000,2137099.999999999100,2198240.000000000900,2207760.000000000000,2367680.000000000000,11142620.000000000000
FS( 44 ),2269909.999999999100,2137099.999999999100,2200480.000000000000,2207760.000000000000,2390400.000000000000,11205649.999999998000
FS( 45 ),2311490.000000000000,2134700.000000000000,2203000.000000000000,2240100.000000000000,2390400.000000000000,11279690.000000000000
FS( 46 ),2297630.000000000000,2114300.000000000000,2232680.000000000000,2232260.000000000000,2364800.000000000000,11241670.000000000000
FS( 47 ),2276840.000000000000,2127800.000000000000,2240240.000000000900,2219520.000000000000,2338880.000000000000,11203280.000000000000
FS( 48 ),2276840.000000000000,2139499.999999999100,2299600.000000000000,2196000.000000000000,2344640.000000000000,11256580.000000000000
FS( 49 ),2408420.000000000000,2127800.000000000000,2282240.000000000900,2224420.000000000000,2382080.000000000000,11424960.000000000000
FS( 50 ),2401490.000000000000,2169200.000000000000,2368760.000000000000,2268520.000000000000,2367680.000000000000,11575650.000000000000
FS( 51 ),2359910.000000000000,2150900.000000000000,2368760.000000000000,2196000.000000000000,2341760.000000000000,11417330.000000000000
FS( 52 ),2332280.000000000000,2137099.999999999100,2336840.000000000000,2215600.000000000000,2241280.000000000000,11263100.000000000000
FS( 53 ),2304560.000000000000,2221700.000000000000,2438200.000000000000,2247940.000000000000,2264320.000000000000,11476720.000000000000
FS( 54 ),2321840.000000000000,2257999.999999999100,2505120.000000000000,2240100.000000000000,2356160.000000000000,11681220.000000000000
FS( 55 ),2283770.000000000000,2237600.000000000000,2485240.000000000900,2252840.000000000000,2318720.000000000000,11578170.000000000000
FS( 56 ),2290699.999999999100,2226200.000000000000,2482720.000000000900,2203840.000000000000,2298560.000000000000,11502020.000000000000
FS( 57 ),2262980.000000000000,2214800.000000000000,2544600.000000000000,2199920.000000000000,2312960.000000000000,11535260.000000000000
FS( 58 ),2266490.000000000000,2223800.000000000000,2693000.000000000000,2179340.000000000000,2267200.000000000000,11629830.000000000000
FS( 59 ),2290699.999999999100,2235200.000000000000,2668360.000000000000,2219520.000000000000,2284480.000000000000,11698260.000000000000
FS( 60 ),2283770.000000000000,2235200.000000000000,2705320.000000000000,2236180.000000000000,2252800.000000000000,11713270.000000000000
FS( 61 ),2301139.999999999100,2255900.000000000000,2717920.000000000000,2224420.000000000000,2215360.000000000000,11714740.000000000000
FS( 62 ),2269909.999999999100,2274200.000000000000,2717920.000000000000,2244020.000000000000,2212480.000000000000,11718530.000000000000
