代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10869277.500000000000
真實報酬,869277.500000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,14502.114850798056
風險,178560.134067392700
起點值,0.081216980075
找到最佳解世代,1567
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,4
2412(24)[1],2912(40)[2],3045(41)[6],9999(49)[12],
Stock#,2412(24)[1],2912(40)[2],3045(41)[6],9999(49)[12],
張數,37,18,42,-1,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,52080.000000000000,113200.000000000470,21580.000000000000,2500000.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2515540.000000000000,2529520.000000000500,2535280.000000000500,2500000.000000000000,10080340.000000000000
FS( 3 ),2538850.000000000000,2522140.000000000500,2628100.000000000000,2500000.000000000000,10189090.000000000000
FS( 4 ),2582880.000000000000,2463100.000000000500,2608780.000000000500,2500000.000000000000,10154760.000000000000
FS( 5 ),2582880.000000000000,2477860.000000000500,2592820.000000000000,2500000.000000000000,10153560.000000000000
FS( 6 ),2562160.000000000000,2433400.000000000900,2573500.000000000000,2500000.000000000000,10069060.000000000000
FS( 7 ),2556980.000000000000,2374360.000000000500,2573500.000000000000,2500000.000000000000,10004840.000000000000
FS( 8 ),2582880.000000000000,2411260.000000000500,2599120.000000000000,2500000.000000000000,10093260.000000000000
FS( 9 ),2603600.000000000000,2463100.000000000500,2618440.000000000000,2500000.000000000000,10185140.000000000000
FS( 10 ),2623950.000000000500,2381740.000000000500,2714200.000000000000,2500000.000000000000,10219890.000000000000
FS( 11 ),2613590.000000000000,2396500.000000000000,2675980.000000000000,2500000.000000000000,10186070.000000000000
FS( 12 ),2613590.000000000000,2403880.000000000900,2653300.000000000000,2500000.000000000000,10170770.000000000000
FS( 13 ),2580290.000000000000,2403880.000000000900,2653300.000000000000,2500000.000000000000,10137470.000000000000
FS( 14 ),2608410.000000000000,2426020.000000000500,2688580.000000000000,2500000.000000000000,10223010.000000000000
FS( 15 ),2595830.000000000000,2396500.000000000000,2726800.000000000000,2500000.000000000000,10219130.000000000000
FS( 16 ),2601010.000000000000,2500000.000000000000,2644060.000000000000,2500000.000000000000,10245070.000000000000
FS( 17 ),2593240.000000000500,2514760.000000000500,2631040.000000000000,2500000.000000000000,10239040.000000000000
FS( 18 ),2572520.000000000000,2477860.000000000500,2592820.000000000000,2500000.000000000000,10143200.000000000000
FS( 19 ),2564750.000000000000,2470480.000000000500,2596180.000000000000,2500000.000000000000,10131410.000000000000
FS( 20 ),2595830.000000000000,2485240.000000000500,2637340.000000000000,2500000.000000000000,10218410.000000000000
FS( 21 ),2608410.000000000000,2566420.000000000500,2639440.000000000000,2500000.000000000000,10314270.000000000000
FS( 22 ),2665390.000000000000,2647780.000000000500,2615920.000000000000,2500000.000000000000,10429090.000000000000
FS( 23 ),2665390.000000000000,2640400.000000000900,2575600.000000000000,2500000.000000000000,10381390.000000000000
FS( 24 ),2691290.000000000000,2728960.000000000000,2545360.000000000000,2500000.000000000000,10465610.000000000000
FS( 25 ),2730140.000000000000,2743720.000000000000,2582320.000000000000,2500000.000000000000,10556180.000000000000
FS( 26 ),2717190.000000000000,2714200.000000000500,2578960.000000000000,2500000.000000000000,10510350.000000000000
FS( 27 ),2730140.000000000000,2728960.000000000000,2578960.000000000000,2500000.000000000000,10538060.000000000000
FS( 28 ),2691290.000000000000,2728960.000000000000,2582320.000000000000,2500000.000000000000,10502570.000000000000
FS( 29 ),2717190.000000000000,2706820.000000000500,2562160.000000000000,2500000.000000000000,10486170.000000000000
FS( 30 ),2768990.000000000500,2758660.000000000500,2552080.000000000000,2500000.000000000000,10579730.000000000000
FS( 31 ),2756040.000000000000,2736340.000000000500,2565520.000000000000,2500000.000000000000,10557900.000000000000
FS( 32 ),2781940.000000000000,2773420.000000000500,2578960.000000000000,2500000.000000000000,10634320.000000000000
FS( 33 ),2846690.000000000000,2795560.000000000500,2629360.000000000000,2500000.000000000000,10771610.000000000000
FS( 34 ),2885540.000000000000,2854600.000000000500,2605840.000000000000,2500000.000000000000,10845980.000000000000
FS( 35 ),2898490.000000000500,2965480.000000000500,2612560.000000000000,2500000.000000000000,10976530.000000000000
FS( 36 ),2885540.000000000000,2906440.000000000900,2612560.000000000000,2500000.000000000000,10904540.000000000000
FS( 37 ),2765660.000000000000,2884120.000000000500,2612560.000000000000,2500000.000000000000,10762340.000000000000
FS( 38 ),2724590.000000000000,2736340.000000000500,2609200.000000000000,2500000.000000000000,10570130.000000000000
FS( 39 ),2770840.000000000000,2788180.000000000900,2609200.000000000000,2500000.000000000000,10668220.000000000000
FS( 40 ),2760109.999999999500,2906440.000000000900,2609200.000000000000,2500000.000000000000,10775750.000000000000
FS( 41 ),2776390.000000000000,2906440.000000000900,2632720.000000000000,2500000.000000000000,10815550.000000000000
FS( 42 ),2776390.000000000000,2839840.000000000500,2690260.000000000000,2500000.000000000000,10806490.000000000000
FS( 43 ),2776390.000000000000,2884120.000000000500,2821300.000000000000,2500000.000000000000,10981810.000000000000
FS( 44 ),2770840.000000000000,2869360.000000000500,2777620.000000000000,2500000.000000000000,10917820.000000000000
FS( 45 ),2768250.000000000000,2773420.000000000500,2754100.000000000000,2500000.000000000000,10795770.000000000000
FS( 46 ),2776390.000000000000,2764240.000000000500,2757460.000000000000,2500000.000000000000,10798090.000000000000
FS( 47 ),2724590.000000000000,2733820.000000000500,2673040.000000000000,2500000.000000000000,10631450.000000000000
FS( 48 ),2632090.000000000000,2673160.000000000500,2535280.000000000500,2500000.000000000000,10340530.000000000000
FS( 49 ),2632090.000000000000,2726260.000000000500,2511760.000000000000,2500000.000000000000,10370110.000000000000
FS( 50 ),2662060.000000000000,2779360.000000000500,2531920.000000000000,2500000.000000000000,10473340.000000000000
FS( 51 ),2662060.000000000000,2764240.000000000500,2545360.000000000000,2500000.000000000000,10471660.000000000000
FS( 52 ),2664650.000000000000,2703400.000000000900,2602480.000000000000,2500000.000000000000,10470530.000000000000
