代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10966166.666425001000
真實報酬,966166.666425000880

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,17642.185450035780
風險,77641.010956865328
起點值,0.227227662708
找到最佳解世代,1840
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,9
1216(2)[4],2303(12)[3],2330(18)[9],2408(23)[5],2881(31)[16],2884(34)[7],2912(41)[14],5880(47)[1],9999(50)[26],
Stock#,1216(2)[4],2303(12)[3],2330(18)[9],2408(23)[5],2881(31)[16],2884(34)[7],2912(41)[14],5880(47)[1],9999(50)[26],
張數,19,81,5,17,23,63,4,72,-1,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,30201.000000000000,5461.000000000000,51111.000000000000,40111.000000000000,34711.000000000233,1681.000000000000,105111.000000000000,7351.000000000000,1111111.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1107501.000000000000,1111111.000000000000,1131111.000000000000,1097511.000000000000,1118011.000000000200,1113630.999999999800,1133111.000000000000,1118311.000000000000,1111111.000000000000,10041410.000000000000
FS( 3 ),1122701.000000000000,1090861.000000000000,1118611.000000000000,1094111.000000000000,1121461.000000000200,1111111.000000000000,1121111.000000000000,1114711.000000000200,1111111.000000000000,10005790.000000000000
FS( 4 ),1128401.000000000000,1127311.000000000000,1116111.000000000000,1089011.000000000000,1123761.000000000200,1122451.000000000000,1113111.000000000000,1121191.000000000200,1111111.000000000000,10052460.000000000000
FS( 5 ),1120801.000000000000,1131361.000000000000,1131111.000000000000,1094111.000000000000,1135261.000000000200,1128120.999999999800,1109111.000000000000,1131271.000000000000,1111111.000000000000,10092260.000000000000
FS( 6 ),1124601.000000000000,1139461.000000000000,1138611.000000000000,1114511.000000000000,1143311.000000000500,1122451.000000000000,1119111.000000000000,1131271.000000000000,1111111.000000000000,10144440.000000000000
FS( 7 ),1120801.000000000000,1131361.000000000000,1123611.000000000000,1097511.000000000000,1141011.000000000200,1138831.000000000000,1119111.000000000000,1124791.000000000000,1111111.000000000000,10108140.000000000000
FS( 8 ),1128401.000000000000,1139461.000000000000,1121111.000000000000,1068611.000000000000,1120311.000000000500,1132531.000000000000,1117111.000000000000,1111111.000000000000,1111111.000000000000,10049760.000000000000
FS( 9 ),1126501.000000000000,1143511.000000000000,1113611.000000000000,1061811.000000000000,1122611.000000000000,1129380.999999999800,1115111.000000000000,1114711.000000000200,1111111.000000000000,10038360.000000000000
FS( 10 ),1122701.000000000000,1143511.000000000000,1106111.000000000000,1092411.000000000000,1115711.000000000200,1119931.000000000000,1115111.000000000000,1104631.000000000000,1111111.000000000000,10031230.000000000000
FS( 11 ),1153101.000000000000,1147561.000000000000,1121111.000000000000,1095811.000000000000,1126061.000000000500,1123081.000000000000,1119111.000000000000,1104631.000000000000,1111111.000000000000,10101580.000000000000
