代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10996360.000000000000
真實報酬,996360.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19141.651384833905
風險,146369.175668748590
起點值,0.130776519697
找到最佳解世代,1509
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,3
2325(16)[2],2412(24)[3],6505(47)[1],
Stock#,2325(16)[2],2412(24)[3],6505(47)[1],
張數,82,36,48,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,34473.000000000466,52293.000000000000,42933.000000000466,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3333333.000000000000,3307052.999999999500,3377013.000000000500,10017400.000000000000
FS( 3 ),3333333.000000000000,3293733.000000000000,3372693.000000000500,9999760.000000000000
FS( 4 ),3333333.000000000000,3303812.999999999500,3329013.000000000500,9966160.000000000000
FS( 5 ),3377613.000000000900,3303812.999999999500,3316053.000000000500,9997480.000000000000
FS( 6 ),3370233.000000000000,3290493.000000000500,3268053.000000000500,9928780.000000000000
FS( 7 ),3304633.000000000900,3284013.000000000000,3268053.000000000500,9856700.000000001900
FS( 8 ),3384993.000000000500,3287253.000000000000,3263733.000000000000,9935980.000000000000
FS( 9 ),3370233.000000000000,3270693.000000000000,3242133.000000000900,9883060.000000000000
FS( 10 ),3373513.000000000500,3264213.000000000000,3272373.000000000500,9910100.000000000000
FS( 11 ),3707253.000000000000,3270693.000000000000,3298773.000000000500,10276720.000000000000
FS( 12 ),3626893.000000000500,3270693.000000000000,3394293.000000000000,10291880.000000000000
FS( 13 ),3689213.000000000900,3284013.000000000000,3425013.000000000500,10398240.000000002000
FS( 14 ),3678553.000000000500,3287253.000000000000,3415893.000000000500,10381700.000000000000
FS( 15 ),3773673.000000000900,3277533.000000000500,3411573.000000000900,10462780.000000004000
FS( 16 ),3707253.000000000000,3316773.000000000500,3425013.000000000500,10449040.000000000000
FS( 17 ),3868793.000000000000,3316773.000000000500,3437973.000000000500,10623540.000000000000
FS( 18 ),3868793.000000000000,3316773.000000000500,3520533.000000000900,10706100.000000000000
FS( 19 ),3876173.000000000900,3320013.000000000000,3520533.000000000900,10716720.000000002000
FS( 20 ),3854033.000000000500,3320013.000000000000,3468213.000000000000,10642260.000000000000
FS( 21 ),3831893.000000000500,3303812.999999999500,3455253.000000000500,10590960.000000000000
FS( 22 ),3831893.000000000500,3307052.999999999500,3420213.000000000000,10559160.000000000000
FS( 23 ),3868793.000000000000,3307052.999999999500,3472533.000000000900,10648380.000000000000
FS( 24 ),3817133.000000000900,3277533.000000000500,3389973.000000000500,10484640.000000002000
FS( 25 ),3831893.000000000500,3296973.000000000000,3364053.000000000500,10492920.000000000000
FS( 26 ),3846653.000000000900,3293733.000000000000,3394293.000000000000,10534680.000000000000
FS( 27 ),3861413.000000000500,3310293.000000000000,3359733.000000000000,10531440.000000000000
FS( 28 ),3803193.000000000900,3316773.000000000500,3350613.000000000500,10470580.000000002000
FS( 29 ),3803193.000000000900,3336573.000000000000,3350613.000000000500,10490380.000000002000
FS( 30 ),3868793.000000000000,3369333.000000000000,3389973.000000000500,10628100.000000000000
FS( 31 ),3883553.000000000500,3385893.000000000000,3476853.000000000500,10746300.000000000000
FS( 32 ),3876173.000000000900,3418653.000000000000,3481173.000000000500,10776000.000000002000
FS( 33 ),3898313.000000000000,3369333.000000000000,3472533.000000000900,10740180.000000000000
FS( 34 ),3861413.000000000500,3336573.000000000000,3481173.000000000500,10679160.000000000000
FS( 35 ),3861413.000000000500,3385893.000000000000,3450933.000000000500,10698240.000000000000
FS( 36 ),3876173.000000000900,3385893.000000000000,3476853.000000000500,10738920.000000002000
FS( 37 ),3846653.000000000900,3352773.000000000500,3476853.000000000500,10676280.000000002000
FS( 38 ),3809753.000000000000,3352773.000000000500,3516213.000000000000,10678740.000000000000
FS( 39 ),3795813.000000000000,3402092.999999999500,3568533.000000000900,10766440.000000000000
FS( 40 ),3846653.000000000900,3402092.999999999500,3568533.000000000900,10817280.000000000000
FS( 41 ),3839273.000000000000,3402092.999999999500,3533493.000000000500,10774860.000000000000
FS( 42 ),3773673.000000000900,3418653.000000000000,3524853.000000000500,10717180.000000002000
FS( 43 ),3803193.000000000900,3435213.000000000000,3611733.000000000000,10850140.000000000000
FS( 44 ),3795813.000000000000,3418653.000000000000,3607413.000000000900,10821880.000000000000
FS( 45 ),3839273.000000000000,3435213.000000000000,3633813.000000000500,10908300.000000000000
FS( 46 ),3824513.000000000500,3435213.000000000000,3629493.000000000500,10889220.000000000000
FS( 47 ),3839273.000000000000,3435213.000000000000,3542133.000000000900,10816620.000000000000
FS( 48 ),3839273.000000000000,3484173.000000000000,3550773.000000000500,10874220.000000000000
FS( 49 ),3803193.000000000900,3500733.000000000000,3546453.000000000000,10850380.000000000000
FS( 50 ),3831893.000000000500,3517293.000000000000,3568533.000000000900,10917720.000000000000
FS( 51 ),3839273.000000000000,3484173.000000000000,3655413.000000000900,10978860.000000000000
FS( 52 ),3868793.000000000000,3500733.000000000000,3655413.000000000900,11024940.000000000000
