代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10625073.075250000000
真實報酬,625073.075249999760

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11944.791124633834
風險,63470.232606968413
起點值,0.188195168570
找到最佳解世代,1914
找到最佳解實驗#,1
找到最佳解次數,27

投資組合檔數,13
1402(6)[4],2311(14)[7],2325(17)[11],2357(20)[8],2408(23)[6],2454(26)[2],2881(31)[18],2885(35)[9],2890(38)[1],2912(41)[5],3008(42)[39],6505(48)[20],9999(50)[15],
Stock#,1402(6)[4],2311(14)[7],2325(17)[11],2357(20)[8],2408(23)[6],2454(26)[2],2881(31)[18],2885(35)[9],2890(38)[1],2912(41)[5],3008(42)[39],6505(48)[20],9999(50)[15],
張數,31,21,16,3,11,2,15,58,85,3,0,7,-1,
分配資金,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,
剩餘資金,20580.000000000000,4830.000000000000,6030.000000000000,8730.000000000000,60829.999999999884,225230.000000000000,45480.000000000000,3630.000000000116,5929.999999999884,7230.000000000000,769230.000000000000,23730.000000000000,769230.000000000000,
FS( 1 ),769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,10000000.000000000000
FS( 2 ),772330.000000000000,771330.000000000000,762030.000000000000,763230.000000000000,764829.999999999880,767230.000000000000,764730.000000000000,760530.000000000230,774329.999999999880,764730.000000000000,769230.000000000000,776230.000000000000,769230.000000000000,9980000.000000000000
FS( 3 ),780080.000000000000,768180.000000000000,763630.000000000000,761730.000000000000,759329.999999999880,784230.000000000000,766980.000000000000,760530.000000000230,776029.999999999880,757230.000000000000,769230.000000000000,779730.000000000000,769230.000000000000,9996150.000000000000
FS( 4 ),775430.000000000000,773430.000000000000,762830.000000000000,746730.000000000000,753829.999999999880,768230.000000000000,759480.000000000000,760530.000000000230,776029.999999999880,757230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,9941450.000000000000
FS( 5 ),775430.000000000000,775530.000000000000,765230.000000000000,743730.000000000000,746129.999999999880,770230.000000000000,757230.000000000000,757630.000000000120,776029.999999999880,751230.000000000000,769230.000000000000,772730.000000000000,769230.000000000000,9929600.000000000000
FS( 6 ),776980.000000000000,781830.000000000000,767630.000000000000,749730.000000000000,770329.999999999880,774230.000000000000,760230.000000000000,766330.000000000120,775180.000000000000,755730.000000000000,769230.000000000000,772730.000000000000,769230.000000000000,9989400.000000000000
FS( 7 ),775430.000000000000,773430.000000000000,767630.000000000000,752730.000000000000,767029.999999999880,783230.000000000000,755730.000000000000,769230.000000000000,776879.999999999880,772230.000000000000,769230.000000000000,765730.000000000000,769230.000000000000,9997750.000000000000
FS( 8 ),776980.000000000000,773430.000000000000,769230.000000000000,773730.000000000000,808829.999999999880,776230.000000000000,757980.000000000000,775030.000000000230,776879.999999999880,767730.000000000000,769230.000000000000,772730.000000000000,769230.000000000000,10067250.000000000000
FS( 9 ),775430.000000000000,752430.000000000000,762030.000000000000,766230.000000000000,790129.999999999880,775230.000000000000,751980.000000000000,766330.000000000120,776029.999999999880,758730.000000000000,769230.000000000000,758730.000000000000,769230.000000000000,9971750.000000000000
FS( 10 ),775430.000000000000,755580.000000000000,767630.000000000000,770730.000000000000,816529.999999999880,799230.000000000000,751980.000000000000,766330.000000000120,776029.999999999880,755730.000000000000,769230.000000000000,765730.000000000000,769230.000000000000,10039400.000000000000
FS( 11 ),776980.000000000000,756630.000000000000,770030.000000000000,776730.000000000000,891329.999999999880,809230.000000000000,747480.000000000000,775030.000000000230,775180.000000000000,763230.000000000000,769230.000000000000,765730.000000000000,769230.000000000000,10146050.000000000000
FS( 12 ),798680.000000000000,776580.000000000000,768430.000000000000,770730.000000000000,938629.999999999880,810230.000000000000,751980.000000000000,789530.000000000230,781980.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,10263700.000000000000
FS( 13 ),798680.000000000000,777630.000000000000,767630.000000000000,769230.000000000000,906730.000000000000,811230.000000000000,749730.000000000000,777930.000000000120,782830.000000000000,758730.000000000000,769230.000000000000,758730.000000000000,769230.000000000000,10197550.000000000000
FS( 14 ),792480.000000000000,783930.000000000000,769230.000000000000,776730.000000000000,946329.999999999880,805230.000000000000,744480.000000000000,769230.000000000000,780279.999999999770,760230.000000000000,769230.000000000000,762230.000000000000,769230.000000000000,10228850.000000000000
FS( 15 ),794029.999999999880,783930.000000000000,766030.000000000000,779730.000000000000,1002429.999999999800,812230.000000000000,747480.000000000000,775030.000000000230,777729.999999999880,758730.000000000000,769230.000000000000,758730.000000000000,769230.000000000000,10294550.000000000000
FS( 16 ),778529.999999999880,775530.000000000000,766830.000000000000,770730.000000000000,984829.999999999880,797230.000000000000,746730.000000000000,769230.000000000000,780279.999999999770,761730.000000000000,769230.000000000000,755230.000000000000,769230.000000000000,10225350.000000000000
FS( 17 ),775430.000000000000,770280.000000000000,770030.000000000000,766230.000000000000,984829.999999999880,796230.000000000000,743730.000000000000,763430.000000000120,780279.999999999770,755730.000000000000,769230.000000000000,762230.000000000000,769230.000000000000,10206900.000000000000
FS( 18 ),770779.999999999880,766080.000000000000,769230.000000000000,766230.000000000000,946329.999999999880,789230.000000000000,748980.000000000000,760530.000000000230,779429.999999999880,763230.000000000000,769230.000000000000,758730.000000000000,769230.000000000000,10157250.000000000000
FS( 19 ),773880.000000000120,771330.000000000000,777230.000000000000,758730.000000000000,984829.999999999880,800230.000000000000,750480.000000000000,760530.000000000230,778579.999999999880,772230.000000000000,769230.000000000000,765730.000000000000,769230.000000000000,10232250.000000000000
FS( 20 ),764580.000000000000,772380.000000000000,780430.000000000000,751230.000000000000,1004629.999999999900,807230.000000000000,750480.000000000000,754730.000000000000,776029.999999999880,758730.000000000000,769230.000000000000,755230.000000000000,769230.000000000000,10214150.000000000000
FS( 21 ),764580.000000000000,783930.000000000000,782030.000000000000,757230.000000000000,1004629.999999999900,794230.000000000000,754980.000000000000,760530.000000000230,777729.999999999880,773730.000000000000,769230.000000000000,755230.000000000000,769230.000000000000,10247300.000000000000
FS( 22 ),767680.000000000000,784980.000000000000,781230.000000000000,752730.000000000000,1010129.999999999900,808230.000000000000,753480.000000000000,763430.000000000120,777729.999999999880,770730.000000000000,769230.000000000000,765730.000000000000,769230.000000000000,10274550.000000000000
FS( 23 ),769230.000000000000,786030.000000000000,774030.000000000000,749730.000000000000,1058530.000000000000,801230.000000000000,757230.000000000000,763430.000000000120,780279.999999999770,769230.000000000000,769230.000000000000,772730.000000000000,769230.000000000000,10320150.000000000000
FS( 24 ),766130.000000000120,788130.000000000000,781230.000000000000,739230.000000000000,1037629.999999999900,801230.000000000000,753480.000000000000,766330.000000000120,781129.999999999770,764730.000000000000,769230.000000000000,772730.000000000000,769230.000000000000,10290450.000000000000
FS( 25 ),770779.999999999880,788130.000000000000,782830.000000000000,751230.000000000000,1021129.999999999900,795230.000000000000,751980.000000000000,763430.000000000120,783679.999999999880,766230.000000000000,769230.000000000000,772730.000000000000,769230.000000000000,10285850.000000000000
FS( 26 ),775430.000000000000,793380.000000000000,782030.000000000000,755730.000000000000,993629.999999999880,807230.000000000000,754980.000000000000,769230.000000000000,784529.999999999880,769230.000000000000,769230.000000000000,776230.000000000000,769230.000000000000,10300100.000000000000
FS( 27 ),781630.000000000120,796530.000000000000,779630.000000000000,749730.000000000000,1004629.999999999900,837230.000000000000,756480.000000000000,775030.000000000230,786229.999999999880,790230.000000000000,769230.000000000000,772730.000000000000,769230.000000000000,10368550.000000000000
FS( 28 ),776980.000000000000,804930.000000000000,785230.000000000000,760230.000000000000,1005730.000000000000,832230.000000000000,757230.000000000000,780830.000000000120,785379.999999999880,787230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,10383700.000000000000
FS( 29 ),787830.000000000000,803880.000000000000,784430.000000000000,761730.000000000000,1018929.999999999800,869230.000000000000,760230.000000000000,780830.000000000120,785379.999999999880,787230.000000000000,769230.000000000000,762230.000000000000,769230.000000000000,10440400.000000000000
FS( 30 ),789380.000000000120,801780.000000000000,786030.000000000000,761730.000000000000,1038730.000000000000,877230.000000000000,762480.000000000000,777930.000000000120,789629.999999999880,788730.000000000000,769230.000000000000,762230.000000000000,769230.000000000000,10474350.000000000000
FS( 31 ),792480.000000000000,794430.000000000000,782030.000000000000,763230.000000000000,1006829.999999999900,867230.000000000000,762480.000000000000,777930.000000000120,794729.999999999880,788730.000000000000,769230.000000000000,762230.000000000000,769230.000000000000,10430800.000000000000
FS( 32 ),792480.000000000000,793380.000000000000,779630.000000000000,779730.000000000000,1009029.999999999900,854230.000000000000,754980.000000000000,766330.000000000120,791329.999999999880,794730.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,10423550.000000000000
FS( 33 ),790930.000000000000,788130.000000000000,778830.000000000000,778230.000000000000,1012329.999999999900,858230.000000000000,753480.000000000000,775030.000000000230,792179.999999999880,799230.000000000000,769230.000000000000,765730.000000000000,769230.000000000000,10430800.000000000000
FS( 34 ),789380.000000000120,777630.000000000000,775630.000000000000,782730.000000000000,1022230.000000000000,851230.000000000000,754230.000000000000,769230.000000000000,793029.999999999880,809730.000000000000,769230.000000000000,758730.000000000000,769230.000000000000,10422250.000000000000
FS( 35 ),797130.000000000120,798630.000000000000,774030.000000000000,773730.000000000000,1023329.999999999900,866230.000000000000,754980.000000000000,777930.000000000120,792179.999999999880,830730.000000000000,769230.000000000000,755230.000000000000,769230.000000000000,10482600.000000000000
FS( 36 ),806430.000000000000,791280.000000000000,777230.000000000000,776730.000000000000,1013429.999999999800,868230.000000000000,753480.000000000000,775030.000000000230,793879.999999999770,827730.000000000000,769230.000000000000,758730.000000000000,769230.000000000000,10480650.000000000000
FS( 37 ),828130.000000000120,794430.000000000000,775630.000000000000,778230.000000000000,1007929.999999999800,881230.000000000000,757980.000000000000,775030.000000000230,793879.999999999770,829230.000000000000,769230.000000000000,762230.000000000000,769230.000000000000,10522400.000000000000
