代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10600742.709999999031425
真實報酬,600742.709999999031425

夏普值報酬,0.051374271000000
夏普值風險,0.020565674489256
夏普值,2.498059133768701

二次趨勢線,1525.148234821311689 x^2 + 1704.037722780551121 x + 10000000.000000000000000
二次加權預期報酬,43391.422807896400627
風險,52257.898067266462022
二次加權趨勢值,0.830332340425229
一次趨勢線,25139.242306620235468 x + 10000000.000000000000000
一次預期報酬,25139.242306620235468
一次風險,89265.145351671497338
一次趨勢值,0.281624392225890
找到最佳解世代,2055
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](9),IBM[10](1),UTX[24](3),XOM[29](2),
Stock#,CAT[3](9),IBM[10](1),UTX[24](3),XOM[29](2),
張數,26553,16951,31649,33534,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,35.049999999813735,66.520000000018626,45.490000000223517,40.300000000279397,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2488316.679999999701977,2502712.159999999683350,2504114.370000000577420,2511736.900000000372529,10006880.110000001266599
FS( 3 ),2509824.609999999869615,2492711.070000000298023,2507595.760000000242144,2505030.100000000558794,10015161.539999999105930
FS( 4 ),2483802.669999999925494,2520002.180000000167638,2505063.840000000316650,2521126.420000000391155,10029995.109999999403954
FS( 5 ),2488847.739999999757856,2507627.950000000186265,2502848.410000000149012,2534875.360000000335276,10034199.460000000894070
FS( 6 ),2479819.719999999739230,2502712.159999999683350,2483226.029999999795109,2519449.720000000204891,9985207.629999998956919
FS( 7 ),2494689.399999999906868,2496609.799999999813735,2497784.570000000298023,2538228.760000000242144,10027312.529999999329448
FS( 8 ),2482475.019999999552965,2527460.620000000111759,2513925.560000000521541,2568074.020000000018626,10091935.220000000670552
FS( 9 ),2499734.469999999739230,2522714.339999999850988,2516140.990000000223517,2572433.439999999944121,10111023.240000000223517
FS( 10 ),2496282.580000000074506,2542716.520000000018626,2502848.410000000149012,2610326.860000000335276,10152174.370000001043081
FS( 11 ),2555230.239999999757856,2553734.669999999925494,2518356.419999999925494,2639501.439999999944121,10266822.769999999552965
FS( 12 ),2536908.669999999925494,2639167.709999999962747,2529117.080000000074506,2623740.459999999962747,10328933.919999999925494
FS( 13 ),2485661.379999999888241,2641032.320000000298023,2517723.439999999944121,2607308.800000000279397,10251725.940000001341105
FS( 14 ),2462825.799999999813735,2635947.020000000018626,2538295.290000000502914,2648555.620000000577420,10285623.730000002309680
FS( 15 ),2511152.259999999776483,2705954.649999999906868,2580071.970000000204891,2635477.360000000335276,10432656.240000002086163
FS( 16 ),2506372.719999999739230,2736635.959999999962747,2586718.260000000242144,2638495.420000000391155,10468222.359999999403954
FS( 17 ),2542484.799999999813735,2729855.560000000055879,2576590.580000000074506,2671358.740000000223517,10520289.679999999701977
FS( 18 ),2565851.439999999478459,2730364.089999999850988,2613936.400000000372529,2678736.220000000204891,10588888.150000000372529
FS( 19 ),2540626.089999999850988,2698835.229999999981374,2577223.560000000521541,2648890.959999999962747,10465575.839999999850988
FS( 20 ),2575941.580000000074506,2746128.520000000018626,2573109.189999999944121,2705563.420000000391155,10600742.709999999031425
