代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11925270.399999998509884
真實報酬,1925270.399999998509884

夏普值報酬,0.183827040000000
夏普值風險,0.055938774167464
夏普值,3.286218597670301

二次趨勢線,603.188760896393887 x^2 + 87210.580579827073961 x + 10000000.000000000000000
二次加權預期報酬,104501.991725523679634
風險,128884.389596991371945
二次加權趨勢值,0.810819619445698
一次趨勢線,96931.738982180599123 x + 10000000.000000000000000
一次預期報酬,96931.738982180599123
一次風險,132671.107101866160519
一次趨勢值,0.730616794414442
找到最佳解世代,2027
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](1),MRK[17](6),TRV[22](3),WMT[28](8),
Stock#,CAT[3](1),MRK[17](6),TRV[22](3),WMT[28](8),
張數,35435,79189,53418,48113,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,60.750000000000000,3.270000000018626,37.600000000093132,48.520000000018626,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2570515.650000000372529,2482578.419999999925494,2568375.040000000037253,2544263.959999999962747,10165733.070000000298023
FS( 3 ),2631463.850000000093132,2491289.209999999962747,2647967.860000000335276,2533197.969999999739230,10303918.890000000596046
FS( 4 ),2731744.899999999906868,2488121.650000000372529,2681087.020000000018626,2538009.270000000018626,10438962.839999999850988
FS( 5 ),2676111.949999999720603,2503167.560000000055879,2617519.600000000093132,2583716.620000000111759,10380515.730000000447035
FS( 6 ),2804032.299999999813735,2561767.419999999925494,2729697.400000000372529,2637122.050000000279397,10732619.169999999925494
FS( 7 ),2858247.850000000093132,2528508.040000000037253,2693373.160000000149012,2632791.879999999888241,10712920.929999999701977
FS( 8 ),2895100.250000000000000,2579189.000000000000000,2747859.520000000018626,2655886.120000000111759,10878034.890000000596046
FS( 9 ),2885887.149999999906868,2589483.570000000298023,2694975.700000000186265,2647225.780000000260770,10817572.200000001117587
FS( 10 ),2979789.899999999906868,2611656.489999999757856,2738778.460000000428408,2668395.500000000000000,10998620.349999999627471
FS( 11 ),2888721.949999999720603,2558599.860000000335276,2648502.040000000037253,2635678.660000000149012,10731502.510000001639128
FS( 12 ),3002113.950000000186265,2596610.580000000074506,2748927.880000000353903,2689084.089999999850988,11036736.500000000000000
FS( 13 ),2961009.350000000093132,2576813.330000000074506,2905442.620000000111759,2706404.770000000018626,11149670.070000000298023
FS( 14 ),2985813.850000000093132,2597402.469999999739230,2912921.140000000130385,2712178.330000000074506,11208315.790000000968575
FS( 15 ),3096725.399999999906868,2640956.419999999925494,3063559.900000000372529,2738640.479999999981374,11539882.200000001117587
FS( 16 ),3251930.699999999720603,2655210.439999999944121,3077982.759999999776483,2731904.660000000149012,11717028.559999998658895
FS( 17 ),3185312.899999999906868,2606113.259999999776483,3009607.720000000204891,2728536.750000000000000,11529570.630000000819564
FS( 18 ),3244843.699999999720603,2656002.330000000074506,3071572.600000000093132,2760291.330000000074506,11732709.959999999031425
FS( 19 ),3411388.199999999720603,2716977.860000000335276,3140481.819999999832362,2781461.050000000279397,12050308.930000001564622
FS( 20 ),3431940.500000000000000,2780329.060000000055879,3177340.239999999757856,2749706.469999999739230,12139316.269999999552965
FS( 21 ),3347250.849999999627471,2732023.770000000018626,3116977.900000000372529,2729017.879999999888241,11925270.399999998509884
