代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10711055.910000000149012
真實報酬,711055.910000000149012

夏普值報酬,0.062405591000000
夏普值風險,0.027930898034379
夏普值,2.234285160584097

二次趨勢線,2535.059041535354481 x^2 + -23384.037941257418424 x + 10000000.000000000000000
二次加權預期報酬,56047.812026850355323
風險,105369.389382150897291
二次加權趨勢值,0.531917403673828
一次趨勢線,21276.151130897305848 x + 10000000.000000000000000
一次預期報酬,21276.151130897305848
一次風險,189842.980815645918483
一次趨勢值,0.112072361271857
找到最佳解世代,1670
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MCD[15](3),PG[21](2),WBA[27](6),WMT[28](1),
Stock#,MCD[15](3),PG[21](2),WBA[27](6),WMT[28](1),
張數,14999,29879,34501,26483,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,116.670000000391155,24.069999999832362,57.540000000037253,4.799999999813735,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2477651.490000000689179,2520616.509999999776483,2535536.029999999795109,2519862.250000000000000,10053666.279999999329448
FS( 3 ),2469852.010000000242144,2480877.439999999944121,2546231.339999999850988,2491260.609999999403954,9988221.399999998509884
FS( 4 ),2486950.870000000577420,2447711.750000000000000,2530360.880000000353903,2494968.229999999515712,9959991.730000000447035
FS( 5 ),2498500.100000000093132,2454583.919999999925494,2501725.050000000279397,2471133.529999999795109,9925942.599999999627471
FS( 6 ),2516498.900000000372529,2462053.669999999925494,2558306.690000000409782,2507680.069999999832362,10044539.330000000074506
FS( 7 ),2547396.840000000782311,2456077.870000000111759,2537951.100000000093132,2570974.439999999944121,10112400.250000000000000
FS( 8 ),2525498.300000000279397,2433369.829999999608845,2494824.850000000093132,2536016.879999999888241,9989709.859999999403954
FS( 9 ),2444503.700000000186265,2356580.799999999813735,2446178.440000000409782,2487288.159999999683350,9734551.099999999627471
FS( 10 ),2457252.850000000093132,2362257.810000000055879,2535881.040000000037253,2510858.029999999795109,9866249.730000000447035
FS( 11 ),2455003.000000000000000,2394228.339999999850988,2577972.259999999776483,2484639.859999999403954,9911843.459999999031425
FS( 12 ),2461002.600000000093132,2420521.859999999869615,2631793.820000000298023,2537341.029999999795109,10050659.310000000521541
FS( 13 ),2501499.900000000372529,2445919.009999999776483,2655944.520000000018626,2557203.279999999795109,10160566.709999999031425
FS( 14 ),2502099.860000000335276,2397515.029999999795109,2642144.120000000111759,2546874.909999999683350,10088633.919999999925494
FS( 15 ),2512299.180000000633299,2608460.769999999552965,2668709.889999999664724,2572828.250000000000000,10362298.089999999850988
FS( 16 ),2499400.040000000502914,2587545.469999999739230,2679060.190000000409782,2572563.419999999925494,10338569.120000001043081
FS( 17 ),2657189.520000000484288,2604277.709999999962747,2665604.800000000279397,2590042.199999999720603,10517114.230000000447035
FS( 18 ),2660189.320000000298023,2672999.409999999683350,2560031.740000000223517,2583686.279999999795109,10476906.750000000000000
FS( 19 ),2629591.360000000335276,2659255.069999999832362,2613163.279999999795109,2626588.740000000223517,10528598.449999999254942
FS( 20 ),2600043.330000000540167,2625193.009999999776483,2630068.770000000018626,2620232.819999999832362,10475537.929999999701977
FS( 21 ),2598393.440000000409782,2636547.029999999795109,2650424.359999999869615,2643008.199999999720603,10528373.029999999329448
FS( 22 ),2677288.180000000633299,2664932.079999999608845,2718736.339999999850988,2712393.659999999683350,10773350.259999999776483
FS( 23 ),2653439.770000000484288,2649693.790000000037253,2752202.310000000055879,2655720.040000000037253,10711055.910000000149012
