代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10243735.960000000894070
真實報酬,243735.960000000894070

夏普值報酬,0.015673596000000
夏普值風險,0.014756897088148
夏普值,1.062120031492832

二次趨勢線,659.781423797884599 x^2 + 4887.326156553756846 x + 10000000.000000000000000
二次加權預期報酬,24680.768870490297559
風險,66495.170414984284434
二次加權趨勢值,0.371166337592070
一次趨勢線,16015.639504611357552 x + 10000000.000000000000000
一次預期報酬,16015.639504611357552
一次風險,76432.978359908302082
一次趨勢值,0.209538341279817
找到最佳解世代,2010
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](7),DIS[6](12),HD[9](5),INTC[11](3),
Stock#,AAPL[0](7),DIS[6](12),HD[9](5),INTC[11](3),
張數,26732,28911,30554,80697,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,23.360000000335276,65.830000000074506,71.720000000204891,6.939999999944121,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2498930.720000000670552,2499132.669999999925494,2504888.640000000130385,2500000.000000000000000,10002952.030000001192093
FS( 3 ),2513633.320000000298023,2510697.070000000298023,2507027.419999999925494,2512911.520000000018626,10044269.330000000074506
FS( 4 ),2565493.400000000372529,2503469.320000000298023,2487778.400000000372529,2504034.850000000093132,10060775.970000000670552
FS( 5 ),2548919.560000000055879,2482364.290000000037253,2467612.760000000242144,2484667.569999999832362,9983564.179999999701977
FS( 6 ),2549988.840000000316650,2521683.250000000000000,2466696.140000000130385,2492737.270000000018626,10031105.500000000000000
FS( 7 ),2540632.640000000596046,2511275.290000000037253,2426059.320000000298023,2522595.160000000149012,10000562.410000000149012
FS( 8 ),2545444.400000000372529,2512142.620000000111759,2432475.660000000149012,2521788.189999999944121,10011850.870000001043081
FS( 9 ),2578324.760000000242144,2508384.190000000409782,2427892.560000000055879,2541155.469999999739230,10055756.980000000447035
FS( 10 ),2548117.600000000093132,2490748.480000000447035,2440114.160000000149012,2558908.810000000055879,10037889.050000000745058
FS( 11 ),2533682.320000000298023,2467619.679999999701977,2434003.359999999869615,2796157.989999999757856,10231463.349999999627471
FS( 12 ),2488505.240000000223517,2458368.160000000149012,2430642.419999999925494,2719495.840000000316650,10097011.660000000149012
FS( 13 ),2524326.120000000577420,2480918.740000000223517,2446836.040000000037253,2719495.840000000316650,10171576.740000002086163
FS( 14 ),2511227.440000000409782,2478894.969999999739230,2435531.060000000055879,2748546.760000000242144,10174200.230000000447035
FS( 15 ),2532078.400000000372529,2492483.139999999664724,2460890.880000000353903,2807455.569999999832362,10292907.990000000223517
FS( 16 ),2598106.440000000409782,2487568.270000000484288,2475556.800000000279397,2784053.439999999944121,10345284.950000001117587
FS( 17 ),2593829.320000000298023,2509540.629999999888241,2481056.520000000484288,2763879.189999999944121,10348305.660000000149012
FS( 18 ),2610937.800000000279397,2493061.360000000335276,2475862.340000000316650,2763879.189999999944121,10343740.689999999478459
FS( 19 ),2647026.000000000000000,2519659.480000000447035,2477084.500000000000000,2762265.249999999534339,10406035.230000000447035
FS( 20 ),2629917.520000000018626,2492194.030000000260770,2474334.640000000130385,2759037.369999999646097,10355483.560000000521541
FS( 21 ),2623769.160000000614673,2521394.139999999664724,2498166.760000000242144,2771948.890000000130385,10415278.950000001117587
FS( 22 ),2555602.560000000055879,2482942.509999999776483,2470362.620000000111759,2734828.270000000018626,10243735.960000000894070
