代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10347926.630000000819564
真實報酬,347926.630000000819564

夏普值報酬,0.026092663000000
夏普值風險,0.013973587589567
夏普值,1.867284463116788

二次趨勢線,808.050338271566716 x^2 + 229.496671297897592 x + 10000000.000000000000000
二次加權預期報酬,24471.006819444901339
風險,49995.414445876987884
二次加權趨勢值,0.489465025756237
一次趨勢線,13858.612376811628565 x + 10000000.000000000000000
一次預期報酬,13858.612376811628565
一次風險,68044.534022226725938
一次趨勢值,0.203669737414687
找到最佳解世代,2328
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),MSFT[18](6),NKE[19](2),
Stock#,KO[14](1),MSFT[18](6),NKE[19](2),
張數,78265,35087,48947,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,26.649999999906868,68.000000000000000,42.300000000279397,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3291852.550000000279397,3281053.370000000111759,3341164.520000000484288,9914071.440000001341105
FS( 3 ),3278547.500000000000000,3300702.089999999850988,3274596.600000000558794,9853847.190000001341105
FS( 4 ),3315332.049999999813735,3338946.919999999925494,3333333.000000000000000,9987612.969999998807907
FS( 5 ),3298113.750000000000000,3376139.140000000130385,3394027.280000000260770,10068281.170000001788139
FS( 6 ),3272286.300000000279397,3361753.470000000204891,3350953.919999999925494,9984994.690000001341105
FS( 7 ),3269938.350000000093132,3401401.779999999795109,3325990.950000000186265,9997332.080000000074506
FS( 8 ),3301244.350000000093132,3435436.169999999925494,3324522.540000000502914,10061204.060000000521541
FS( 9 ),3298113.750000000000000,3428067.899999999906868,3349485.510000000707805,10075668.160000000149012
FS( 10 ),3290287.250000000000000,3439646.609999999869615,3369553.780000000260770,10099488.640000000596046
FS( 11 ),3265242.449999999720603,3414734.839999999850988,3401858.800000000279397,10081837.089999999850988
FS( 12 ),3251937.399999999906868,3408770.050000000279397,3491921.280000000260770,10152629.730000000447035
FS( 13 ),3310636.149999999906868,3374735.660000000149012,3472342.479999999981374,10157715.290000000968575
FS( 14 ),3310636.149999999906868,3381051.319999999832362,3490942.339999999850988,10182630.809999998658895
FS( 15 ),3319245.299999999813735,3424559.199999999720603,3493879.160000000149012,10237684.660000000149012
FS( 16 ),3306722.899999999906868,3421050.500000000000000,3490452.870000000577420,10218227.270000001415610
FS( 17 ),3318462.649999999906868,3461751.419999999925494,3491921.280000000260770,10272136.350000001490116
FS( 18 ),3312201.449999999720603,3449470.970000000204891,3533036.760000000707805,10294710.179999999701977
FS( 19 ),3318462.649999999906868,3451225.319999999832362,3536463.050000000279397,10306152.019999999552965
FS( 20 ),3340376.850000000093132,3438944.870000000111759,3471363.540000000502914,10250686.260000001639128
FS( 21 ),3375596.100000000093132,3471926.649999999906868,3535484.110000000335276,10383007.859999999403954
FS( 22 ),3365421.649999999906868,3468067.080000000074506,3514436.900000000372529,10347926.630000000819564
