代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10420243.519999999552965
真實報酬,420243.519999999552965

夏普值報酬,0.033324352000000
夏普值風險,0.016146879558701
夏普值,2.063826133021618

二次趨勢線,1787.663133163657221 x^2 + -20183.715433025026869 x + 10000000.000000000000000
二次加權預期報酬,31062.627717666480748
風險,93493.453550888938480
二次加權趨勢值,0.332243879522099
一次趨勢線,8626.762503775307778 x + 10000000.000000000000000
一次預期報酬,8626.762503775307778
一次風險,132062.382295743998839
一次趨勢值,0.065323390005613
找到最佳解世代,2270
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DD[7](2),MRK[17](3),MSFT[18](1),
Stock#,DD[7](2),MRK[17](3),MSFT[18](1),
張數,53358,67353,89702,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,58.740000000223517,33.029999999795109,6.680000000167638,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3318392.760000000242144,3349497.719999999739230,3310907.500000000000000,9978798.980000000447035
FS( 3 ),3312523.380000000353903,3350171.250000000000000,3240939.940000000409782,9903635.570000000298023
FS( 4 ),3275706.360000000335276,3375091.859999999869615,3266056.500000000000000,9916855.720000000670552
FS( 5 ),3279441.420000000391155,3353538.899999999906868,3207750.200000000186265,9840731.519999999552965
FS( 6 ),3237288.600000000093132,3335353.589999999850988,3187118.740000000223517,9759761.929999999701977
FS( 7 ),3245292.300000000279397,3359600.669999999925494,3232866.760000000242144,9837760.730000000447035
FS( 8 ),3183397.020000000018626,3577824.389999999664724,3137782.639999999664724,9899005.050000000745058
FS( 9 ),3241023.660000000149012,3569742.029999999795109,3209544.240000000223517,10020310.929999999701977
FS( 10 ),3271437.720000000204891,3537412.589999999850988,3297452.200000000186265,10106303.510000001639128
FS( 11 ),3274105.620000000111759,3536065.529999999795109,3309113.460000000428408,10119285.610000001266599
FS( 12 ),3273038.460000000428408,3499021.379999999888241,3263365.440000000409782,10035426.280000001192093
FS( 13 ),3490205.520000000018626,3490939.019999999552965,3244528.020000000484288,10225673.559999998658895
FS( 14 ),3470996.640000000130385,3458609.580000000074506,3222999.540000000037253,10152606.760000001639128
FS( 15 ),3398429.760000000242144,3475447.830000000074506,3234660.800000000279397,10108539.390000000596046
FS( 16 ),3298650.300000000279397,3501041.969999999739230,3301937.300000000279397,10101630.570000000298023
FS( 17 ),3275172.780000000260770,3538086.119999999646097,3231969.740000000223517,10045229.640000000596046
FS( 18 ),3271971.300000000279397,3560986.139999999664724,3253498.220000000670552,10086456.660000000149012
FS( 19 ),3398963.340000000316650,3516533.159999999683350,3288482.000000000000000,10203979.500000000000000
FS( 20 ),3443250.480000000447035,3604092.059999999590218,3306422.399999999906868,10353765.939999999478459
FS( 21 ),3458190.720000000204891,3567721.439999999944121,3394330.360000000335276,10420243.519999999552965
