代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10523269.449999999254942
真實報酬,523269.449999999254942

夏普值報酬,0.043626945000000
夏普值風險,0.024550796963616
夏普值,1.777007282682292

二次趨勢線,3745.903431884486508 x^2 + -48568.447199875648948 x + 10000000.000000000000000
二次加權預期報酬,58814.117847479639750
風險,63671.264383904024726
二次加權趨勢值,0.923715249203497
一次趨勢線,11801.577876774348624 x + 10000000.000000000000000
一次預期報酬,11801.577876774348624
一次風險,205551.446756375837140
一次趨勢值,0.057414229201519
找到最佳解世代,1900
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),CSCO[4](1),IBM[10](12),JPM[13](5),
Stock#,AAPL[0](3),CSCO[4](1),IBM[10](12),JPM[13](5),
張數,26697,91340,17209,39191,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,92.919999999925494,24.199999999720603,48.569999999832362,6.109999999869615,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2541113.379999999888241,2453416.599999999627471,2480381.739999999757856,2451795.069999999832362,9926706.789999999105930
FS( 3 ),2514683.350000000093132,2415053.799999999813735,2482446.819999999832362,2451795.069999999832362,9863979.040000000968575
FS( 4 ),2489321.199999999720603,2394045.599999999627471,2520650.799999999813735,2400062.949999999720603,9804080.549999998882413
FS( 5 ),2475438.759999999776483,2423274.399999999906868,2534762.179999999701977,2414171.709999999962747,9847647.050000000745058
FS( 6 ),2477307.550000000279397,2421447.600000000093132,2535622.629999999888241,2398887.219999999739230,9833265.000000000000000
FS( 7 ),2494126.660000000149012,2468944.399999999906868,2580882.299999999813735,2431415.750000000000000,9975369.109999999403954
FS( 8 ),2469832.390000000130385,2438802.199999999720603,2563329.119999999646097,2422401.819999999832362,9894365.529999999329448
FS( 9 ),2411899.899999999906868,2436062.000000000000000,2561436.129999999888241,2420834.180000000167638,9830232.210000000894070
FS( 10 ),2416705.359999999869615,2423274.399999999906868,2542162.049999999813735,2398495.310000000055879,9780637.119999999180436
FS( 11 ),2506407.279999999795109,2463463.999999999534339,2572105.709999999962747,2416523.169999999925494,9958500.160000000149012
FS( 12 ),2495995.449999999720603,2434235.199999999720603,2546980.569999999832362,2416523.169999999925494,9893734.389999998733401
FS( 13 ),2524561.239999999757856,2440628.999999999534339,2535622.629999999888241,2509797.750000000000000,10010610.619999999180436
FS( 14 ),2514950.319999999832362,2518267.999999999534339,2494148.939999999944121,2484323.600000000093132,10011690.859999999403954
FS( 15 ),2542181.259999999776483,2554803.999999999534339,2534073.819999999832362,2489026.520000000018626,10120085.599999999627471
FS( 16 ),2574484.629999999888241,2552063.799999999813735,2525813.500000000000000,2487066.969999999739230,10139428.899999998509884
FS( 17 ),2613729.220000000204891,2600473.999999999534339,2552315.359999999869615,2529393.250000000000000,10295911.830000000074506
FS( 18 ),2659648.060000000055879,2641577.000000000000000,2610481.779999999795109,2567800.429999999701977,10479507.269999999552965
FS( 19 ),2680738.689999999944121,2639750.199999999720603,2623388.529999999795109,2548596.839999999850988,10492474.259999999776483
FS( 20 ),2679136.869999999646097,2641577.000000000000000,2630272.129999999888241,2564273.240000000223517,10515259.239999998360872
FS( 21 ),2666055.339999999850988,2653451.199999999720603,2645760.229999999981374,2558002.679999999701977,10523269.449999999254942
