代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10383564.169999999925494
真實報酬,383564.169999999925494

夏普值報酬,0.029656417000000
夏普值風險,0.013063964284111
夏普值,2.270093239314046

二次趨勢線,741.833171444516438 x^2 + 3302.588915297219501 x + 10000000.000000000000000
二次加權預期報酬,24568.473163373357238
風險,53543.943589891314332
二次加權趨勢值,0.458846911829104
一次趨勢線,15258.179329507671355 x + 10000000.000000000000000
一次預期報酬,15258.179329507671355
一次風險,66068.344917482419987
一次趨勢值,0.230945384640174
找到最佳解世代,2081
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
GS[8](8),HD[9](2),JNJ[12](3),KO[14](4),MCD[15](1),NKE[19](5),
Stock#,GS[8](8),HD[9](2),JNJ[12](3),KO[14](4),MCD[15](1),NKE[19](5),
張數,9271,18284,16124,40025,17959,42045,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,18.329999999841675,79.399999999906868,89.360000000102445,25.000000000000000,70.800000000046566,2.199999999953434,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1665089.929999999701977,1627355.399999999906868,1673115.600000000093132,1672269.500000000000000,1672772.060000000055879,1656995.649999999906868,9967602.140000000596046
FS( 3 ),1669540.010000000009313,1644359.520000000018626,1674405.520000000251457,1675871.750000000000000,1670437.390000000130385,1680120.399999999906868,10014738.590000001713634
FS( 4 ),1666480.579999999841675,1675076.639999999897555,1683757.440000000176951,1674671.000000000232831,1671514.929999999934807,1724688.100000000093132,10096192.689999999478459
FS( 5 ),1669818.139999999897555,1660632.279999999795109,1677791.560000000055879,1672269.500000000000000,1661278.300000000046566,1732256.200000000186265,10074049.980000000447035
FS( 6 ),1644693.729999999981374,1626075.520000000018626,1673760.560000000055879,1678673.500000000000000,1635956.110000000102445,1720483.600000000093132,9979647.020000001415610
FS( 7 ),1667593.099999999860302,1631926.399999999906868,1692948.120000000111759,1687879.250000000000000,1670257.800000000046566,1733938.000000000000000,10084546.669999999925494
FS( 8 ),1678069.329999999841675,1631377.879999999888241,1685853.560000000055879,1679073.750000000000000,1669539.439999999944121,1720063.149999999906868,10063981.109999999403954
FS( 9 ),1698187.399999999674037,1624429.959999999962747,1686337.280000000027940,1659461.500000000000000,1676363.860000000102445,1720483.600000000093132,10065267.599999999627471
FS( 10 ),1705696.909999999683350,1634303.319999999832362,1688594.640000000130385,1661062.500000000000000,1678698.530000000027940,1715858.650000000139698,10084218.549999998882413
FS( 11 ),1706253.169999999692664,1650576.079999999841675,1707298.479999999981374,1666666.000000000000000,1683727.050000000046566,1707029.199999999953434,10121553.979999998584390
FS( 12 ),1713484.549999999813735,1667945.879999999888241,1712296.920000000158325,1665465.250000000000000,1679776.070000000065193,1713756.399999999906868,10152729.070000000298023
FS( 13 ),1741946.519999999785796,1683852.959999999962747,1731000.760000000009313,1672669.750000000000000,1678878.120000000111759,1723426.750000000000000,10231778.859999999403954
FS( 14 ),1726278.529999999795109,1688423.959999999962747,1741320.120000000111759,1683076.250000000000000,1694682.040000000037253,1720063.149999999906868,10253848.049999998882413
FS( 15 ),1717841.919999999692664,1680196.159999999916181,1739546.479999999981374,1689880.500000000000000,1686959.670000000158325,1696517.949999999953434,10210946.679999999701977
FS( 16 ),1715987.719999999972060,1672882.559999999823049,1732774.399999999906868,1676672.250000000000000,1679416.890000000130385,1684324.900000000139698,10162062.720000000670552
FS( 17 ),1741204.839999999850988,1700857.079999999841675,1751800.720000000204891,1691881.750000000232831,1706175.800000000046566,1699461.100000000093132,10291385.290000000968575
FS( 18 ),1706716.719999999972060,1680379.000000000000000,1726969.760000000009313,1672269.500000000000000,1691090.239999999990687,1676756.800000000046566,10154186.019999999552965
FS( 19 ),1716265.849999999860302,1697565.959999999962747,1726969.760000000009313,1689080.000000000000000,1700788.100000000093132,1881515.949999999953434,10412189.619999999180436
FS( 20 ),1704306.260000000009313,1698297.319999999832362,1717940.320000000298023,1691081.250000000000000,1728085.780000000027940,1873527.400000000139698,10413242.330000000074506
FS( 21 ),1701895.799999999813735,1677453.559999999823049,1718746.520000000251457,1707491.499999999767169,1702763.590000000083819,1875209.199999999953434,10383564.169999999925494
