代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10610174.129999998956919
真實報酬,610174.129999998956919

夏普值報酬,0.052317413000000
夏普值風險,0.020795427915538
夏普值,2.515813245704315

二次趨勢線,1063.636074762677481 x^2 + 5396.519648214265544 x + 10000000.000000000000000
二次加權預期報酬,38723.783324111493130
風險,35964.882780992971675
二次加權趨勢值,1.076710956071198
一次趨勢線,24134.619007863097067 x + 10000000.000000000000000
一次預期報酬,24134.619007863097067
一次風險,75388.874518336800975
一次趨勢值,0.320135022071365
找到最佳解世代,1743
找到最佳解實驗#,7
找到最佳解次數,5

stock[index](rank)
投資組合檔數,4
JPM[13](4),UTX[24](3),VZ[26](6),WBA[27](1),
Stock#,JPM[13](4),UTX[24](3),VZ[26](6),WBA[27](1),
張數,59765,35898,92250,70581,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,30.050000000279397,63.279999999795109,25.000000000000000,20.979999999981374,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2487449.350000000093132,2503948.779999999795109,2523985.000000000000000,2487295.419999999925494,10002678.550000000745058
FS( 3 ),2482070.500000000465661,2498564.079999999608845,2511992.500000000000000,2495765.140000000130385,9988392.220000000670552
FS( 4 ),2505378.850000000558794,2526205.540000000037253,2524907.500000000000000,2470355.979999999981374,10026847.870000001043081
FS( 5 ),2558569.700000000186265,2557795.779999999795109,2521217.500000000000000,2469650.169999999925494,10107233.150000000372529
FS( 6 ),2545421.400000000372529,2540205.759999999776483,2555350.000000000000000,2452004.919999999925494,10092982.080000000074506
FS( 7 ),2535261.350000000558794,2576821.719999999739230,2579335.000000000000000,2427301.569999999832362,10118719.640000000596046
FS( 8 ),2565741.500000000465661,2577180.700000000186265,2565497.500000000000000,2418831.850000000093132,10127251.550000000745058
FS( 9 ),2580682.750000000465661,2586155.200000000186265,2573800.000000000000000,2395540.119999999646097,10136178.070000000298023
FS( 10 ),2578889.800000000279397,2567847.219999999739230,2564575.000000000000000,2394834.310000000055879,10106146.330000000074506
FS( 11 ),2574108.600000000093132,2578975.600000000093132,2575645.000000000000000,2411773.750000000000000,10140502.949999999254942
FS( 12 ),2584268.650000000372529,2599078.479999999981374,2581180.000000000000000,2435771.290000000037253,10200298.420000001788139
FS( 13 ),2617139.400000000372529,2591539.899999999906868,2600552.500000000000000,2433653.859999999869615,10242885.660000000149012
FS( 14 ),2608174.650000000372529,2602668.279999999795109,2613467.500000000000000,2457651.399999999906868,10281961.830000000074506
FS( 15 ),2596819.300000000279397,2629232.799999999813735,2622692.500000000000000,2437182.910000000149012,10285927.509999999776483
FS( 16 ),2614151.150000000372529,2606617.059999999590218,2643910.000000000000000,2493647.709999999962747,10358325.919999999925494
FS( 17 ),2664353.750000000000000,2623848.100000000093132,2671585.000000000000000,2534584.689999999944121,10494371.539999999105930
FS( 18 ),2685869.150000000372529,2622053.200000000186265,2627305.000000000000000,2498588.379999999888241,10433815.730000000447035
FS( 19 ),2685869.150000000372529,2630309.739999999757856,2614390.000000000000000,2564228.709999999962747,10494797.600000001490116
FS( 20 ),2690650.350000000558794,2642874.040000000037253,2619002.500000000000000,2596695.969999999739230,10549222.859999999403954
FS( 21 ),2681087.950000000186265,2656515.279999999795109,2626382.500000000000000,2646102.669999999925494,10610088.400000000372529
FS( 22 ),2664353.750000000000000,2661182.019999999552965,2693725.000000000000000,2641162.000000000000000,10660422.769999999552965
FS( 23 ),2674513.800000000279397,2642515.059999999590218,2675275.000000000000000,2617870.270000000018626,10610174.129999998956919
