代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10480565.940000001341105
真實報酬,480565.940000001341105

夏普值報酬,0.039356594000000
夏普值風險,0.016371086275693
夏普值,2.404030700054119

二次趨勢線,85.346945653369630 x^2 + 21995.870300163973297 x + 10000000.000000000000000
二次加權預期報酬,24670.074597302889742
風險,42019.549991634667094
二次加權趨勢值,0.587109443157156
一次趨勢線,23499.429257631818473 x + 10000000.000000000000000
一次預期報酬,23499.429257631818473
一次風險,42354.551036583165114
一次趨勢值,0.554826545967504
找到最佳解世代,1763
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),HD[9](3),MCD[15](6),NKE[19](7),UNH[23](1),WMT[28](22),
Stock#,AAPL[0](2),HD[9](3),MCD[15](6),NKE[19](7),UNH[23](1),WMT[28](22),
張數,19225,32249,18636,71684,32545,22638,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,50.750000000000000,37.679999999934807,48.519999999785796,13.000000000000000,36.550000000046566,56.439999999944121,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1669357.500000000000000,1657313.790000000037253,1669647.759999999776483,1658780.760000000009313,1663086.050000000046566,1676400.339999999850988,9994590.199999999254942
FS( 3 ),1691081.749999999767169,1686337.889999999897555,1669647.759999999776483,1694622.760000000009313,1679684.000000000000000,1687719.339999999850988,10109097.500000000000000
FS( 4 ),1709922.250000000000000,1676985.679999999934807,1671511.359999999636784,1711826.919999999925494,1659831.550000000046566,1681607.080000000074506,10111688.839999999850988
FS( 5 ),1705308.250000000000000,1689885.279999999795109,1658838.879999999888241,1723296.359999999869615,1709950.850000000093132,1675042.059999999823049,10162325.679999999701977
FS( 6 ),1702424.500000000000000,1702462.389999999897555,1631257.599999999860302,1718995.320000000065193,1716134.399999999906868,1682286.219999999972060,10153564.429999999701977
FS( 7 ),1704923.750000000232831,1714072.029999999795109,1624175.919999999925494,1703941.679999999934807,1693027.450000000186265,1671872.739999999757856,10112017.570000000298023
FS( 8 ),1707423.000000000000000,1711169.620000000111759,1643743.719999999739230,1693905.919999999925494,1689122.050000000046566,1668024.280000000027940,10113392.589999999850988
FS( 9 ),1730300.750000000000000,1703429.859999999869615,1638152.919999999925494,1717561.640000000130385,1689122.050000000046566,1661685.640000000130385,10140256.860000001266599
FS( 10 ),1734914.750000000000000,1764380.469999999972060,1642252.839999999850988,1701074.320000000065193,1691400.199999999953434,1675494.820000000065193,10209521.400000000372529
FS( 11 ),1732607.750000000000000,1773732.679999999934807,1636475.679999999934807,1688888.039999999804422,1719063.449999999953434,1685455.540000000037253,10236227.140000000596046
FS( 12 ),1747795.500000000000000,1815978.870000000111759,1629953.079999999608845,1698923.800000000046566,1737614.100000000093132,1633388.140000000130385,10263657.490000000223517
FS( 13 ),1780093.500000000000000,1829523.449999999720603,1628089.479999999748543,1725446.880000000121072,1729152.400000000139698,1629766.059999999823049,10322075.769999999552965
FS( 14 ),1826810.250000000000000,1824363.609999999869615,1643184.639999999897555,1716127.960000000195578,1731430.550000000046566,1636783.839999999850988,10378704.849999999627471
FS( 15 ),1801817.750000000000000,1816301.359999999869615,1649707.239999999757856,1717561.640000000130385,1738590.450000000186265,1617088.780000000027940,10341071.220000000670552
FS( 16 ),1836999.500000000000000,1826621.040000000037253,1650266.319999999832362,1716127.960000000195578,1756490.199999999953434,1624785.699999999953434,10411294.719999998807907
FS( 17 ),1819889.250000000000000,1823718.629999999888241,1644675.519999999785796,1710393.239999999990687,1754862.950000000186265,1620031.719999999972060,10373575.310000000521541
FS( 18 ),1821619.500000000000000,1836940.719999999972060,1657161.639999999897555,1736199.479999999981374,1762673.750000000000000,1632482.619999999878928,10447081.709999999031425
FS( 19 ),1855840.000000000000000,1827588.510000000009313,1668715.959999999962747,1728314.239999999990687,1777319.000000000000000,1641311.439999999944121,10499093.150000000372529
FS( 20 ),1853340.750000000000000,1823073.649999999906868,1661261.559999999823049,1772041.479999999981374,1768206.399999999906868,1639274.019999999785796,10517201.859999999403954
FS( 21 ),1849687.999999999767169,1833070.840000000083819,1670765.919999999925494,1768457.280000000027940,1778295.350000000093132,1647423.699999999953434,10547705.089999999850988
FS( 22 ),1823349.750000000000000,1825976.059999999823049,1653061.719999999739230,1751969.960000000195578,1779922.599999999860302,1635651.939999999944121,10469936.029999999329448
FS( 23 ),1827002.500000000000000,1830168.429999999934807,1667784.159999999683350,1744801.560000000055879,1767230.050000000046566,1643575.239999999757856,10480565.940000001341105
