代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10569079.819999998435378
真實報酬,569079.819999998435378

夏普值報酬,0.048207982000000
夏普值風險,0.019014230990069
夏普值,2.535363224796079

二次趨勢線,1576.944585110410571 x^2 + -4347.900787096550630 x + 10000000.000000000000000
二次加權預期報酬,40857.843986068561208
風險,25472.738682875293307
二次加權趨勢值,1.603983163912261
一次趨勢線,21066.578224101493106 x + 10000000.000000000000000
一次預期報酬,21066.578224101493106
一次風險,86129.592019221323426
一次趨勢值,0.244591640691856
找到最佳解世代,4095
找到最佳解實驗#,2
找到最佳解次數,12

stock[index](rank)
投資組合檔數,4
MCD[15](1),PG[21](2),TRV[22](7),WMT[28](12),
Stock#,MCD[15](1),PG[21](2),TRV[22](7),WMT[28](12),
張數,27740,36028,34312,36106,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,71.199999999720603,17.080000000074506,27.680000000167638,20.560000000055879,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2514147.399999999441206,2484147.680000000167638,2519214.720000000204891,2484113.359999999869615,10001623.160000000149012
FS( 3 ),2492510.199999999720603,2489191.600000000093132,2541174.400000000372529,2493500.919999999925494,10016377.120000001043081
FS( 4 ),2521914.599999999627471,2472258.440000000409782,2506862.400000000372529,2469670.960000000428408,9970706.400000000372529
FS( 5 ),2522746.799999999813735,2468295.360000000335276,2511322.959999999962747,2476531.100000000093132,9978896.220000000670552
FS( 6 ),2519140.599999999627471,2481625.719999999739230,2537056.959999999962747,2475808.979999999981374,10013632.259999999776483
FS( 7 ),2535507.199999999720603,2495676.640000000130385,2554556.080000000074506,2468226.720000000204891,10053966.640000000596046
FS( 8 ),2544661.399999999906868,2493875.240000000223517,2568280.879999999888241,2477975.339999999850988,10084792.859999999403954
FS( 9 ),2539113.399999999906868,2508646.719999999739230,2571712.080000000074506,2466060.359999999869615,10085532.559999998658895
FS( 10 ),2538558.600000000093132,2517653.719999999739230,2592642.400000000372529,2490612.440000000409782,10139467.160000000149012
FS( 11 ),2527185.199999999720603,2498198.600000000093132,2592299.280000000260770,2498916.819999999832362,10116599.900000000372529
FS( 12 ),2545493.600000000093132,2510087.840000000316650,2604308.480000000447035,2485918.659999999683350,10145808.580000000074506
FS( 13 ),2559363.600000000093132,2519815.399999999906868,2618376.400000000372529,2498555.760000000242144,10196111.160000000149012
FS( 14 ),2578504.199999999720603,2520175.680000000167638,2674648.080000000074506,2512276.040000000037253,10285604.000000000000000
FS( 15 ),2593206.399999999906868,2546836.399999999906868,2664011.360000000335276,2509026.500000000000000,10313080.660000000149012
FS( 16 ),2588490.599999999627471,2537108.840000000316650,2679451.760000000242144,2519858.300000000279397,10324909.500000000000000
FS( 17 ),2599863.999999999534339,2639068.080000000074506,2688372.879999999888241,2491334.560000000055879,10418639.519999999552965
FS( 18 ),2617617.599999999627471,2657802.640000000130385,2654060.879999999888241,2503971.659999999683350,10433452.779999999329448
FS( 19 ),2633152.000000000000000,2702117.080000000074506,2669844.400000000372529,2523468.899999999906868,10528582.380000000819564
FS( 20 ),2626217.000000000000000,2704999.319999999832362,2661952.640000000130385,2518414.060000000055879,10511583.020000001415610
FS( 21 ),2643415.799999999813735,2707881.560000000055879,2692147.199999999720603,2525635.260000000242144,10569079.819999998435378
