代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10728612.689999997615814
真實報酬,728612.689999997615814

夏普值報酬,0.064161269000000
夏普值風險,0.021356351860006
夏普值,3.004317845135053

二次趨勢線,149.061717516202862 x^2 + 36653.653634682181291 x + 10000000.000000000000000
二次加權預期報酬,40529.258290103447507
風險,31694.923165377451369
二次加權趨勢值,1.278730289978313
一次趨勢線,38832.247967611328932 x + 10000000.000000000000000
一次預期報酬,38832.247967611328932
一次風險,32335.086389889529528
一次趨勢值,1.200932247385407
找到最佳解世代,3084
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](15),JPM[13](2),MSFT[18](3),NKE[19](1),WBA[27](9),
Stock#,BA[2](15),JPM[13](2),MSFT[18](3),NKE[19](1),WBA[27](9),
張數,13674,36055,48449,43516,26705,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,40.760000000009313,29.150000000139698,25.280000000027940,4.639999999897555,62.550000000046566,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2014767.920000000158325,2045068.750000000000000,2015503.680000000167638,2031331.519999999785796,1997329.500000000232831,10104001.369999999180436
FS( 3 ),2013127.040000000037253,2032810.050000000279397,2027131.440000000176951,2013489.959999999962747,1994124.900000000139698,10080683.390000000596046
FS( 4 ),2031997.159999999916181,2046871.500000000232831,2056685.330000000074506,2030896.359999999869615,1997329.500000000232831,10163779.849999999627471
FS( 5 ),2023792.760000000009313,2087253.100000000093132,2054747.369999999878928,1997389.039999999804422,2033648.300000000279397,10196830.570000000298023
FS( 6 ),2018049.680000000167638,2084729.250000000232831,2052324.919999999925494,1983899.080000000074506,2040324.550000000279397,10179327.480000000447035
FS( 7 ),2024339.719999999972060,2107804.450000000186265,2063952.680000000167638,2018276.719999999972060,2048069.000000000000000,10262442.570000000298023
FS( 8 ),2022698.839999999850988,2104559.500000000000000,2053293.900000000139698,1986945.199999999720603,2123911.200000000186265,10291408.640000000596046
FS( 9 ),2025023.420000000158325,2147825.500000000000000,2087692.690000000176951,2001740.639999999897555,2135394.349999999627471,10397676.599999999627471
FS( 10 ),2047448.779999999795109,2151431.000000000000000,2125482.910000000149012,2002610.959999999962747,2102547.200000000186265,10429520.849999999627471
FS( 11 ),2050046.839999999850988,2166934.650000000372529,2111432.700000000186265,1998694.519999999785796,2083052.550000000046566,10410161.259999999776483
FS( 12 ),2067139.339999999850988,2140614.500000000000000,2109010.250000000000000,2036988.600000000093132,2077444.500000000232831,10431197.189999999478459
FS( 13 ),2102418.259999999776483,2135566.799999999813735,2107556.780000000260770,2038729.239999999990687,2059018.049999999813735,10443289.129999998956919
FS( 14 ),2164771.700000000186265,2156118.150000000372529,2124998.419999999925494,2065709.159999999916181,2059819.199999999953434,10571416.629999998956919
FS( 15 ),2115955.520000000484288,2139893.400000000372529,2139048.629999999888241,2067449.799999999813735,2098808.500000000000000,10561155.850000001490116
FS( 16 ),2111032.879999999888241,2192894.250000000000000,2136141.690000000409782,2076153.000000000000000,2146877.500000000000000,10663099.320000000298023
FS( 17 ),2092299.500000000000000,2204431.850000000558794,2131296.790000000037253,2106614.200000000186265,2136729.600000000558794,10671371.940000001341105
FS( 18 ),2074796.779999999795109,2220296.049999999813735,2134688.219999999739230,2110530.639999999664724,2180525.799999999813735,10720837.489999998360872
FS( 19 ),2062763.659999999916181,2209479.549999999813735,2124513.929999999701977,2113141.599999999627471,2218713.950000000186265,10728612.689999997615814
