代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10224741.380000000819564
真實報酬,224741.380000000819564

夏普值報酬,0.013774138000000
夏普值風險,0.007979640014613
夏普值,1.726160324873831

二次趨勢線,621.041459324731932 x^2 + 185.685332327263495 x + 10000000.000000000000000
二次加權預期報酬,17160.818553869936295
風險,18323.511620203662460
二次加權趨勢值,0.936546384206631
一次趨勢線,9728.517512195110612 x + 10000000.000000000000000
一次預期報酬,9728.517512195110612
一次風險,34701.202801872394048
一次趨勢值,0.280351017448599
找到最佳解世代,4841
找到最佳解實驗#,2
找到最佳解次數,35

stock[index](rank)
投資組合檔數,7
AAPL[0](5),CSCO[4](2),DIS[6](14),HD[9](3),MCD[15](12),PG[21](7),TRV[22](15),
Stock#,AAPL[0](5),CSCO[4](2),DIS[6](14),HD[9](3),MCD[15](12),PG[21](7),TRV[22](15),
張數,12299,46777,13466,10636,11942,16966,11816,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,42.149999999906868,1.419999999925494,97.719999999972060,49.840000000083819,68.959999999962747,33.800000000046566,16.599999999860302,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1426972.129999999888241,1407989.119999999878928,1446884.760000000009313,1441227.840000000083819,1426899.120000000111759,1433660.800000000046566,1420890.599999999860302,10004527.369999999180436
FS( 3 ),1434228.539999999804422,1411263.510000000009313,1446076.799999999813735,1424210.240000000223517,1429526.360000000102445,1443161.760000000009313,1398203.879999999888241,9986674.089999999850988
FS( 4 ),1450217.239999999757856,1414070.129999999888241,1467622.400000000139698,1420274.920000000158325,1442184.880000000121072,1442652.780000000027940,1397494.919999999925494,10034520.269999999552965
FS( 5 ),1463500.159999999916181,1411731.280000000027940,1459273.479999999981374,1428571.000000000000000,1438244.020000000018626,1431964.200000000186265,1386269.719999999739230,10019556.859999999403954
FS( 6 ),1464976.039999999804422,1421086.679999999934807,1459542.799999999813735,1447609.439999999944121,1436094.459999999962747,1416525.139999999897555,1384615.479999999981374,10030453.039999999105930
FS( 7 ),1472847.399999999906868,1410327.969999999972060,1473816.760000000009313,1443355.040000000037253,1443617.919999999925494,1420936.300000000046566,1390169.000000000000000,10055073.390000000596046
FS( 8 ),1466697.899999999906868,1405182.500000000000000,1448096.699999999953434,1436654.360000000102445,1458187.159999999916181,1422463.239999999990687,1379534.599999999860302,10016819.459999999031425
FS( 9 ),1464115.109999999869615,1406585.809999999823049,1455233.679999999934807,1436335.280000000027940,1451021.959999999962747,1425347.460000000195578,1383079.399999999906868,10021721.700000001117587
FS( 10 ),1475922.149999999906868,1402843.649999999906868,1454021.739999999990687,1445801.320000000065193,1465949.459999999962747,1445706.659999999916181,1387923.959999999729916,10078171.939999999478459
FS( 11 ),1475799.159999999916181,1404714.729999999981374,1456580.280000000027940,1448247.600000000093132,1465471.779999999795109,1440956.180000000167638,1400685.239999999990687,10092457.969999998807907
FS( 12 ),1473216.369999999878928,1402375.879999999888241,1444730.199999999953434,1440057.879999999888241,1459142.520000000018626,1437054.000000000000000,1394186.439999999711290,10050766.289999999105930
FS( 13 ),1475922.149999999906868,1407989.119999999878928,1449847.280000000027940,1442291.439999999944121,1460097.880000000121072,1483710.500000000000000,1394540.919999999925494,10114402.290000000968575
FS( 14 ),1476906.069999999832362,1415941.209999999962747,1442575.640000000130385,1468562.360000000102445,1449588.919999999925494,1475397.159999999916181,1394777.239999999990687,10123751.599999999627471
FS( 15 ),1475553.179999999934807,1431377.619999999878928,1453079.120000000111759,1468456.000000000000000,1445648.059999999823049,1490666.560000000055879,1380598.039999999804422,10145381.579999998211861
FS( 16 ),1499044.269999999785796,1436055.319999999832362,1454964.360000000102445,1462287.119999999878928,1454485.140000000130385,1478790.360000000102445,1390405.319999999832362,10176034.890000000596046
FS( 17 ),1499782.209999999962747,1437926.399999999906868,1455233.679999999934807,1472710.400000000139698,1455559.919999999925494,1469289.399999999906868,1395840.679999999701977,10186345.689999999478459
FS( 18 ),1499905.199999999953434,1449152.879999999888241,1471931.520000000018626,1471327.720000000204891,1467263.079999999841675,1471325.320000000065193,1395486.199999999720603,10226394.919999999925494
FS( 19 ),1495969.519999999785796,1442136.329999999841675,1494015.760000000009313,1472816.760000000009313,1469173.799999999813735,1471834.300000000046566,1388514.760000000009313,10234464.229999998584390
FS( 20 ),1492525.799999999813735,1436990.859999999869615,1490110.620000000111759,1463350.720000000204891,1463799.899999999906868,1486255.399999999906868,1391705.079999999841675,10224741.380000000819564
