代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10296439.310000000521541
真實報酬,296439.310000000521541

夏普值報酬,0.020943931000000
夏普值風險,0.010163457870523
夏普值,2.060709186461401

二次趨勢線,222.949539048911504 x^2 + 8913.847220955198281 x + 10000000.000000000000000
二次加權預期報酬,15899.599444487759683
風險,30469.572641399958229
二次加權趨勢值,0.521818918552355
一次趨勢線,12841.553993987063222 x + 10000000.000000000000000
一次預期報酬,12841.553993987063222
一次風險,33485.477700988907600
一次趨勢值,0.383496216140522
找到最佳解世代,3608
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,6
CSCO[4](5),INTC[11](1),JPM[13](6),NKE[19](4),PG[21](3),TRV[22](12),
Stock#,CSCO[4](5),INTC[11](1),JPM[13](6),NKE[19](4),PG[21](3),TRV[22](12),
張數,54235,47823,26123,30078,19287,14268,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,24.449999999953434,34.449999999953434,18.600000000093132,44.020000000018626,76.330000000074506,20.919999999925494,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1660700.149999999906868,1652797.330000000074506,1662747.550000000046566,1651927.780000000027940,1673416.450000000186265,1669804.959999999962747,9971398.220000000670552
FS( 3 ),1666123.649999999906868,1637972.199999999953434,1689131.780000000027940,1646814.520000000018626,1658179.719999999972060,1683359.560000000055879,9981585.429999999701977
FS( 4 ),1670462.449999999953434,1653753.789999999804422,1686519.480000000214204,1648017.639999999897555,1659722.679999999934807,1681932.759999999776483,10000412.799999998882413
FS( 5 ),1683478.849999999860302,1672882.989999999757856,1731973.500000000000000,1679900.320000000065193,1654515.190000000176951,1691920.359999999869615,10114675.209999999031425
FS( 6 ),1681851.800000000046566,1675752.369999999878928,1726748.899999999906868,1683810.459999999962747,1654129.450000000186265,1685785.120000000111759,10108082.100000001490116
FS( 7 ),1678055.350000000093132,1670013.610000000102445,1720740.610000000102445,1677494.080000000074506,1658565.459999999962747,1686213.159999999916181,10091086.269999999552965
FS( 8 ),1673174.199999999953434,1651362.639999999897555,1705328.040000000037253,1658244.160000000149012,1664737.300000000046566,1686926.560000000055879,10039776.900000000372529
FS( 9 ),1678597.699999999953434,1658536.089999999850988,1710030.179999999934807,1706368.959999999962747,1672837.840000000083819,1692205.719999999739230,10118580.489999998360872
FS( 10 ),1674258.899999999906868,1653275.560000000055879,1706372.959999999962747,1697947.120000000111759,1678816.810000000288710,1690921.600000000093132,10101596.949999999254942
FS( 11 ),1691614.100000000093132,1669535.379999999888241,1716822.160000000149012,1707572.080000000074506,1678431.070000000065193,1688638.719999999739230,10152617.510000001639128
FS( 12 ),1687817.649999999906868,1683882.280000000027940,1716560.929999999934807,1710880.660000000149012,1669944.790000000037253,1669091.560000000055879,10138181.869999999180436
FS( 13 ),1666123.649999999906868,1674795.910000000149012,1721263.070000000065193,1710279.100000000093132,1677273.849999999860302,1675369.479999999981374,10125109.060000000521541
FS( 14 ),1653107.250000000000000,1672404.760000000009313,1722830.450000000186265,1720806.400000000139698,1686531.610000000102445,1681076.679999999934807,10136761.150000000372529
FS( 15 ),1655276.649999999906868,1685316.969999999972060,1720479.380000000121072,1771638.219999999972060,1684024.300000000046566,1676082.879999999888241,10192822.399999998509884
FS( 16 ),1661242.500000000000000,1691055.729999999981374,1718912.000000000000000,1764419.500000000000000,1675152.280000000027940,1668663.520000000018626,10179449.529999999329448
FS( 17 ),1680224.750000000000000,1692968.649999999906868,1718128.310000000055879,1793294.379999999888241,1685760.130000000121072,1664097.759999999776483,10234477.980000000447035
FS( 18 ),1684563.549999999813735,1681012.899999999906868,1722830.450000000186265,1811341.179999999934807,1684024.300000000046566,1670946.399999999906868,10254722.780000001192093
FS( 19 ),1697037.599999999860302,1678143.520000000018626,1725965.209999999962747,1781864.739999999990687,1695403.630000000121072,1680077.919999999925494,10258496.620000001043081
FS( 20 ),1700291.699999999953434,1686273.429999999934807,1729883.660000000149012,1774646.020000000018626,1689231.790000000037253,1671374.439999999944121,10251705.040000000968575
FS( 21 ),1712765.749999999767169,1700142.099999999860302,1748953.450000000186265,1763517.160000000149012,1703118.429999999934807,1690493.560000000055879,10318994.450000001117587
FS( 22 ),1710596.349999999860302,1707315.550000000046566,1763321.100000000093132,1744568.020000000018626,1688460.310000000288710,1690350.879999999888241,10304616.210000000894070
FS( 23 ),1705172.850000000093132,1716401.919999999925494,1763321.100000000093132,1733739.939999999944121,1684024.300000000046566,1693775.199999999720603,10296439.310000000521541
