代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10082867.490000000223517
真實報酬,82867.490000000223517

夏普值報酬,-0.000413251000000
夏普值風險,0.013594856004763
夏普值,-0.030397600375849

二次趨勢線,2130.643159027757974 x^2 + -38718.077334969122603 x + 10000000.000000000000000
二次加權預期報酬,25201.217435863618448
風險,92527.544081782922149
二次加權趨勢值,0.272364490876240
一次趨勢線,-2781.229386034266099 x + 10000000.000000000000000
一次預期報酬,-2781.229386034266099
一次風險,152885.218303665023996
一次趨勢值,-425208861.836417019367218
找到最佳解世代,1686
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
NKE[19](1),PFE[20](2),
Stock#,NKE[19](1),PFE[20](2),
張數,101255,143802,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,28.099999999627471,4.459999999962747,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4960510.549999999813735,4969801.580000000074506,9930312.129999998956919
FS( 3 ),4937221.899999999441206,4981305.740000000223517,9918527.640000000596046
FS( 4 ),4984811.749999999068677,4956859.399999999441206,9941671.149999998509884
FS( 5 ),4906845.399999999441206,4884958.399999999441206,9791803.799999998882413
FS( 6 ),4933171.699999999254942,4893586.520000000484288,9826758.219999998807907
FS( 7 ),4886594.399999999441206,4857636.020000000484288,9744230.419999999925494
FS( 8 ),4826853.950000000186265,4836065.720000000670552,9662919.670000001788139
FS( 9 ),4912920.700000000186265,4889272.459999999962747,9802193.160000000149012
FS( 10 ),4851155.149999999441206,4889272.459999999962747,9740427.609999999403954
FS( 11 ),4882544.199999999254942,4952545.339999999850988,9835089.539999999105930
FS( 12 ),4887606.950000000186265,4913718.799999999813735,9801325.750000000000000
FS( 13 ),4937221.899999999441206,4943917.220000000670552,9881139.120000001043081
FS( 14 ),4977723.899999999441206,4910842.759999999776483,9888566.660000000149012
FS( 15 ),5163020.549999999813735,4925222.959999999962747,10088243.509999999776483
FS( 16 ),5136694.249999999068677,5040264.559999999590218,10176958.809999998658895
FS( 17 ),5096192.249999999068677,4964049.500000000000000,10060241.750000000000000
FS( 18 ),5012150.599999999627471,4932413.059999999590218,9944563.660000000149012
FS( 19 ),5029363.950000000186265,4912280.779999999329448,9941644.730000000447035
FS( 20 ),5056702.799999999813735,4965487.520000000484288,10022190.320000000298023
FS( 21 ),5108342.849999999627471,5033074.459999999962747,10141417.309999998658895
FS( 22 ),5079991.450000000186265,5002876.040000000037253,10082867.490000000223517
