代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10643236.780000001192093
真實報酬,643236.780000001192093

夏普值報酬,0.055623678000000
夏普值風險,0.020036305740556
夏普值,2.776144401081413

二次趨勢線,1909.874203180602080 x^2 + -9694.405401969228478 x + 10000000.000000000000000
二次加權預期報酬,45055.321755874705559
風險,21490.945544163747400
二次加權趨勢值,2.096479266735208
一次趨勢線,21085.660244639107987 x + 10000000.000000000000000
一次預期報酬,21085.660244639107987
一次風險,101938.295660737217986
一次趨勢值,0.206847290392363
找到最佳解世代,2790
找到最佳解實驗#,7
找到最佳解次數,13

stock[index](rank)
投資組合檔數,3
KO[14](3),MSFT[18](1),V[25](5),
Stock#,KO[14](3),MSFT[18](1),V[25](5),
張數,71347,28006,21196,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,1.160000000149012,58.879999999888241,50.040000000037253,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3322630.950000000186265,3338094.020000000018626,3344354.919999999925494,10005080.890000000596046
FS( 3 ),3294805.620000000111759,3359938.699999999720603,3358768.200000000186265,10013513.519999999552965
FS( 4 ),3316209.719999999739230,3342855.040000000037253,3341387.479999999515712,10000453.239999998360872
FS( 5 ),3315496.250000000000000,3357698.219999999739230,3341599.439999999944121,10014794.910000000149012
FS( 6 ),3321204.009999999776483,3358818.459999999962747,3343719.040000000037253,10023742.509999999776483
FS( 7 ),3329765.650000000372529,3340614.560000000055879,3338208.080000000074506,10008589.290000000968575
FS( 8 ),3327625.240000000223517,3366100.020000000018626,3360887.800000000279397,10054614.060000000521541
FS( 9 ),3332619.530000000260770,3370020.859999999869615,3346050.600000000558794,10048691.990000002086163
FS( 10 ),3334759.940000000409782,3387384.580000000074506,3383779.479999999515712,10105925.000000000000000
FS( 11 ),3353310.160000000149012,3390185.179999999701977,3400736.279999999795109,10144232.619999999180436
FS( 12 ),3349742.810000000521541,3382343.500000000000000,3396285.119999999646097,10128372.429999999701977
FS( 13 ),3373287.320000000298023,3410349.500000000000000,3400736.279999999795109,10184374.099999999627471
FS( 14 ),3387556.719999999739230,3455159.100000000093132,3394801.399999999906868,10237518.220000000670552
FS( 15 ),3381848.959999999962747,3466081.439999999944121,3399888.439999999944121,10247819.839999999850988
FS( 16 ),3439640.030000000260770,3513131.520000000018626,3426595.399999999906868,10379367.950000001117587
FS( 17 ),3423230.219999999739230,3501088.939999999944121,3422992.080000000074506,10347312.240000000223517
FS( 18 ),3413241.640000000596046,3617033.780000000260770,3413029.960000000428408,10443306.380000000819564
FS( 19 ),3443207.379999999888241,3637758.219999999273568,3453514.320000000298023,10534480.919999999925494
FS( 20 ),3454622.900000000372529,3634397.500000000000000,3479373.439999999944121,10568394.839999999850988
FS( 21 ),3500284.980000000447035,3657642.479999999515712,3485308.320000000298023,10643236.780000001192093
