代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10181908.669999999925494
真實報酬,181908.669999999925494

夏普值報酬,0.009490867000000
夏普值風險,0.011304925294259
夏普值,0.839533809641345

二次趨勢線,135.395879669539340 x^2 + 10108.721954738446584 x + 10000000.000000000000000
二次加權預期報酬,14170.598344824627929
風險,73604.389348653654451
二次加權趨勢值,0.192523821883781
一次趨勢線,12392.399125164653015 x + 10000000.000000000000000
一次預期報酬,12392.399125164653015
一次風險,74009.609981266970863
一次趨勢值,0.167443108108547
找到最佳解世代,2514
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](4),PFE[20](1),UNH[23](5),WMT[28](2),
Stock#,KO[14](4),PFE[20](1),UNH[23](5),WMT[28](2),
張數,51450,61319,10778,24664,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,44.500000000000000,24.369999999646097,42.899999999906868,56.959999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2489710.000000000000000,2514716.559999999590218,2505389.000000000000000,2494820.560000000055879,10004636.119999999180436
FS( 3 ),2506688.500000000000000,2538017.779999999795109,2500000.000000000000000,2517758.080000000074506,10062464.359999999403954
FS( 4 ),2493826.000000000000000,2553960.719999999739230,2592151.899999999906868,2527130.399999999906868,10167069.019999999552965
FS( 5 ),2469644.500000000000000,2503679.139999999664724,2565745.799999999813735,2498520.159999999683350,10037589.599999999627471
FS( 6 ),2461927.000000000000000,2511037.419999999925494,2577601.600000000093132,2473856.159999999683350,10024422.179999999701977
FS( 7 ),2438774.500000000000000,2492028.529999999795109,2564883.560000000055879,2455111.520000000018626,9950798.109999999403954
FS( 8 ),2479420.000000000000000,2496934.049999999348074,2593121.919999999925494,2513565.199999999720603,10083041.169999998062849
FS( 9 ),2472217.000000000000000,2487736.199999999720603,2581912.799999999813735,2463743.919999999925494,10005609.919999998062849
FS( 10 ),2505145.000000000000000,2493254.909999999217689,2548285.439999999944121,2473609.520000000018626,10020294.869999999180436
FS( 11 ),2530355.500000000000000,2523301.219999999739230,2544513.140000000130385,2463497.279999999795109,10061667.139999998733401
FS( 12 ),2550935.500000000000000,2553347.529999999795109,2552165.520000000018626,2498766.799999999813735,10155215.349999997764826
FS( 13 ),2531384.500000000000000,2542923.299999999348074,2601636.540000000037253,2487668.000000000000000,10163612.339999999850988
FS( 14 ),2513377.000000000000000,2550281.580000000074506,2651323.120000000111759,2503946.239999999757856,10218927.939999999478459
FS( 15 ),2500514.500000000000000,2555187.099999999627471,2693896.219999999739230,2494080.640000000130385,10243678.459999999031425
FS( 16 ),2554537.000000000000000,2574809.179999999701977,2687429.419999999925494,2521457.680000000167638,10338233.279999999329448
FS( 17 ),2564827.000000000000000,2570516.849999999627471,2656819.899999999906868,2512332.000000000000000,10304495.750000000000000
FS( 18 ),2552479.000000000000000,2572356.419999999925494,2668999.040000000037253,2532309.839999999850988,10326144.300000000745058
FS( 19 ),2526239.500000000000000,2569290.469999999739230,2608965.580000000074506,2526143.839999999850988,10230639.390000000596046
FS( 20 ),2501029.000000000000000,2558253.049999999348074,2612630.100000000093132,2518744.640000000130385,10190656.789999999105930
FS( 21 ),2533957.000000000000000,2569290.469999999739230,2624485.899999999906868,2520471.120000000111759,10248204.489999998360872
FS( 22 ),2527783.000000000000000,2545989.250000000000000,2606163.299999999813735,2501973.120000000111759,10181908.669999999925494
