代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11188428.199999999254942
真實報酬,1188428.199999999254942

夏普值報酬,0.110142820000000
夏普值風險,0.033804661927575
夏普值,3.258213918422759

二次趨勢線,352.483999905606197 x^2 + 50383.226862288385746 x + 10000000.000000000000000
二次加權預期報酬,60487.768192915769760
風險,51099.700864379454288
二次加權趨勢值,1.183720592679253
一次趨勢線,56063.957372395067068 x + 10000000.000000000000000
一次預期報酬,56063.957372395067068
一次風險,54308.372088534517388
一次趨勢值,1.032326236569908
找到最佳解世代,1675
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
GS[8](3),KO[14](2),VZ[26](1),
Stock#,GS[8](3),KO[14](2),VZ[26](1),
張數,25418,133226,126742,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,16.480000000447035,18.479999999981374,18.399999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3331807.920000000856817,3334665.260000000242144,3397971.419999999925494,10064445.600000001490116
FS( 3 ),3361801.160000000149012,3359978.199999999720603,3372623.020000000018626,10094403.379999998956919
FS( 4 ),3452543.420000000856817,3429255.719999999739230,3361216.239999999757856,10243016.380000000819564
FS( 5 ),3443138.760000000707805,3491871.939999999944121,3394169.160000000149012,10329180.860000001266599
FS( 6 ),3509225.560000000521541,3490539.679999999701977,3377692.699999999720603,10377458.939999999478459
FS( 7 ),3488636.980000000447035,3494536.459999999962747,3357413.979999999515712,10340588.419999999925494
FS( 8 ),3564890.980000000447035,3511855.839999999850988,3408110.779999999795109,10484858.599999999627471
FS( 9 ),3534643.560000000521541,3518517.140000000130385,3401773.679999999701977,10454935.380000000819564
FS( 10 ),3691218.440000000409782,3521181.660000000149012,3396704.000000000000000,10609105.100000001490116
FS( 11 ),3715365.540000000037253,3489207.419999999925494,3382762.379999999888241,10587336.339999999850988
FS( 12 ),3702910.720000000670552,3482546.120000000111759,3386564.639999999664724,10572022.480000000447035
FS( 13 ),3785010.860000000335276,3546494.600000000093132,3380227.540000000037253,10711734.000000000000000
FS( 14 ),3736208.300000000745058,3602449.520000000018626,3361216.239999999757856,10699875.060000000521541
FS( 15 ),3725024.380000000819564,3614439.859999999869615,3422052.399999999906868,10761517.640000000596046
FS( 16 ),3746121.320000000298023,3647746.359999999869615,3551329.239999999757856,10945197.919999999925494
FS( 17 ),3766964.080000000074506,3659736.699999999720603,3584282.160000000149012,11010983.939999999478459
FS( 18 ),3742308.620000000111759,3667730.260000000242144,3623572.179999999701977,11033612.060000000521541
FS( 19 ),3741546.080000000074506,3655739.919999999925494,3664129.620000000111759,11061416.620000001043081
FS( 20 ),3878294.920000000856817,3663733.479999999981374,3660327.359999999869615,11202356.759999999776483
FS( 21 ),3833559.240000000223517,3671727.040000000037253,3683140.919999999925494,11188428.199999999254942
