代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10402558.419999999925494
真實報酬,402558.419999999925494

夏普值報酬,0.031555842000000
夏普值風險,0.015566015530599
夏普值,2.027226680968501

二次趨勢線,2173.468032746603512 x^2 + -25074.451904376794118 x + 10000000.000000000000000
二次加權預期報酬,37231.631701025835355
風險,22297.292252656730852
二次加權趨勢值,1.669782648006942
一次趨勢線,9953.765460585918845 x + 10000000.000000000000000
一次預期報酬,9953.765460585918845
一次風險,115571.404041403395240
一次趨勢值,0.086126542661193
找到最佳解世代,1920
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CSCO[4](5),DD[7](6),INTC[11](8),MRK[17](12),VZ[26](2),
Stock#,CSCO[4](5),DD[7](6),INTC[11](8),MRK[17](12),VZ[26](2),
張數,86918,28830,75614,33545,42354,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,16.819999999832362,62.899999999906868,9.699999999953434,47.100000000093132,44.120000000111759,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1993915.739999999990687,1999135.100000000093132,1996975.439999999944121,1953037.000000000000000,1995764.600000000093132,9938827.879999998956919
FS( 3 ),1995654.099999999860302,2026523.600000000093132,1978828.080000000074506,1966790.450000000186265,2007200.180000000167638,9974996.410000000149012
FS( 4 ),1974793.779999999795109,2016433.099999999860302,1981096.500000000000000,1915802.050000000046566,2010588.500000000000000,9898713.929999999701977
FS( 5 ),1987831.479999999981374,2033154.499999999767169,1993950.880000000121072,1873199.900000000139698,2037271.520000000251457,9925408.279999999329448
FS( 6 ),2000869.179999999701977,2020469.299999999813735,1991682.459999999962747,1839319.449999999953434,2053789.580000000307336,9906129.970000000670552
FS( 7 ),2000869.179999999701977,2023064.000000000000000,1988657.899999999906868,1852066.550000000046566,2053366.040000000037253,9918023.669999999925494
FS( 8 ),2015645.239999999990687,2057948.299999999813735,1993950.880000000121072,1854750.150000000139698,2039812.760000000009313,9962107.330000000074506
FS( 9 ),1986962.299999999813735,2055065.300000000046566,2000000.000000000000000,1870180.850000000093132,2026683.020000000251457,9938891.469999998807907
FS( 10 ),1982616.399999999674037,2061119.599999999860302,1990926.319999999832362,1890978.750000000000000,2033459.659999999916181,9959100.729999998584390
FS( 11 ),2101694.059999999590218,1995963.800000000046566,1966729.840000000083819,1874877.150000000139698,2031341.960000000195578,9970606.810000000521541
FS( 12 ),2118208.479999999981374,2010955.399999999906868,1952363.179999999934807,1874206.250000000000000,2078354.900000000139698,10034088.209999999031425
FS( 13 ),2116470.120000000111759,2025658.699999999953434,1968998.259999999776483,1890307.850000000093132,2081743.219999999972060,10083178.150000000372529
FS( 14 ),2096478.979999999981374,2042091.799999999813735,1968998.259999999776483,1878567.100000000093132,2060566.219999999972060,10046702.359999999403954
FS( 15 ),2127769.459999999962747,2050452.500000000000000,1981096.500000000000000,1898023.199999999953434,2082590.300000000279397,10139931.960000000894070
FS( 16 ),2119077.659999999683350,2043821.599999999860302,1977315.799999999813735,1895004.150000000139698,2094449.420000000158325,10129668.630000000819564
FS( 17 ),2131246.179999999701977,2080724.000000000000000,1987901.759999999776483,1905738.550000000279397,2106732.080000000074506,10212342.570000000298023
FS( 18 ),2147760.600000000093132,2091102.800000000046566,2019659.640000000130385,1901713.149999999906868,2101649.600000000093132,10261885.790000000968575
FS( 19 ),2157321.580000000074506,2125698.799999999813735,2032514.019999999785796,1891985.100000000093132,2106732.080000000074506,10314251.580000000074506
FS( 20 ),2145153.059999999590218,2154240.500000000000000,2038563.140000000130385,1935593.600000000093132,2105885.000000000000000,10379435.299999998882413
FS( 21 ),2139937.979999999981374,2139825.500000000000000,2065784.179999999934807,1940960.800000000046566,2116049.959999999962747,10402558.419999999925494
