代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10611108.859999999403954
真實報酬,611108.859999999403954

夏普值報酬,0.052410886000000
夏普值風險,0.017786994634306
夏普值,2.946584686033230

二次趨勢線,350.243957654111796 x^2 + 19190.040090596776281 x + 10000000.000000000000000
二次加權預期報酬,30164.350763758946414
風險,35858.646390265486843
二次加權趨勢值,0.841201601294901
一次趨勢線,25360.295344588343141 x + 10000000.000000000000000
一次預期報酬,25360.295344588343141
一次風險,41974.486789040107396
一次趨勢值,0.604183571607363
找到最佳解世代,1346
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](3),AXP[1](4),JNJ[12](13),MCD[15](12),UNH[23](5),V[25](2),
Stock#,AAPL[0](3),AXP[1](4),JNJ[12](13),MCD[15](12),UNH[23](5),V[25](2),
張數,8271,16758,12565,10621,6577,12055,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,59.500000000000000,82.899999999906868,44.400000000139698,18.680000000167638,251.510000000009313,62.250000000000000,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1715382.189999999944121,1671358.239999999990687,1649200.650000000139698,1650628.290000000037253,1684489.669999999925494,1674742.849999999860302,10045805.890000000596046
FS( 3 ),1720344.790000000037253,1689121.719999999972060,1657996.149999999906868,1659125.090000000316650,1691987.450000000186265,1685592.349999999860302,10104171.549999998882413
FS( 4 ),1729277.469999999972060,1691300.260000000009313,1658875.700000000186265,1664541.800000000046566,1688962.030000000027940,1684266.300000000046566,10117227.560000000521541
FS( 5 ),1713066.310000000055879,1708896.159999999916181,1651839.300000000279397,1657319.520000000018626,1694815.559999999823049,1691137.649999999906868,10117078.500000000000000
FS( 6 ),1714224.250000000000000,1722470.139999999897555,1648195.449999999953434,1687908.000000000000000,1702444.880000000121072,1695959.650000000139698,10171206.370000001043081
FS( 7 ),1727705.979999999981374,1725989.319999999832362,1648572.399999999906868,1691943.980000000214204,1720728.939999999944121,1687882.799999999813735,10202827.419999998062849
FS( 8 ),1716540.130000000121072,1702360.539999999804422,1642918.150000000139698,1685358.960000000195578,1712639.230000000214204,1684507.399999999906868,10144328.410000000149012
FS( 9 ),1727623.270000000018626,1706214.879999999888241,1636258.700000000186265,1679623.620000000111759,1716256.580000000074506,1690293.800000000046566,10156274.850000001490116
FS( 10 ),1734901.750000000000000,1712415.340000000083819,1627211.900000000139698,1705751.280000000027940,1733159.470000000204891,1696924.049999999813735,10210367.789999999105930
FS( 11 ),1738954.540000000037253,1701187.479999999981374,1638897.350000000325963,1698104.160000000149012,1714283.480000000214204,1686797.849999999860302,10178228.859999999403954
FS( 12 ),1764429.219999999972060,1720291.600000000093132,1664655.600000000093132,1717753.010000000009313,1730660.210000000195578,1695598.000000000000000,10293391.640000000596046
FS( 13 ),1799663.680000000167638,1726659.639999999897555,1689659.950000000186265,1711592.830000000307336,1725595.919999999925494,1703795.400000000139698,10356971.419999999925494
FS( 14 ),1782129.160000000149012,1740066.039999999804422,1719941.600000000093132,1717221.960000000195578,1726056.309999999823049,1699093.949999999953434,10384513.019999999552965
FS( 15 ),1778655.339999999850988,1756488.879999999888241,1700717.150000000139698,1710424.520000000018626,1721386.639999999897555,1688244.449999999953434,10355920.980000000447035
FS( 16 ),1778738.050000000046566,1773582.039999999804422,1691419.050000000279397,1705220.230000000214204,1715138.489999999990687,1701504.949999999720603,10365606.810000000521541
FS( 17 ),1782377.290000000037253,1765873.359999999869615,1697701.550000000279397,1689288.730000000214204,1719610.850000000093132,1713077.750000000000000,10367933.530000001192093
FS( 18 ),1787918.859999999869615,1772408.979999999981374,1708256.149999999906868,1692793.660000000149012,1738421.069999999832362,1738393.249999999767169,10438195.970000000670552
FS( 19 ),1802641.239999999990687,1794026.799999999813735,1695314.199999999953434,1704476.760000000009313,1756836.669999999925494,1752859.250000000000000,10506158.919999999925494
FS( 20 ),1817198.199999999953434,1797881.139999999897555,1687775.199999999953434,1716797.120000000111759,1766241.780000000027940,1750448.249999999767169,10536345.689999999478459
FS( 21 ),1844327.079999999841675,1788329.079999999841675,1694560.300000000279397,1732409.990000000223517,1769464.510000000009313,1772508.899999999906868,10601603.860000001266599
FS( 22 ),1861282.630000000121072,1780285.239999999990687,1695691.149999999906868,1729117.480000000214204,1765452.539999999804422,1769012.950000000186265,10600845.989999998360872
FS( 23 ),1882787.229999999981374,1776095.739999999990687,1692424.250000000000000,1723063.510000000009313,1765912.929999999934807,1770821.199999999720603,10611108.859999999403954
