代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10796615.720000000670552
真實報酬,796615.720000000670552

夏普值報酬,0.070961572000000
夏普值風險,0.023314868769603
夏普值,3.043618761110819

二次趨勢線,783.288284415056069 x^2 + 27099.804134662575962 x + 10000000.000000000000000
二次加權預期報酬,47465.299529454030562
風險,32238.586899427969911
二次加權趨勢值,1.472313277177054
一次趨勢線,38547.863676113433030 x + 10000000.000000000000000
一次預期報酬,38547.863676113433030
一次風險,46595.785097370018775
一次趨勢值,0.827282201503010
找到最佳解世代,2403
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
HD[9](3),MRK[17](11),NKE[19](1),UNH[23](2),VZ[26](23),XOM[29](5),
Stock#,HD[9](3),MRK[17](11),NKE[19](1),UNH[23](2),VZ[26](23),XOM[29](5),
張數,22195,32002,47027,23560,35911,18508,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,43.449999999953434,1.840000000083819,29.120000000111759,31.600000000093132,36.490000000223517,20.600000000093132,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1664002.599999999860302,1712428.860000000102445,1658201.140000000130385,1661247.200000000186265,1681389.510000000242144,1666110.760000000009313,10043384.070000000298023
FS( 3 ),1670439.150000000139698,1713068.900000000139698,1660082.219999999972060,1668550.800000000046566,1676721.080000000074506,1657967.239999999990687,10046833.390000000596046
FS( 4 ),1690414.649999999906868,1720749.380000000121072,1681714.640000000130385,1669728.800000000279397,1676361.970000000204891,1662039.000000000000000,10101012.440000001341105
FS( 5 ),1696851.199999999953434,1752751.380000000121072,1709460.570000000065193,1681273.200000000186265,1681030.400000000372529,1676475.239999999990687,10197845.990000000223517
FS( 6 ),1695963.399999999906868,1756591.620000000111759,1708990.300000000279397,1643106.000000000000000,1684621.500000000000000,1656856.760000000009313,10146133.580000000074506
FS( 7 ),1702399.949999999953434,1782513.240000000223517,1739557.850000000093132,1663838.800000000279397,1695394.800000000279397,1681287.320000000065193,10264995.960000002756715
FS( 8 ),1715273.050000000046566,1760111.840000000083819,1742849.740000000223517,1654886.000000000000000,1701140.560000000055879,1685729.239999999990687,10259994.430000001564622
FS( 9 ),1722153.500000000000000,1763312.040000000037253,1760720.000000000000000,1677739.199999999953434,1698985.900000000372529,1692207.040000000270084,10315121.680000001564622
FS( 10 ),1729699.800000000046566,1774192.719999999972060,1764952.430000000167638,1732162.800000000046566,1670257.100000000093132,1741808.479999999981374,10413077.330000000074506
FS( 11 ),1721709.599999999860302,1782193.219999999972060,1768244.320000000065193,1739466.400000000139698,1651224.270000000018626,1741068.159999999916181,10403909.970000000670552
FS( 12 ),1696851.199999999953434,1761391.920000000158325,1759309.189999999944121,1732869.600000000093132,1670975.320000000298023,1738847.200000000186265,10360248.429999999701977
FS( 13 ),1719712.050000000046566,1786033.460000000195578,1777179.450000000186265,1731220.400000000139698,1728073.810000000055879,1765128.560000000288710,10507351.730000002309680
FS( 14 ),1725482.749999999767169,1793073.900000000139698,1798341.600000000093132,1738995.200000000186265,1697549.460000000428408,1758835.840000000083819,10512282.750000000000000
FS( 15 ),1728368.100000000093132,1797874.200000000186265,1830319.960000000195578,1790827.200000000186265,1660202.020000000018626,1784932.120000000111759,10592527.600000001490116
FS( 16 ),1797394.550000000046566,1789233.659999999916181,1836903.740000000223517,1774570.800000000046566,1662356.680000000167638,1782526.080000000074506,10642989.509999999776483
FS( 17 ),1813374.949999999953434,1800754.380000000121072,1843957.790000000037253,1792005.200000000186265,1664511.340000000316650,1772901.920000000158325,10687509.580000000074506
FS( 18 ),1819367.599999999860302,1813235.159999999916181,1834552.390000000130385,1791062.800000000046566,1705808.990000000223517,1773827.320000000065193,10737858.260000001639128
FS( 19 ),1820699.300000000046566,1823795.820000000065193,1841136.170000000158325,1820512.800000000046566,1708681.870000000111759,1781785.760000000009313,10796615.720000000670552
