訓練日期,20120228 - 20120530
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10886313.019999999552965
真實報酬,886313.019999999552965

夏普值報酬,0.079931302000000
夏普值風險,0.027821235482525
夏普值,2.873032078327536

預期報酬,14158.157224363418209
風險,94413.443516654690029
趨勢值,0.149959123372784
找到最佳解世代,2438
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),TRV[22](4),WMT[28](8),
Stock#,KO[14](1),TRV[22](4),WMT[28](8),
張數,96842,56882,57019,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,31.359999999869615,47.799999999813735,2.259999999776483,
20120228,3333333.000000000000000,3321956.599999999627471,3360131.929999999701977,10015422.529999999329448
20120229,3382722.419999999925494,3297497.339999999850988,3368684.779999999795109,10048905.539999999105930
20120301,3370132.959999999497086,3323094.239999999757856,3353859.839999999850988,10047088.039999999105930
20120302,3349796.140000000130385,3299772.619999999646097,3364693.449999999720603,10014263.209999999031425
20120305,3352701.399999999441206,3327644.799999999813735,3386930.859999999869615,10067278.059999998658895
20120306,3329459.320000000298023,3241752.979999999981374,3362412.689999999944121,9933625.990000000223517
20120307,3331396.159999999683350,3234927.139999999664724,3413159.599999999627471,9979483.899999998509884
20120308,3354638.239999999757856,3248010.000000000000000,3408027.890000000130385,10010677.130000000819564
20120309,3366259.279999999795109,3277019.819999999832362,3425703.779999999795109,10068983.879999998956919
20120312,3397248.719999999739230,3277019.819999999832362,3459915.179999999701977,10134184.719999998807907
20120313,3402090.820000000298023,3322525.419999999459833,3478161.259999999776483,10202778.500000000000000
20120314,3400153.979999999981374,3353241.700000000186265,3482722.779999999795109,10236119.459999999031425
20120315,3405964.500000000000000,3360636.359999999869615,3491275.629999999422580,10257877.489999998360872
20120316,3397248.719999999739230,3367462.200000000186265,3469038.219999999739230,10233750.140000000596046
20120319,3408869.760000000242144,3362911.639999999664724,3463336.319999999832362,10235118.720000000670552
20120320,3418553.959999999497086,3365186.919999999459833,3455353.659999999683350,10239095.539999999105930
20120321,3443732.879999999888241,3328213.619999999646097,3453072.899999999906868,10225020.400000000372529
20120322,3458259.180000000167638,3297497.339999999850988,3458204.609999999869615,10213962.129999998956919
20120323,3461164.439999999944121,3310580.200000000186265,3463906.509999999776483,10235652.150000000372529
20120326,3481501.260000000242144,3347553.500000000000000,3489565.060000000055879,10318620.820000000298023
20120327,3480532.839999999850988,3326507.159999999683350,3483292.969999999739230,10290333.969999998807907
20120328,3518301.219999999739230,3343002.939999999944121,3488994.869999999646097,10350300.029999999329448
20120329,3574469.579999999608845,3336177.099999999627471,3467897.839999999850988,10378545.519999999552965
20120330,3584153.779999999795109,3367462.200000000186265,3489565.060000000055879,10441182.040000000968575
20120402,3589964.299999999813735,3374856.859999999869615,3498688.099999999627471,10463510.259999999776483
20120403,3571564.320000000298023,3372012.759999999776483,3458204.609999999869615,10401782.689999999478459
20120404,3557038.019999999552965,3368599.839999999850988,3435967.199999999720603,10361606.059999998658895
20120405,3558006.439999999944121,3349259.959999999962747,3459344.989999999757856,10366612.390000000596046
20120409,3528953.839999999850988,3302047.899999999441206,3428554.729999999981374,10259557.469999998807907
20120410,3487311.779999999795109,3284983.299999999813735,3417150.929999999701977,10189447.009999999776483
20120411,3492153.879999999888241,3308873.739999999757856,3409738.459999999497086,10210767.079999998211861
20120412,3496995.979999999981374,3361774.000000000000000,3429124.919999999925494,10287895.900000000372529
20120413,3483438.099999999627471,3306029.639999999664724,3408027.890000000130385,10197496.629999998956919
20120416,3507648.599999999627471,3365186.919999999459833,3454213.279999999795109,10327049.799999998882413
20120417,3581248.519999999552965,3412398.979999999981374,3527767.789999999571592,10521416.289999999105930
