訓練日期,20160211 - 20160513
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11098880.059999998658895
真實報酬,1098880.059999998658895

夏普值報酬,0.101188006000000
夏普值風險,0.031674418199047
夏普值,3.194628717854205

預期報酬,18853.113491165317100
風險,55578.961898017645581
趨勢值,0.339213127545618
找到最佳解世代,3372
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](1),MCD[15](6),XOM[29](4),
Stock#,JNJ[12](1),MCD[15](6),XOM[29](4),
張數,32766,28359,42007,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,47.819999999832362,16.139999999664724,77.550000000279397,
20160211,3332350.020000000018626,3310362.209999999962747,3343834.750000000000000,9986547.980000000447035
20160212,3336281.939999999478459,3344393.009999999776483,3403904.760000000242144,10084580.709999999031425
20160216,3352664.939999999478459,3379841.759999999776483,3411886.090000000316650,10144393.789999999105930
20160217,3358562.819999999832362,3364527.899999999906868,3444651.550000000279397,10167743.269999999552965
20160218,3415575.659999999683350,3322840.169999999925494,3463554.700000000186265,10201971.530000001192093
20160219,3412954.379999999888241,3304690.409999999683350,3465655.050000000279397,10183300.839999999850988
20160222,3432286.319999999832362,3337019.669999999925494,3461034.280000000260770,10230341.269999999552965
20160223,3410333.099999999627471,3315183.239999999757856,3412306.160000000614673,10137823.500000000000000
20160224,3439167.179999999701977,3319720.679999999701977,3424488.189999999944121,10183377.049999998882413
20160225,3485694.899999999906868,3356870.969999999739230,3445071.620000000577420,10287638.490000000223517
20160226,3466035.299999999813735,3319720.679999999701977,3434149.800000000279397,10219906.779999999329448
20160229,3447358.679999999701977,3323407.349999999627471,3366938.600000000558794,10137705.629999998956919
20160301,3513218.339999999850988,3370483.289999999571592,3414406.510000000242144,10298109.139999998733401
20160302,3507320.459999999962747,3359990.459999999962747,3474056.450000000186265,10341368.370000001043081
