訓練日期,20170330 - 20170630
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11130655.099999999627471
真實報酬,1130655.099999999627471

夏普值報酬,0.104365510000000
夏普值風險,0.036670955566133
夏普值,2.845999194424774

預期報酬,20157.112135376079095
風險,70485.943260098720202
趨勢值,0.285973503411804
找到最佳解世代,2583
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](8),JNJ[12](13),MCD[15](1),UNH[23](2),WMT[28](10),
Stock#,BA[2](8),JNJ[12](13),MCD[15](1),UNH[23](2),WMT[28](10),
張數,11259,16010,15523,12236,28272,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,63.830000000074506,30.800000000046566,16.679999999934807,148.159999999916181,38.720000000204891,
20170330,2003940.649999999906868,1995837.399999999906868,2007451.039999999804422,2018965.800000000046566,2024031.200000000186265,10050226.089999999850988
20170331,1991330.570000000298023,1994076.300000000046566,2011952.710000000195578,2006974.519999999785796,2037884.480000000214204,10042218.580000000074506
20170403,1988966.180000000167638,1996317.699999999953434,2011952.710000000195578,2026307.399999999906868,2030816.480000000214204,10054360.470000000670552
20170404,2012047.129999999888241,1996157.600000000093132,2006985.349999999860302,2018721.079999999841675,2035905.440000000409782,10069816.600000001490116
20170405,1993807.550000000279397,1998078.800000000046566,2024371.109999999869615,2023615.479999999981374,2025727.520000000251457,10065600.460000000894070
20170406,1997072.660000000149012,2002081.300000000046566,2020335.130000000121072,2023248.399999999906868,2019507.680000000400469,10062245.169999999925494
20170407,2013735.979999999981374,2000000.000000000000000,2017385.760000000009313,2031568.880000000121072,2061067.520000000251457,10123758.140000000596046
20170410,1999211.870000000111759,1990714.200000000186265,2017696.219999999739230,2024961.439999999711290,2065591.040000000270084,10098174.769999999552965
20170411,2010583.459999999962747,1988793.000000000000000,2036634.279999999795109,2029244.040000000037253,2076051.680000000400469,10141306.460000000894070
20170412,1982210.780000000260770,2007684.800000000046566,2037565.659999999683350,2025940.319999999832362,2076334.400000000139698,10129735.960000000894070
20170413,1977369.410000000149012,2001120.699999999953434,2029804.159999999683350,2018598.719999999972060,2068135.520000000251457,10095028.509999999776483
20170417,2015650.010000000242144,2012808.000000000000000,2038962.729999999748543,2045762.639999999897555,2077748.000000000000000,10190931.379999998956919
20170418,2002476.979999999981374,1950369.000000000000000,2053709.580000000074506,2063015.399999999906868,2089056.800000000279397,10158627.760000001639128
20170419,2008669.430000000167638,1943164.500000000232831,2058987.399999999674037,2071091.159999999916181,2094145.760000000009313,10176058.250000000000000
20170420,2018802.530000000260770,1951169.500000000232831,2068766.890000000130385,2099111.599999999627471,2114784.320000000298023,10252634.839999999850988
20170421,2030962.250000000000000,1949408.400000000139698,2070940.109999999869615,2094461.919999999925494,2118742.400000000372529,10264515.080000000074506
20170424,2049877.370000000111759,1967499.699999999953434,2083668.969999999739230,2108778.040000000037253,2114218.880000000353903,10324042.960000000894070
20170425,2066202.919999999925494,1976145.100000000093132,2199625.779999999329448,2129701.599999999627471,2121852.320000000298023,10493527.719999998807907
20170426,2045936.720000000204891,1977425.900000000139698,2186276.000000000000000,2133861.839999999850988,2132595.680000000167638,10476096.140000000596046
20170427,2062937.810000000055879,1981108.199999999953434,2186741.690000000409782,2136920.839999999850988,2132878.400000000372529,10500586.940000001341105
20170428,2081064.800000000279397,1976785.500000000000000,2172150.070000000298023,2139979.839999999850988,2125527.680000000167638,10495507.890000000596046
20170501,2053592.839999999850988,1974704.200000000186265,2191088.129999999888241,2136431.400000000372529,2126941.280000000260770,10482757.850000001490116
20170502,2065414.790000000037253,1980467.800000000046566,2192329.969999999739230,2130925.200000000186265,2135140.160000000149012,10504277.919999999925494
20170503,2064851.839999999850988,1974544.100000000093132,2213906.940000000409782,2111347.599999999627471,2141925.440000000409782,10506575.920000001788139
20170504,2061248.959999999962747,1984470.300000000046566,2226791.029999999329448,2129456.879999999888241,2158323.200000000186265,10560290.369999997317791
20170505,2083091.419999999925494,1977425.900000000139698,2234707.759999999776483,2130680.479999999515712,2162846.720000000204891,10588752.279999999329448
20170508,2094463.010000000242144,1973263.300000000046566,2239054.200000000186265,2134596.000000000000000,2152103.360000000335276,10593479.870000001043081
20170509,2104483.520000000018626,1972622.899999999906868,2240916.959999999962747,2119912.799999999813735,2169066.560000000055879,10607002.740000000223517
20170510,2062487.450000000186265,1966218.900000000139698,2243400.639999999664724,2121748.200000000186265,2168501.120000000111759,10562356.310000002384186
20170511,2071044.290000000037253,1972462.800000000046566,2238588.509999999776483,2120891.679999999701977,2152386.080000000074506,10555373.359999999403954
20170512,2063275.580000000074506,1979507.199999999953434,2256439.959999999962747,2102415.320000000298023,2140511.839999999850988,10542149.900000000372529
20170515,2053592.839999999850988,2033140.699999999953434,2270721.120000000111759,2098989.240000000223517,2156909.600000000558794,10613353.500000000000000
20170516,2057083.129999999888241,2045628.500000000000000,2286399.349999999627471,2057264.479999999981374,2123548.640000000130385,10569924.099999999627471
20170517,2012947.850000000093132,2028017.500000000000000,2272739.110000000335276,2066319.120000000111759,2123831.360000000335276,10503854.940000001341105
20170518,1997410.430000000167638,2032820.500000000000000,2282052.910000000149012,2098010.359999999403954,2192249.600000000558794,10602543.800000000745058
20170519,2035240.669999999925494,2033300.800000000046566,2299749.129999999888241,2111959.400000000372529,2227024.160000000149012,10707274.160000000149012
20170522,2068004.359999999869615,2037463.400000000139698,2300370.049999999813735,2137777.359999999403954,2220804.320000000298023,10764419.489999998360872
20170523,2065977.740000000223517,2041626.000000000000000,2294626.540000000037253,2144140.080000000074506,2219108.000000000000000,10765478.359999999403954
20170524,2085793.580000000074506,2041465.900000000139698,2320705.179999999701977,2148667.400000000372529,2209495.520000000484288,10806127.580000001937151
20170525,2106284.959999999962747,2041786.100000000093132,2325051.620000000111759,2178767.959999999962747,2214019.040000000037253,10865909.679999999701977
20170526,2100880.640000000130385,2032020.000000000000000,2326293.459999999962747,2172038.160000000149012,2208930.080000000074506,10840162.339999999850988
20170530,2104145.750000000000000,2035061.900000000139698,2327380.070000000298023,2160903.400000000372529,2209495.520000000484288,10836986.640000000596046
20170531,2112590.000000000000000,2053313.300000000046566,2342282.149999999441206,2143650.639999999664724,2222217.919999999925494,10874054.009999999776483
20170601,2109099.709999999962747,2061798.600000000093132,2365566.649999999441206,2197489.040000000037253,2256427.040000000037253,10990381.039999999105930
20170602,2141863.399999999906868,2082611.600000000325963,2386522.700000000186265,2195164.200000000186265,2251055.360000000335276,11057217.260000001639128
20170605,2127451.879999999888241,2087094.400000000372529,2371775.849999999627471,2194919.479999999515712,2269149.440000000409782,11050391.050000000745058
20170606,2102682.080000000074506,2094619.100000000325963,2347559.969999999739230,2212661.679999999701977,2231547.680000000167638,10989070.509999999776483
20170607,2117881.729999999981374,2093338.300000000046566,2358581.299999999813735,2241905.719999999739230,2237767.520000000484288,11049474.570000000298023
20170608,2138485.700000000186265,2090136.300000000279397,2350664.570000000298023,2223307.000000000000000,2231547.680000000167638,11034141.250000000000000
20170609,2139611.600000000093132,2105826.099999999627471,2351440.719999999739230,2220492.719999999739230,2245400.960000000428408,11062772.099999999627471
20170612,2139273.830000000074506,2110469.000000000000000,2304716.490000000223517,2193451.160000000149012,2240312.000000000000000,10988222.480000000447035
20170613,2151546.140000000130385,2113671.000000000000000,2325672.540000000037253,2215475.959999999962747,2248228.160000000149012,11054593.800000000745058
20170614,2166070.250000000000000,2125678.500000000000000,2339022.320000000298023,2231505.120000000111759,2258971.520000000484288,11121247.710000000894070
20170615,2200635.379999999888241,2130001.200000000186265,2346628.589999999850988,2207277.839999999850988,2230982.240000000223517,11115525.250000000000000
20170616,2211781.790000000037253,2150974.299999999813735,2359357.450000000186265,2222572.839999999850988,2127224.000000000000000,11071910.379999998956919
20170619,2241505.550000000279397,2146491.500000000000000,2377208.899999999441206,2239580.879999999888241,2134574.720000000204891,11139361.550000000745058
20170620,2233061.300000000279397,2148893.000000000000000,2391645.290000000037253,2242639.879999999888241,2135705.600000000558794,11151945.070000000298023
20170621,2242518.859999999869615,2159939.900000000372529,2386367.469999999739230,2262829.279999999329448,2155496.000000000000000,11207151.509999997913837
20170622,2245558.790000000037253,2178191.299999999813735,2402977.080000000074506,2282162.160000000149012,2135140.160000000149012,11244029.490000000223517
20170623,2276971.399999999906868,2184275.100000000558794,2400493.399999999441206,2266867.160000000149012,2115915.200000000186265,11244522.259999997913837
20170626,2251638.649999999906868,2182834.200000000186265,2389937.759999999776483,2265276.479999999515712,2134574.720000000204891,11224261.810000000521541
20170627,2239366.339999999850988,2161540.899999999441206,2386212.240000000223517,2258913.759999999776483,2148993.440000000409782,11195026.679999999701977
20170628,2247585.410000000149012,2142489.000000000000000,2395215.580000000074506,2272373.359999999403954,2163129.440000000409782,11220792.789999999105930
20170629,2223265.970000000204891,2123597.200000000186265,2377053.669999999925494,2267111.879999999888241,2146731.680000000167638,11137760.399999998509884
20170630,2226531.080000000074506,2117993.700000000186265,2377519.360000000335276,2268947.279999999329448,2139663.680000000167638,11130655.099999999627471
