訓練日期,20140314 - 20140616
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11305294.360000001266599
真實報酬,1305294.360000001266599

夏普值報酬,0.121829436000000
夏普值風險,0.035927836497215
夏普值,3.390948297414045

預期報酬,19953.920810761752364
風險,46176.268451346440997
趨勢值,0.432125017459697
找到最佳解世代,1826
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](12),CSCO[4](3),INTC[11](11),KO[14](8),MCD[15](13),TRV[22](1),VZ[26](10),
Stock#,AAPL[0](12),CSCO[4](3),INTC[11](11),KO[14](8),MCD[15](13),TRV[22](1),VZ[26](10),
張數,18844,66383,58142,37623,14671,17297,31035,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,7.359999999869615,8.840000000083819,22.060000000055879,25.689999999944121,55.729999999981374,11.770000000018626,29.949999999953434,
20140314,1412553.599999999860302,1417285.890000000130385,1424501.060000000055879,1436095.600000000093132,1431651.909999999916181,1429781.790000000037253,1430122.750000000000000,9981995.600000001490116
20140317,1418018.359999999869615,1427907.170000000158325,1436129.459999999962747,1439857.900000000139698,1431945.329999999841675,1445003.150000000139698,1437260.800000000046566,10036125.170000001788139
20140318,1430455.399999999906868,1435873.130000000121072,1443106.500000000000000,1444748.889999999897555,1427690.739999999990687,1452094.920000000158325,1449364.449999999953434,10083337.029999999329448
20140319,1430078.519999999785796,1435873.130000000121072,1454734.900000000139698,1434966.909999999916181,1409938.829999999841675,1439122.170000000158325,1438812.550000000046566,10043530.010000001639128
20140320,1423294.679999999934807,1449149.729999999981374,1478573.120000000111759,1446630.040000000037253,1417274.329999999841675,1439641.080000000074506,1465192.300000000046566,10119758.280000001192093
20140321,1434412.639999999897555,1436536.960000000195578,1463456.200000000186265,1446253.809999999823049,1400696.099999999860302,1449154.429999999934807,1455881.799999999813735,10086394.940000001341105
20140324,1451560.679999999934807,1431890.150000000139698,1460549.100000000093132,1444748.889999999897555,1411112.510000000009313,1450538.189999999944121,1458985.299999999813735,10109387.820000000298023
20140325,1467201.199999999953434,1483005.060000000055879,1480317.380000000121072,1453025.949999999953434,1407151.339999999850988,1453478.679999999934807,1465502.649999999906868,10209685.259999999776483
20140326,1453068.199999999953434,1481677.400000000139698,1475666.020000000018626,1452649.719999999972060,1406124.370000000111759,1443100.480000000214204,1458985.299999999813735,10171274.489999998360872
20140327,1446849.679999999934807,1461762.500000000000000,1471596.080000000074506,1460550.550000000046566,1410819.089999999850988,1444138.299999999813735,1480089.099999999860302,10175808.299999998882413
20140328,1445153.719999999739230,1482341.229999999981374,1489620.100000000093132,1465441.540000000037253,1426663.770000000018626,1452786.799999999813735,1471709.649999999906868,10233719.810000000521541
20140331,1444965.280000000027940,1488315.700000000186265,1500667.080000000074506,1454530.869999999878928,1438253.860000000102445,1471986.469999999972060,1476364.899999999906868,10275087.160000002011657
20140401,1458156.079999999841675,1533456.140000000130385,1511132.639999999897555,1445125.119999999878928,1436346.630000000121072,1459705.600000000093132,1481951.199999999953434,10325876.409999998286366
20140402,1460605.800000000046566,1526154.010000000009313,1505318.440000000176951,1442115.279999999795109,1431798.620000000111759,1464202.820000000065193,1484123.649999999906868,10314321.619999999180436
20140403,1450430.039999999804422,1532792.310000000055879,1535552.280000000027940,1432333.300000000046566,1432825.589999999850988,1469910.830000000074506,1493434.149999999906868,10347281.500000000000000
20140404,1431586.039999999804422,1507566.770000000251457,1521016.780000000027940,1437976.750000000000000,1435906.500000000000000,1473716.170000000158325,1490951.349999999860302,10298723.359999999403954
20140407,1409161.679999999934807,1516860.390000000130385,1540203.639999999897555,1453025.949999999953434,1423289.439999999944121,1470256.770000000018626,1493434.149999999906868,10306235.019999999552965
20140408,1409161.679999999934807,1522834.860000000102445,1564623.280000000027940,1463560.389999999897555,1438987.409999999916181,1465586.580000000074506,1496227.300000000046566,10360984.500000000000000
20140409,1427628.800000000046566,1534783.800000000046566,1568693.219999999972060,1466946.459999999962747,1442948.579999999841675,1484440.309999999823049,1489089.249999999767169,10414533.419999999925494
20140410,1409161.679999999934807,1503583.790000000037253,1536715.120000000111759,1463184.159999999916181,1458793.260000000009313,1470083.799999999813735,1473261.399999999906868,10314786.209999999031425
20140411,1398797.479999999981374,1490971.020000000251457,1522179.620000000111759,1453402.179999999934807,1456739.320000000065193,1475445.869999999878928,1460847.399999999906868,10258385.890000000596046
