訓練日期,20120216 - 20120518
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10759547.179999999701977
真實報酬,759547.179999999701977

夏普值報酬,0.067254718000000
夏普值風險,0.031763557337928
夏普值,2.117354718317149

預期報酬,16574.392581433825399
風險,118636.601962561646360
趨勢值,0.139707243019859
找到最佳解世代,2585
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,2
KO[14](1),PFE[20](2),
Stock#,KO[14](1),PFE[20](2),
張數,146198,236854,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,28.399999999441206,12.060000000521541,
20120216,5033625.539999999105930,5052107.879999999888241,10085733.419999998062849
20120217,5048245.339999999850988,5018948.320000001229346,10067193.660000000149012
20120221,5030701.579999999143183,5026053.940000000409782,10056755.519999999552965
20120222,5062865.139999999664724,5059213.500000000000000,10122078.640000000596046
20120223,5057017.219999999739230,4981051.680000000633299,10038068.900000000372529
20120224,5043859.399999999441206,5016579.780000000260770,10060439.179999999701977
20120227,5032163.559999999590218,5035528.100000000558794,10067691.660000000149012
20120228,5032163.559999999590218,5026053.940000000409782,10058217.500000000000000
20120229,5106724.539999999105930,5004737.080000000074506,10111461.619999999180436
20120301,5087718.799999998882413,5090004.520000000484288,10177723.320000000298023
20120302,5057017.219999999739230,5071056.200000000186265,10128073.419999999925494
20120305,5061403.159999999217689,5092373.060000000521541,10153776.219999998807907
20120306,5026315.639999999664724,5037896.640000000596046,10064212.280000001192093
20120307,5029239.599999999627471,5061582.040000000968575,10090821.640000000596046
20120308,5064327.119999999180436,5082898.900000000372529,10147226.019999999552965
20120309,5081870.879999998956919,5087635.980000000447035,10169506.859999999403954
20120312,5128654.239999999292195,5101847.220000000670552,10230501.460000000894070
20120313,5135964.139999999664724,5213168.600000000558794,10349132.740000000223517
20120314,5133040.179999999701977,5194220.280000000260770,10327260.460000000894070
20120315,5141812.059999999590218,5189483.200000000186265,10331295.259999999776483
20120316,5128654.239999999292195,5196588.820000001229346,10325243.060000000521541
20120319,5146198.000000000000000,5182377.580000000074506,10328575.580000000074506
20120320,5160817.799999998882413,5163429.260000000707805,10324247.059999998658895
20120321,5198829.279999999329448,5156323.640000000596046,10355152.919999999925494
20120322,5220758.979999999515712,5146849.480000000447035,10367608.460000000894070
20120323,5225144.919999999925494,5168166.340000000782311,10393311.260000001639128
20120326,5255846.500000000000000,5248696.700000000186265,10504543.199999999254942
20120327,5254384.519999999552965,5329227.060000000521541,10583611.580000000074506
20120328,5311401.739999999292195,5307910.200000000186265,10619311.939999999478459
20120329,5396196.579999999143183,5310278.740000001154840,10706475.320000000298023
20120330,5410816.379999998956919,5364755.160000000149012,10775571.539999999105930
20120402,5419588.259999999776483,5350543.920000000856817,10770132.179999999701977
20120403,5391810.639999999664724,5338701.220000000670552,10730511.859999999403954
20120404,5369880.939999998547137,5303173.120000001043081,10673054.059999998658895
20120405,5371342.919999999925494,5291330.420000000856817,10662673.339999999850988
20120409,5327483.519999999552965,5222642.760000000707805,10550126.280000001192093
20120410,5264618.379999998956919,5208431.520000000484288,10473049.899999998509884
20120411,5271928.279999999329448,5198957.360000000335276,10470885.640000000596046
20120412,5279238.179999999701977,5191851.740000001154840,10471089.920000001788139
20120413,5258770.459999999031425,5175271.960000000894070,10434042.419999999925494
20120416,5295319.959999999031425,5206062.980000000447035,10501382.939999999478459
20120417,5406430.439999998547137,5284224.799999999813735,10690655.239999998360872
20120418,5422512.219999999739230,5317384.360000000335276,10739896.580000000074506
20120419,5396196.579999999143183,5291330.420000000856817,10687527.000000000000000
20120420,5419588.259999999776483,5343438.299999999813735,10763026.559999998658895
20120423,5387424.699999999254942,5300804.580000000074506,10688229.279999999329448
20120424,5418126.279999999329448,5360018.080000000074506,10778144.359999999403954
20120425,5478067.459999999031425,5419231.580000000074506,10897299.039999999105930
20120426,5533622.699999999254942,5461865.299999999813735,10995488.000000000000000
20120427,5602335.759999999776483,5466602.379999999888241,11068938.140000000596046
20120430,5578944.079999999143183,5423968.660000000149012,11002912.739999998360872
20120501,5624265.459999999031425,5395546.180000000633299,11019811.640000000596046
20120502,5640347.239999999292195,5367123.700000000186265,11007470.939999999478459
20120503,5660814.959999999031425,5352912.460000000894070,11013727.419999999925494
20120504,5628651.399999999441206,5300804.580000000074506,10929455.980000000447035
20120507,5649119.119999999180436,5317384.360000000335276,10966503.480000000447035
20120508,5638885.259999999776483,5310278.740000001154840,10949164.000000000000000
20120509,5612569.619999999180436,5317384.360000000335276,10929953.980000000447035
20120510,5659352.979999999515712,5407388.879999999888241,11066741.859999999403954
20120511,5663738.919999999925494,5364755.160000000149012,11028494.080000000074506
20120514,5619879.519999999552965,5350543.920000000856817,10970423.440000001341105
20120515,5596487.839999999850988,5281856.260000000707805,10878344.100000001490116
20120516,5580406.059999999590218,5362386.620000001043081,10942792.679999999701977
20120517,5491225.279999999329448,5343438.299999999813735,10834663.579999998211861
20120518,5413740.339999999850988,5345806.840000000782311,10759547.179999999701977
