訓練日期,20150513 - 20150813
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10715489.560000000521541
真實報酬,715489.560000000521541

夏普值報酬,0.062848956000000
夏普值風險,0.028707541355543
夏普值,2.189283826908633

預期報酬,14573.067820530617610
風險,116111.135546523524681
趨勢值,0.125509648596034
找到最佳解世代,1643
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,2
JPM[13](3),NKE[19](1),
Stock#,JPM[13](3),NKE[19](1),
張數,76499,97675,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,25.360000000335276,16.750000000000000,
20150513,5012239.839999999850988,4989255.750000000000000,10001495.589999999850988
20150514,5052784.310000000521541,5051767.750000000000000,10104552.060000000521541
20150515,5039779.480000000447035,5126977.500000000000000,10166756.980000000447035
20150518,5081088.940000000409782,5116233.250000000000000,10197322.190000001341105
20150519,5126223.350000000558794,5110372.750000000000000,10236596.100000001490116
20150520,5085678.880000000819564,5109396.000000000000000,10195074.880000000819564
20150521,5098683.710000000894070,5098651.750000000000000,10197335.460000000894070
20150522,5084913.890000000596046,5100605.250000000000000,10185519.140000000596046
20150526,5028304.630000000819564,5050791.000000000000000,10079095.630000000819564
20150527,5084913.890000000596046,5022465.250000000000000,10107379.140000000596046
20150528,5064259.160000000149012,4996093.000000000000000,10060352.160000000149012
20150529,5032129.580000000074506,4965813.750000000000000,9997943.330000000074506
20150601,5055079.280000000260770,4969720.750000000000000,10024800.030000001192093
20150602,5050489.339999999850988,4987302.250000000000000,10037791.589999999850988
20150603,5102508.660000000149012,5006837.250000000000000,10109345.910000000149012
20150604,5074204.030000000260770,4979488.250000000000000,10053692.280000001192093
20150605,5157587.940000000409782,4983395.250000000000000,10140983.190000001341105
20150608,5117043.470000000670552,4954092.750000000000000,10071136.220000000670552
20150609,5139228.180000000633299,4950185.750000000000000,10089413.929999999701977
20150610,5221847.100000000558794,5046884.000000000000000,10268731.100000001490116
20150611,5241736.839999999850988,5073256.250000000000000,10314993.089999999850988
20150612,5221082.110000000335276,5068372.500000000000000,10289454.609999999403954
20150615,5201192.370000000111759,5047860.750000000000000,10249053.120000001043081
20150616,5230261.990000000223517,5106465.750000000000000,10336727.740000000223517
20150617,5212667.220000000670552,5116233.250000000000000,10328900.470000000670552
20150618,5261626.580000000074506,5176791.750000000000000,10438418.330000000074506
20150619,5208077.280000000260770,5203164.000000000000000,10411241.280000001192093
20150622,5275396.399999999441206,5215861.750000000000000,10491258.149999998509884
20150623,5335830.610000000335276,5235396.750000000000000,10571227.359999999403954
20150624,5279986.339999999850988,5187536.000000000000000,10467522.339999999850988
20150625,5251681.710000000894070,5138698.500000000000000,10390380.210000000894070
20150626,5274631.410000000149012,5358467.250000000000000,10633098.660000000149012
20150629,5140758.160000000149012,5258838.750000000000000,10399596.910000000149012
20150630,5183597.600000000558794,5275443.500000000000000,10459041.100000001490116
20150701,5207312.290000000037253,5344792.750000000000000,10552105.039999999105930
20150702,5165237.839999999850988,5366281.250000000000000,10531519.089999999850988
20150706,5150703.030000000260770,5364327.750000000000000,10515030.780000001192093
20150707,5110158.560000000521541,5435630.500000000000000,10545789.060000000521541
20150708,5005354.930000000633299,5336978.750000000000000,10342333.679999999701977
20150709,5057374.250000000000000,5344792.750000000000000,10402167.000000000000000
20150710,5129283.310000000521541,5397537.250000000000000,10526820.560000000521541
20150713,5208842.270000000484288,5490328.500000000000000,10699170.769999999552965
20150714,5281516.320000001229346,5486421.500000000000000,10767937.820000000298023
20150715,5292991.169999999925494,5464933.000000000000000,10757924.169999999925494
20150716,5321295.800000000745058,5486421.500000000000000,10807717.300000000745058
20150717,5294521.149999999441206,5508886.750000000000000,10803407.899999998509884
20150720,5298346.100000000558794,5525491.500000000000000,10823837.600000001490116
20150721,5286106.259999999776483,5518654.250000000000000,10804760.509999999776483
20150722,5361075.280000000260770,5572375.500000000000000,10933450.780000001192093
20150723,5327415.720000000670552,5567491.750000000000000,10894907.470000000670552
20150724,5271571.450000000186265,5518654.250000000000000,10790225.699999999254942
20150727,5202722.350000000558794,5457119.000000000000000,10659841.350000001490116
20150728,5205782.310000000521541,5542096.250000000000000,10747878.560000000521541
20150729,5273866.419999999925494,5612422.250000000000000,10886288.669999999925494
20150730,5281516.320000001229346,5617306.000000000000000,10898822.320000000298023
20150731,5242501.830000000074506,5627073.500000000000000,10869575.330000000074506
20150803,5242501.830000000074506,5608515.250000000000000,10851017.080000000074506
20150804,5237146.899999999441206,5654422.500000000000000,10891569.399999998509884
20150805,5257801.630000000819564,5702283.250000000000000,10960084.880000000819564
20150806,5221082.110000000335276,5622189.750000000000000,10843271.859999999403954
20150807,5205782.310000000521541,5592887.250000000000000,10798669.560000000521541
20150810,5270041.470000000670552,5633910.750000000000000,10903952.220000000670552
20150811,5219552.130000000819564,5589957.000000000000000,10809509.130000000819564
20150812,5143818.120000000111759,5521584.500000000000000,10665402.620000001043081
20150813,5167532.810000000521541,5547956.750000000000000,10715489.560000000521541
