訓練日期,20091103 - 20100205
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12207515.919999998062849
真實報酬,2207515.919999998062849

夏普值報酬,0.212051592000000
夏普值風險,0.066033667560754
夏普值,3.211264796172366

預期報酬,46373.492248758870119
風險,310957.058833202405367
趨勢值,0.149131498808116
找到最佳解世代,1637
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),UNH[23](2),
Stock#,BA[2](1),UNH[23](2),
張數,103584,189250,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.319999999366701,15.000000000000000,
20091103,4982390.719999999739230,5092732.500000000000000,10075123.219999998807907
20091104,4979283.199999999254942,5274412.500000000000000,10253695.699999999254942
20091105,5155376.000000000000000,5338757.500000000000000,10494133.500000000000000
20091106,5146053.439999999478459,5425812.500000000000000,10571865.939999999478459
20091109,5319038.719999999739230,5512867.500000000000000,10831906.219999998807907
20091110,5212347.199999999254942,5482587.500000000000000,10694934.699999999254942
20091111,5249637.439999999478459,5558287.500000000000000,10807924.939999999478459
20091112,5208203.839999999850988,5442845.000000000000000,10651048.839999999850988
20091113,5249637.439999999478459,5503405.000000000000000,10753042.439999999478459
20091116,5436088.639999998733401,5516652.500000000000000,10952741.139999998733401
20091117,5441267.839999999850988,5482587.500000000000000,10923855.339999999850988
20091118,5388440.000000000000000,5463662.500000000000000,10852102.500000000000000
20091119,5327325.439999999478459,5418242.500000000000000,10745567.939999999478459
20091120,5355293.120000000111759,5404995.000000000000000,10760288.120000001043081
20091123,5451626.239999999292195,5503405.000000000000000,10955031.239999998360872
20091124,5383260.799999998882413,5594245.000000000000000,10977505.799999998882413
20091125,5482701.439999999478459,5590460.000000000000000,11073161.439999999478459
20091127,5432981.120000000111759,5571535.000000000000000,11004516.120000001043081
20091130,5428837.759999998845160,5425812.500000000000000,10854650.259999997913837
20091201,5564532.799999998882413,5431490.000000000000000,10996022.799999998882413
20091202,5570747.839999999850988,5353897.500000000000000,10924645.339999999850988
20091203,5569712.000000000000000,5172217.500000000000000,10741929.500000000000000
20091204,5663973.439999999478459,5196820.000000000000000,10860793.439999999478459
20091207,5782059.199999999254942,5355790.000000000000000,11137849.199999999254942
20091208,5765485.759999998845160,5386070.000000000000000,11151555.759999997913837
20091209,5745804.799999998882413,5393640.000000000000000,11139444.799999998882413
20091210,5698156.159999999217689,5736182.500000000000000,11434338.660000000149012
20091211,5759270.719999999739230,5768355.000000000000000,11527625.719999998807907
20091214,5805883.519999998621643,5857302.500000000000000,11663186.019999999552965
20091215,5766521.599999999627471,5927325.000000000000000,11693846.599999999627471
20091216,5710586.239999999292195,6093865.000000000931323,11804451.240000000223517
20091217,5642220.799999998882413,6021950.000000000000000,11664170.799999998882413
20091218,5535529.279999999329448,5968960.000000000000000,11504489.279999999329448
20091221,5624611.519999998621643,6088187.500000000000000,11712799.019999999552965
20091222,5707478.719999999739230,6116575.000000000000000,11824053.719999998807907
20091223,5692976.959999999031425,5984100.000000000000000,11677076.959999999031425
20091224,5746840.639999998733401,5995455.000000000000000,11742295.639999998733401
20091228,5711622.079999999143183,5940572.500000000000000,11652194.579999998211861
20091229,5718872.959999999031425,5838377.500000000000000,11557250.459999999031425
20091230,5692976.959999999031425,5868657.500000000000000,11561634.459999999031425
20091231,5607002.239999999292195,5768355.000000000000000,11375357.239999998360872
20100104,5819349.439999999478459,5967067.500000000000000,11786416.939999999478459
20100105,6009944.000000000000000,5957605.000000000000000,11967549.000000000000000
20100106,6192251.839999999850988,6016272.500000000000000,12208524.339999999850988
20100107,6442925.120000000111759,6247157.500000000000000,12690082.620000001043081
20100108,6380774.719999999739230,6188490.000000000931323,12569264.720000000670552
20100111,6305158.399999999441206,6230125.000000000000000,12535283.399999998509884
20100112,6259581.439999999478459,6065477.499999999068677,12325058.939999997615814
20100113,6335197.759999998845160,6158210.000000000000000,12493407.759999997913837
20100114,6376631.359999999403954,6305825.000000000000000,12682456.359999999403954
20100115,6299979.199999999254942,6387202.500000000000000,12687181.699999999254942
20100119,6282369.919999998994172,6648367.500000000931323,12930737.419999999925494
20100120,6235757.120000000111759,6538602.499999999068677,12774359.619999999180436
20100121,6132173.120000000111759,6264190.000000000000000,12396363.120000001043081
20100122,5984048.000000000000000,6275544.999999999068677,12259593.000000000000000
20100125,5985083.839999999850988,6245265.000000000000000,12230348.839999999850988
20100126,5977832.959999999031425,6139285.000000000000000,12117117.959999999031425
20100127,6414957.439999999478459,6290685.000000000000000,12705642.439999999478459
20100128,6480215.359999999403954,6326642.500000000000000,12806857.859999999403954
20100129,6277190.719999999739230,6245265.000000000000000,12522455.719999998807907
20100201,6391133.120000000111759,6269867.500000000931323,12661000.620000001043081
20100202,6415993.279999999329448,6443977.499999999068677,12859970.779999997466803
20100203,6366272.959999999031425,6305825.000000000000000,12672097.959999999031425
20100204,6144603.199999999254942,6143070.000000000000000,12287673.199999999254942
20100205,6049305.919999998994172,6158210.000000000000000,12207515.919999998062849
