代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13538172.739999998360872
真實報酬,3538172.739999998360872

夏普值報酬,0.345117274000000
夏普值風險,0.096121279550504
夏普值,3.590435703872088

二次趨勢線,19.465995443536627 x^2 + 9929.670681436235100 x + 10000000.000000000000000
二次加權預期報酬,16483.222480760232429
風險,212875.462594977550907
二次加權趨勢值,0.077431293770676
一次趨勢線,13616.029113608879925 x + 10000000.000000000000000
一次預期報酬,13616.029113608879925
一次風險,254179.057119738368783
一次趨勢值,0.053568650650847
找到最佳解世代,2513
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,3
DIS[6](1),GS[8](9),UNH[23](2),
Stock#,DIS[6](1),GS[8](9),UNH[23](2),
張數,38549,19982,40705,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,0.970000000204891,135.580000000074506,0.549999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3332176.530000000260770,3334931.559999999590218,3357755.999999999534339,10024865.089999999850988
FS( 3 ),3347596.130000000353903,3386285.300000000279397,3392762.299999999813735,10126644.730000000447035
FS( 4 ),3337958.880000000353903,3352715.540000000037253,3346765.649999999906868,10037441.070000000298023
FS( 5 ),3309818.110000000335276,3295367.200000000186265,3334961.200000000186265,9940147.510000001639128
FS( 6 ),3362244.750000000000000,3290571.520000000018626,3367932.249999999534339,10020749.519999999552965
FS( 7 ),3348367.110000000335276,3265594.020000000018626,3341066.949999999720603,9955029.080000000074506
FS( 8 ),3349523.580000000074506,3293169.180000000167638,3373223.899999999906868,10015917.660000000149012
FS( 9 ),3344512.210000000428408,3337129.580000000074506,3430210.899999999441206,10111853.690000001341105
FS( 10 ),3320997.320000000298023,3380490.520000000018626,3415150.049999999813735,10116638.890000000596046
FS( 11 ),3290158.120000000111759,3406467.120000000111759,3409451.350000000093132,10106077.589999999850988
FS( 12 ),3277822.440000000409782,3399873.059999999590218,3464403.099999999627471,10142099.599999999627471
FS( 13 ),3307890.660000000149012,3426449.120000000111759,3481092.149999999441206,10215432.929999999701977
FS( 14 ),3305192.229999999981374,3431444.620000000111759,3462367.850000000093132,10199005.699999999254942
FS( 15 ),3323310.259999999776483,3497385.220000000204891,3502665.799999999813735,10323362.280000001192093
FS( 16 ),3316756.930000000633299,3533352.819999999832362,3498188.249999999534339,10348299.000000000000000
FS( 17 ),3346054.169999999925494,3522162.899999999906868,3487604.950000000186265,10355823.019999999552965
FS( 18 ),3324081.240000000223517,3504978.380000000353903,3446899.950000000186265,10275960.570000000298023
FS( 19 ),3359546.320000000298023,3515968.479999999981374,3490454.299999999813735,10365970.100000001490116
FS( 20 ),3322924.770000000484288,3507775.859999999869615,3430210.899999999441206,10260912.530000001192093
