代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,18192383.170000001788139
真實報酬,8192383.170000001788139

夏普值報酬,0.810538317000000
夏普值風險,0.190898416084296
夏普值,4.245914312050064

二次趨勢線,41.494799272315362 x^2 + 22769.494978443406580 x + 10000000.000000000000000
二次平均預期報酬,33267.679194339194510
風險,517887.454406475182623
二次平均趨勢值,0.064237275707838
一次趨勢線,30627.541777668426221 x + 10000000.000000000000000
一次預期報酬,30627.541777668426221
一次風險,596544.219654405256733
一次趨勢值,0.051341611851359
找到最佳解世代,2303
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),IBM[10](2),V[25](3),
Stock#,AAPL[0](1),IBM[10](2),V[25](3),
張數,257201,38151,249500,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,8.039999999571592,80.129999999888241,13.000000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3474793.549999999348074,3312349.949999999720603,3358283.000000000000000,10145427.500000000000000
FS( 3 ),3418209.329999999143183,3404293.859999999869615,3592813.000000000000000,10415317.189999999478459
FS( 4 ),3343621.039999999571592,3349356.419999999925494,3515468.000000000000000,10208446.459999999031425
FS( 5 ),3405349.279999999795109,3326084.310000000055879,3478043.000000000000000,10209477.589999999850988
FS( 6 ),3328188.979999999515712,3231469.830000000074506,3470558.000000000000000,10030217.809999998658895
FS( 7 ),3258744.709999999497086,3270002.339999999850988,3303393.000000000000000,9832141.049999998882413
FS( 8 ),3222736.569999999366701,3255886.470000000204891,3315868.000000000000000,9794492.039999999105930
FS( 9 ),3135288.229999999515712,3173861.819999999832362,3178643.000000000000000,9487794.049999998882413
FS( 10 ),3063271.949999999720603,3209342.250000000000000,3081338.000000000000000,9353953.199999999254942
FS( 11 ),3024691.799999999348074,3239863.049999999813735,2956588.000000000000000,9221143.849999999627471
FS( 12 ),2872943.209999999497086,3127699.109999999869615,2647208.000000000000000,8647851.320000000298023
FS( 13 ),3042695.869999999646097,3487844.549999999813735,2756988.000000000000000,9287529.419999999925494
FS( 14 ),3245884.659999999217689,3436340.699999999720603,2756988.000000000000000,9439214.359999999403954
FS( 15 ),3245884.659999999217689,3414213.119999999646097,2764473.000000000000000,9424571.779999999329448
FS( 16 ),3294752.849999999627471,3494711.729999999515712,2657188.000000000000000,9446653.579999998211861
FS( 17 ),3333333.000000000000000,3497000.789999999571592,2754493.000000000000000,9584827.789999999105930
