代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12492100.000000000000
真實報酬,2492100.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,8202.545730079912
風險,206755.162730617800
起點值,0.039672749264
找到最佳解世代,2389
找到最佳解實驗#,1
找到最佳解次數,43

投資組合檔數,1
2412(24)[1],
Stock#,2412(24)[1],
張數,117,
分配資金,10000000.000000000000,
剩餘資金,57340.000000000000,
FS( 1 ),10000000.000000000000,10000000.000000000000
FS( 2 ),10010529.999999998000,10010529.999999998000
FS( 3 ),10030420.000000000000,10030420.000000000000
FS( 4 ),10030420.000000000000,10030420.000000000000
FS( 5 ),10071370.000000000000,10071370.000000000000
FS( 6 ),10000000.000000000000,10000000.000000000000
FS( 7 ),9969580.000000000000,9969580.000000000000
FS( 8 ),10021060.000000000000,10021060.000000000000
FS( 9 ),10021060.000000000000,10021060.000000000000
FS( 10 ),10021060.000000000000,10021060.000000000000
FS( 11 ),10187200.000000000000,10187200.000000000000
FS( 12 ),10208260.000000000000,10208260.000000000000
FS( 13 ),10197730.000000000000,10197730.000000000000
FS( 14 ),10208260.000000000000,10208260.000000000000
FS( 15 ),10229320.000000000000,10229320.000000000000
FS( 16 ),10239850.000000000000,10239850.000000000000
FS( 17 ),10250380.000000000000,10250380.000000000000
FS( 18 ),10304200.000000000000,10304200.000000000000
FS( 19 ),10250380.000000000000,10250380.000000000000
FS( 20 ),10304200.000000000000,10304200.000000000000
FS( 21 ),10358020.000000000000,10358020.000000000000
FS( 22 ),10517140.000000002000,10517140.000000002000
FS( 23 ),10496080.000000000000,10496080.000000000000
FS( 24 ),10614250.000000000000,10614250.000000000000
FS( 25 ),10656370.000000000000,10656370.000000000000
FS( 26 ),10581490.000000000000,10581490.000000000000
FS( 27 ),10517140.000000002000,10517140.000000002000
FS( 28 ),10539370.000000000000,10539370.000000000000
FS( 29 ),10592020.000000000000,10592020.000000000000
FS( 30 ),10624779.999999998000,10624779.999999998000
FS( 31 ),10560430.000000000000,10560430.000000000000
FS( 32 ),10464490.000000000000,10464490.000000000000
FS( 33 ),10453960.000000000000,10453960.000000000000
FS( 34 ),10560430.000000000000,10560430.000000000000
FS( 35 ),10560430.000000000000,10560430.000000000000
FS( 36 ),10506610.000000000000,10506610.000000000000
FS( 37 ),10464490.000000000000,10464490.000000000000
FS( 38 ),10208260.000000000000,10208260.000000000000
FS( 39 ),10229320.000000000000,10229320.000000000000
FS( 40 ),10208260.000000000000,10208260.000000000000
FS( 41 ),10314730.000000000000,10314730.000000000000
FS( 42 ),10314730.000000000000,10314730.000000000000
FS( 43 ),10602550.000000000000,10602550.000000000000
FS( 44 ),10453960.000000000000,10453960.000000000000
FS( 45 ),10410670.000000000000,10410670.000000000000
FS( 46 ),10443430.000000000000,10443430.000000000000
FS( 47 ),10464490.000000000000,10464490.000000000000
FS( 48 ),10464490.000000000000,10464490.000000000000
FS( 49 ),10358020.000000000000,10358020.000000000000
FS( 50 ),10464490.000000000000,10464490.000000000000
FS( 51 ),10464490.000000000000,10464490.000000000000
FS( 52 ),10517140.000000002000,10517140.000000002000
FS( 53 ),10517140.000000002000,10517140.000000002000
FS( 54 ),10560430.000000000000,10560430.000000000000
FS( 55 ),10560430.000000000000,10560430.000000000000
FS( 56 ),10570960.000000000000,10570960.000000000000
FS( 57 ),10570960.000000000000,10570960.000000000000
FS( 58 ),10464490.000000000000,10464490.000000000000
FS( 59 ),10549900.000000002000,10549900.000000002000
FS( 60 ),10485550.000000000000,10485550.000000000000
FS( 61 ),10528840.000000000000,10528840.000000000000
FS( 62 ),10517140.000000002000,10517140.000000002000
