代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12749520.000000000000
真實報酬,2749520.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11833.781261749004
風險,359967.336120169200
起點值,0.032874597427
找到最佳解世代,1782
找到最佳解實驗#,1
找到最佳解次數,29

投資組合檔數,3
2105(9)[4],2412(24)[1],4904(45)[3],
Stock#,2105(9)[4],2412(24)[1],4904(45)[3],
張數,101,53,111,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,11443.000000000000,16593.000000000000,22203.000000000466,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3368683.000000000500,3319553.000000000000,3341103.000000000000,10029340.000000000000
FS( 3 ),3318183.000000000500,3306303.000000000000,3310023.000000000500,9934510.000000000000
FS( 4 ),3323233.000000000000,3310543.000000000000,3313353.000000000000,9947130.000000000000
FS( 5 ),3318183.000000000500,3310543.000000000000,3313353.000000000000,9942080.000000000000
FS( 6 ),3308083.000000000000,3310543.000000000000,3325563.000000000500,9944190.000000000000
FS( 7 ),3328283.000000000000,3310543.000000000000,3333333.000000000000,9972160.000000000000
FS( 8 ),3333333.000000000000,3310543.000000000000,3325563.000000000500,9969440.000000000000
FS( 9 ),3333333.000000000000,3310543.000000000000,3313353.000000000000,9957230.000000000000
FS( 10 ),3368683.000000000500,3310543.000000000000,3356643.000000000500,10035870.000000000000
FS( 11 ),3353533.000000000000,3310543.000000000000,3368853.000000000000,10032930.000000000000
FS( 12 ),3343433.000000000500,3310543.000000000000,3376623.000000000500,10030600.000000000000
FS( 13 ),3333333.000000000000,3310543.000000000000,3384393.000000000500,10028270.000000000000
FS( 14 ),3313132.999999999500,3310543.000000000000,3388833.000000000000,10012510.000000000000
FS( 15 ),3272733.000000000000,3310543.000000000000,3392163.000000000500,9975440.000000000000
FS( 16 ),3282833.000000000000,3310543.000000000000,3392163.000000000500,9985540.000000000000
FS( 17 ),3282833.000000000000,3322733.000000000500,3424353.000000000000,10029920.000000000000
FS( 18 ),3282833.000000000000,3304183.000000000000,3404373.000000000500,9991390.000000000000
FS( 19 ),3282833.000000000000,3304183.000000000000,3439893.000000000500,10026910.000000000000
FS( 20 ),3272733.000000000000,3322733.000000000500,3443223.000000000500,10038690.000000000000
FS( 21 ),3297983.000000000000,3274503.000000000000,3455433.000000000500,10027920.000000000000
FS( 22 ),3287882.999999999500,3289343.000000000000,3455433.000000000500,10032660.000000000000
FS( 23 ),3206073.000000000000,3252242.999999999500,3313353.000000000000,9771670.000000000000
FS( 24 ),3100023.000000000000,3229983.000000000500,3341103.000000000000,9671110.000000000000
FS( 25 ),3105073.000000000000,3259662.999999999500,3348873.000000000500,9713610.000000000000
FS( 26 ),3089923.000000000000,3233693.000000000500,3330003.000000000500,9653620.000000000000
FS( 27 ),3130323.000000000000,3255952.999999999500,3364413.000000000500,9750690.000000000000
FS( 28 ),3150523.000000000000,3241113.000000000000,3341103.000000000000,9732740.000000000000
FS( 29 ),3145473.000000000000,3267083.000000000000,3333333.000000000000,9745890.000000000000
FS( 30 ),3155573.000000000000,3267083.000000000000,3364413.000000000500,9787070.000000000000
FS( 31 ),3079823.000000000000,3259662.999999999500,3313353.000000000000,9652840.000000000000
FS( 32 ),3105073.000000000000,3267083.000000000000,3348873.000000000500,9721030.000000000000
FS( 33 ),3059623.000000000000,3274503.000000000000,3364413.000000000500,9698540.000000000000
FS( 34 ),3039423.000000000000,3281923.000000000000,3364413.000000000500,9685760.000000000000
