代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12868370.000000000000
真實報酬,2868370.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,12044.869858482414
風險,166488.556889855010
起點值,0.072346532900
找到最佳解世代,1494
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,7
1101(0)[6],1216(2)[1],2301(13)[11],2357(24)[7],2412(27)[3],3008(42)[9],4904(46)[12],
Stock#,1101(0)[6],1216(2)[1],2301(13)[11],2357(24)[7],2412(27)[3],3008(42)[9],4904(46)[12],
張數,56,51,56,7,21,2,31,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,13451.000000000000,11281.000000000000,23531.000000000000,104661.000000000230,23040.999999999767,421071.000000000000,25511.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1436971.000000000000,1439281.000000000000,1412891.000000000000,1404631.000000000200,1427100.999999999800,1381631.000000000000,1428571.000000000000,9931080.000000000000
FS( 3 ),1430811.000000000000,1425001.000000000000,1372011.000000000000,1387901.000000000200,1422480.999999999800,1379831.000000000000,1409970.999999999800,9828010.000000000000
FS( 4 ),1440890.999999999800,1421941.000000000000,1377611.000000000000,1423741.000000000200,1425420.999999999800,1446631.000000000000,1387031.000000000000,9923270.000000000000
FS( 5 ),1440890.999999999800,1407660.999999999800,1379851.000000000000,1390281.000000000200,1427100.999999999800,1426771.000000000000,1379900.999999999800,9852460.000000000000
FS( 6 ),1455451.000000000000,1433671.000000000000,1364171.000000000000,1397491.000000000200,1422480.999999999800,1408711.000000000000,1414621.000000000200,9896600.000000000000
FS( 7 ),1455451.000000000000,1425001.000000000000,1365851.000000000000,1399871.000000000200,1420800.999999999800,1396071.000000000000,1472591.000000000000,9935640.000000000000
FS( 8 ),1470011.000000000200,1418371.000000000000,1365851.000000000000,1399871.000000000200,1420800.999999999800,1428571.000000000000,1461121.000000000200,9964600.000000000000
FS( 9 ),1494651.000000000000,1442341.000000000000,1372011.000000000000,1428571.000000000000,1423950.999999999500,1455651.000000000000,1463291.000000000000,10080470.000000000000
FS( 10 ),1486251.000000000000,1466821.000000000000,1361930.999999999800,1416601.000000000000,1419330.999999999800,1450251.000000000000,1470421.000000000000,10071610.000000000000
FS( 11 ),1465531.000000000000,1454581.000000000000,1352411.000000000000,1404631.000000000200,1414710.999999999500,1412331.000000000000,1530561.000000000000,10034760.000000000000
FS( 12 ),1494651.000000000000,1461721.000000000000,1368091.000000000200,1447681.000000000200,1406940.999999999800,1432191.000000000000,1528081.000000000000,10139360.000000000000
FS( 13 ),1503051.000000000200,1475491.000000000000,1372011.000000000000,1464411.000000000200,1388460.999999999500,1446631.000000000000,1507311.000000000000,10157370.000000000000
FS( 14 ),1478411.000000000000,1470391.000000000000,1346251.000000000000,1409461.000000000200,1377540.999999999800,1432191.000000000000,1493361.000000000200,10007610.000000000000
FS( 15 ),1465531.000000000000,1468351.000000000000,1369771.000000000000,1440471.000000000500,1388460.999999999500,1363571.000000000000,1505140.999999999800,10001300.000000000000
FS( 16 ),1457691.000000000000,1473961.000000000000,1387690.999999999800,1423741.000000000200,1410090.999999999800,1401491.000000000000,1551331.000000000000,10106000.000000000000
FS( 17 ),1440890.999999999800,1471921.000000000000,1426891.000000000000,1476311.000000000000,1422480.999999999800,1390651.000000000000,1523431.000000000000,10152580.000000000000
FS( 18 ),1432491.000000000000,1485691.000000000000,1407291.000000000000,1481141.000000000200,1423950.999999999500,1388851.000000000000,1498011.000000000000,10117430.000000000000
FS( 19 ),1414011.000000000200,1534651.000000000200,1399451.000000000000,1512151.000000000200,1434871.000000000000,1321151.000000000000,1498011.000000000000,10114300.000000000000
FS( 20 ),1455451.000000000000,1588201.000000000000,1420731.000000000000,1514601.000000000000,1436340.999999999800,1258851.000000000000,1495841.000000000000,10170020.000000000000
FS( 21 ),1484571.000000000000,1610641.000000000000,1459930.999999999800,1612531.000000000200,1427100.999999999800,1316631.000000000000,1521261.000000000000,10432670.000000000000
FS( 22 ),1488491.000000000000,1586671.000000000000,1459930.999999999800,1583901.000000000200,1431720.999999999800,1273291.000000000000,1525910.999999999800,10349920.000000000000
FS( 23 ),1500811.000000000000,1617781.000000000000,1477851.000000000000,1624501.000000000500,1437810.999999999800,1287731.000000000000,1528081.000000000000,10474570.000000000000
FS( 24 ),1476171.000000000000,1575961.000000000000,1444251.000000000000,1588661.000000000200,1422480.999999999800,1282331.000000000000,1495841.000000000000,10285700.000000000000
FS( 25 ),1463850.999999999800,1657561.000000000000,1462171.000000000000,1657961.000000000200,1431720.999999999800,1276011.000000000000,1523431.000000000000,10472710.000000000000
FS( 26 ),1461610.999999999800,1631551.000000000000,1419051.000000000000,1603011.000000000500,1417860.999999999800,1289551.000000000000,1518781.000000000000,10341420.000000000000
FS( 27 ),1463850.999999999800,1664701.000000000000,1446491.000000000000,1600631.000000000200,1405470.999999999800,1305791.000000000000,1521261.000000000000,10408200.000000000000
FS( 28 ),1438651.000000000000,1627981.000000000000,1436411.000000000000,1536091.000000000200,1414710.999999999500,1273291.000000000000,1525910.999999999800,10253050.000000000000
FS( 29 ),1420171.000000000000,1640221.000000000000,1444251.000000000000,1574311.000000000000,1414710.999999999500,1260651.000000000000,1576751.000000000000,10331070.000000000000
FS( 30 ),1368651.000000000000,1605541.000000000000,1434731.000000000000,1586281.000000000200,1436340.999999999800,1319331.000000000000,1606821.000000000000,10357700.000000000000
FS( 31 ),1349610.999999999800,1583101.000000000000,1401131.000000000200,1509771.000000000200,1419330.999999999800,1331071.000000000000,1611470.999999999800,10205490.000000000000
FS( 32 ),1364171.000000000000,1583101.000000000000,1456011.000000000000,1564791.000000000200,1430250.999999999800,1394271.000000000000,1627591.000000000000,10420190.000000000000
FS( 33 ),1337291.000000000200,1609111.000000000000,1415131.000000000200,1519361.000000000200,1419330.999999999800,1405111.000000000000,1602171.000000000000,10307510.000000000000
FS( 34 ),1356331.000000000000,1609111.000000000000,1415131.000000000200,1526501.000000000500,1427100.999999999800,1428571.000000000000,1592871.000000000200,10355620.000000000000
