代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11431930.000000000000
真實報酬,1431930.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,4762.928501739872
風險,179598.438626679970
起點值,0.026519877000
找到最佳解世代,2005
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,5
1216(2)[2],2412(24)[1],3008(41)[24],6505(47)[3],9999(49)[8],
Stock#,1216(2)[2],2412(24)[1],3008(41)[24],6505(47)[3],9999(49)[8],
張數,44,23,0,32,-1,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,9000.000000000000,31429.999999999767,2000000.000000000000,59520.000000000000,2000000.000000000000,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),2034760.000000000000,2011959.999999999800,2000000.000000000000,2008640.000000000000,2000000.000000000000,10055360.000000000000
FS( 3 ),2046640.000000000000,2002069.999999999800,2000000.000000000000,2083520.000000000000,2000000.000000000000,10132230.000000000000
FS( 4 ),2034760.000000000000,2002069.999999999800,2000000.000000000000,2126400.000000000000,2000000.000000000000,10163230.000000000000
FS( 5 ),2046640.000000000000,2008049.999999999800,2000000.000000000000,2114880.000000000000,2000000.000000000000,10169570.000000000000
FS( 6 ),2058080.000000000000,2015869.999999999800,2000000.000000000000,2143680.000000000000,2000000.000000000000,10217630.000000000000
FS( 7 ),2050160.000000000000,2017940.000000000000,2000000.000000000000,2158080.000000000000,2000000.000000000000,10226180.000000000000
FS( 8 ),1996480.000000000000,2005979.999999999800,2000000.000000000000,2135040.000000000000,2000000.000000000000,10137500.000000000000
FS( 9 ),1969199.999999999800,1976079.999999999500,2000000.000000000000,2114880.000000000000,2000000.000000000000,10060160.000000000000
FS( 10 ),1996480.000000000000,1988039.999999999800,2000000.000000000000,2186880.000000000000,2000000.000000000000,10171400.000000000000
FS( 11 ),1969199.999999999800,1978149.999999999800,2000000.000000000000,2195200.000000000000,2000000.000000000000,10142550.000000000000
FS( 12 ),1957760.000000000000,1982059.999999999800,2000000.000000000000,2212480.000000000000,2000000.000000000000,10152300.000000000000
FS( 13 ),1965240.000000000000,1985970.000000000000,2000000.000000000000,2215360.000000000000,2000000.000000000000,10166570.000000000000
FS( 14 ),1953800.000000000200,1985970.000000000000,2000000.000000000000,2258560.000000000000,2000000.000000000000,10198330.000000000000
FS( 15 ),1965240.000000000000,2002069.999999999800,2000000.000000000000,2315840.000000000000,2000000.000000000000,10283150.000000000000
FS( 16 ),1969199.999999999800,2014030.000000000000,2000000.000000000000,2344640.000000000000,2000000.000000000000,10327870.000000000000
FS( 17 ),1984600.000000000000,2011959.999999999800,2000000.000000000000,2396160.000000000000,2000000.000000000000,10392720.000000000000
FS( 18 ),1977120.000000000000,2011959.999999999800,2000000.000000000000,2399040.000000000000,2000000.000000000000,10388120.000000000000
FS( 19 ),1977120.000000000000,2014030.000000000000,2000000.000000000000,2410560.000000000000,2000000.000000000000,10401710.000000000000
FS( 20 ),1949840.000000000000,2005979.999999999800,2000000.000000000000,2327360.000000000000,2000000.000000000000,10283180.000000000000
FS( 21 ),1949840.000000000000,2005979.999999999800,2000000.000000000000,2370560.000000000000,2000000.000000000000,10326380.000000000000
FS( 22 ),1949840.000000000000,2011959.999999999800,2000000.000000000000,2393280.000000000000,2000000.000000000000,10355080.000000000000
FS( 23 ),1946320.000000000200,2014030.000000000000,2000000.000000000000,2393280.000000000000,2000000.000000000000,10353630.000000000000
FS( 24 ),1934439.999999999800,2000000.000000000000,2000000.000000000000,2367680.000000000000,2000000.000000000000,10302120.000000000000
FS( 25 ),1938400.000000000000,2003909.999999999800,2000000.000000000000,2341760.000000000000,2000000.000000000000,10284070.000000000000
FS( 26 ),1938400.000000000000,2008049.999999999800,2000000.000000000000,2347520.000000000000,2000000.000000000000,10293970.000000000000
FS( 27 ),2019360.000000000000,2008049.999999999800,2000000.000000000000,2384960.000000000000,2000000.000000000000,10412370.000000000000
FS( 28 ),2054120.000000000000,2000000.000000000000,2000000.000000000000,2370560.000000000000,2000000.000000000000,10424680.000000000000
FS( 29 ),2104280.000000000000,1994019.999999999800,2000000.000000000000,2344640.000000000000,2000000.000000000000,10442940.000000000000
FS( 30 ),2096800.000000000200,1994019.999999999800,2000000.000000000000,2244160.000000000000,2000000.000000000000,10334980.000000000000
FS( 31 ),2131120.000000000000,1994019.999999999800,2000000.000000000000,2267200.000000000000,2000000.000000000000,10392340.000000000000
FS( 32 ),2108240.000000000500,2005979.999999999800,2000000.000000000000,2359040.000000000000,2000000.000000000000,10473260.000000000000
FS( 33 ),2115720.000000000500,1996089.999999999800,2000000.000000000000,2321600.000000000000,2000000.000000000000,10433410.000000000000
FS( 34 ),2096800.000000000200,1978149.999999999800,2000000.000000000000,2301440.000000000000,2000000.000000000000,10376390.000000000000
FS( 35 ),2096800.000000000200,1990109.999999999500,2000000.000000000000,2315840.000000000000,2000000.000000000000,10402750.000000000000
FS( 36 ),2092840.000000000200,1985970.000000000000,2000000.000000000000,2270080.000000000000,2000000.000000000000,10348890.000000000000
FS( 37 ),2084920.000000000000,1982059.999999999800,2000000.000000000000,2287360.000000000000,2000000.000000000000,10354340.000000000000
FS( 38 ),2100320.000000000000,1982059.999999999800,2000000.000000000000,2255680.000000000000,2000000.000000000000,10338060.000000000000
FS( 39 ),2123640.000000000500,1972169.999999999500,2000000.000000000000,2218240.000000000000,2000000.000000000000,10314050.000000000000
