代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12421330.000000000000
真實報酬,2421330.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,10042.815154285443
風險,153800.416846702780
起點值,0.065297710892
找到最佳解世代,1935
找到最佳解實驗#,1
找到最佳解次數,27

投資組合檔數,10
2002(7)[24],2317(16)[28],2354(20)[12],2881(30)[2],2884(33)[4],3008(41)[9],3045(42)[15],4904(45)[25],4938(46)[1],9999(50)[40],
Stock#,2002(7)[24],2317(16)[28],2354(20)[12],2881(30)[2],2884(33)[4],3008(41)[9],3045(42)[15],4904(45)[25],4938(46)[1],9999(50)[40],
張數,45,17,16,28,86,0,12,18,26,-1,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,550.000000000000,19950.000000000000,46880.000000000000,32040.000000000000,9280.000000000116,1000000.000000000000,74319.999999999884,48699.999999999884,35920.000000000116,1000000.000000000000,
FS( 1 ),1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,10000000.000000000000
FS( 2 ),1004050.000000000000,1000000.000000000000,1004000.000000000000,1009519.999999999900,1000000.000000000000,1000000.000000000000,989319.999999999880,995500.000000000000,1011440.000000000200,1000000.000000000000,10013830.000000000000
FS( 3 ),1004050.000000000000,1000000.000000000000,1002720.000000000000,1004760.000000000000,1000000.000000000000,1000000.000000000000,989319.999999999880,991179.999999999880,1015860.000000000000,1000000.000000000000,10007890.000000000000
FS( 4 ),1004050.000000000000,1001190.000000000000,1010560.000000000000,1002519.999999999900,1000000.000000000000,1000000.000000000000,989319.999999999880,992619.999999999880,996880.000000000120,1000000.000000000000,9997140.000000000000
FS( 5 ),1000000.000000000000,1002380.000000000000,1030560.000000000000,995519.999999999880,1005160.000000000100,1000000.000000000000,995199.999999999770,992619.999999999880,987260.000000000230,1000000.000000000000,10008700.000000000000
FS( 6 ),1004050.000000000000,1003400.000000000000,1038560.000000000000,997760.000000000000,1032680.000000000100,1000000.000000000000,1000000.000000000000,998379.999999999880,992460.000000000120,1000000.000000000000,10067290.000000000000
FS( 7 ),1007649.999999999900,1006799.999999999900,1034560.000000000000,1009519.999999999900,1040420.000000000200,1000000.000000000000,1005879.999999999900,1000000.000000000000,1001040.000000000000,1000000.000000000000,10105870.000000000000
FS( 8 ),1004050.000000000000,998810.000000000000,1030560.000000000000,1010640.000000000100,1035260.000000000100,1000000.000000000000,1015599.999999999900,1001439.999999999900,996880.000000000120,1000000.000000000000,10093240.000000000000
FS( 9 ),1001800.000000000000,1004590.000000000000,1045280.000000000000,1005880.000000000000,1035260.000000000100,1000000.000000000000,1009720.000000000000,996939.999999999880,978940.000000000230,1000000.000000000000,10078410.000000000000
FS( 10 ),1011700.000000000000,1011390.000000000000,1053120.000000000000,1003640.000000000100,1040420.000000000200,1000000.000000000000,1020399.999999999900,1008639.999999999800,1001040.000000000000,1000000.000000000000,10150350.000000000000
FS( 11 ),1001800.000000000000,1014790.000000000000,1053120.000000000000,1004760.000000000000,1043000.000000000100,1000000.000000000000,1019440.000000000000,1008639.999999999800,1007280.000000000100,1000000.000000000000,10152830.000000000000
FS( 12 ),1001800.000000000000,1019380.000000000000,1058560.000000000000,1004760.000000000000,1043000.000000000100,1000000.000000000000,1017519.999999999800,1007199.999999999900,1008320.000000000100,1000000.000000000000,10160540.000000000000
FS( 13 ),1004050.000000000000,1020570.000000000000,1055840.000000000000,1003640.000000000100,1056760.000000000000,1000000.000000000000,1019440.000000000000,1014579.999999999800,998960.000000000120,1000000.000000000000,10173840.000000000000
FS( 14 ),996399.999999999880,1019380.000000000000,1050560.000000000000,993000.000000000000,1051600.000000000000,1000000.000000000000,1011639.999999999800,1004320.000000000000,1002080.000000000000,1000000.000000000000,10128980.000000000000
FS( 15 ),994149.999999999880,1018190.000000000000,1059840.000000000000,997760.000000000000,1045580.000000000100,1000000.000000000000,1005879.999999999900,1001439.999999999900,1006240.000000000100,1000000.000000000000,10129080.000000000000
FS( 16 ),996399.999999999880,1027370.000000000000,1062560.000000000000,984880.000000000000,1048160.000000000200,1000000.000000000000,1005879.999999999900,1004320.000000000000,1009360.000000000000,1000000.000000000000,10138930.000000000000
FS( 17 ),1001800.000000000000,1027370.000000000000,1063840.000000000000,982640.000000000120,1040420.000000000200,1000000.000000000000,1005879.999999999900,1007199.999999999900,1028340.000000000200,1000000.000000000000,10157490.000000000000
FS( 18 ),986500.000000000000,1009180.000000000000,1037280.000000000000,961359.999999999880,1031820.000000000200,1000000.000000000000,998079.999999999880,995500.000000000000,1003120.000000000100,1000000.000000000000,10022840.000000000000
FS( 19 ),980650.000000000000,1002380.000000000000,1031840.000000000000,947359.999999999880,1036980.000000000100,1000000.000000000000,1012599.999999999900,995500.000000000000,1002080.000000000000,1000000.000000000000,10009390.000000000000
FS( 20 ),978850.000000000000,1018190.000000000000,1055840.000000000000,947359.999999999880,1045580.000000000100,1000000.000000000000,1017519.999999999800,996939.999999999880,1009360.000000000000,1000000.000000000000,10069640.000000000000
FS( 21 ),986500.000000000000,1004590.000000000000,1043840.000000000000,944000.000000000000,1025800.000000000100,1000000.000000000000,1019440.000000000000,1005760.000000000000,1002080.000000000000,1000000.000000000000,10032010.000000000000
FS( 22 ),988300.000000000000,1029580.000000000000,1050560.000000000000,958000.000000000000,1040420.000000000200,1000000.000000000000,1016559.999999999900,1010260.000000000000,1009360.000000000000,1000000.000000000000,10103040.000000000000
FS( 23 ),982450.000000000000,1028390.000000000000,1049120.000000000000,947359.999999999880,1040420.000000000200,1000000.000000000000,1010679.999999999900,1011699.999999999900,1008320.000000000100,1000000.000000000000,10078440.000000000000
FS( 24 ),986500.000000000000,1031790.000000000000,1039840.000000000000,970880.000000000000,1045580.000000000100,1000000.000000000000,1005879.999999999900,1014579.999999999800,1051740.000000000000,1000000.000000000000,10146790.000000000000
FS( 25 ),980650.000000000000,1029580.000000000000,1037280.000000000000,960239.999999999880,1034400.000000000000,1000000.000000000000,998079.999999999880,1011699.999999999900,1070720.000000000000,1000000.000000000000,10122650.000000000000
FS( 26 ),980650.000000000000,1032980.000000000100,1039840.000000000000,967239.999999999880,1043000.000000000100,1000000.000000000000,1018480.000000000000,1005760.000000000000,1031720.000000000100,1000000.000000000000,10119670.000000000000
FS( 27 ),988300.000000000000,1036380.000000000000,1037280.000000000000,967239.999999999880,1043000.000000000100,1000000.000000000000,1010679.999999999900,1002879.999999999900,1081120.000000000000,1000000.000000000000,10166880.000000000000
FS( 28 ),986500.000000000000,1017000.000000000000,1021280.000000000000,963880.000000000000,1036980.000000000100,1000000.000000000000,999039.999999999880,1001439.999999999900,1091780.000000000000,1000000.000000000000,10117900.000000000000
FS( 29 ),992350.000000000000,1019380.000000000000,1020000.000000000000,954359.999999999880,1034400.000000000000,1000000.000000000000,1001919.999999999800,994059.999999999880,1110760.000000000500,1000000.000000000000,10127230.000000000000
FS( 30 ),988300.000000000000,1022780.000000000000,1031840.000000000000,968640.000000000120,1045580.000000000100,1000000.000000000000,1003000.000000000000,991179.999999999880,1121420.000000000000,1000000.000000000000,10172740.000000000000
FS( 31 ),982450.000000000000,1027370.000000000000,988000.000000000000,963880.000000000000,1059340.000000000500,1000000.000000000000,1015599.999999999900,988119.999999999880,1136240.000000000000,1000000.000000000000,10161000.000000000000
FS( 32 ),978850.000000000000,1029580.000000000000,976000.000000000000,972000.000000000000,1070520.000000000000,1000000.000000000000,1015599.999999999900,992619.999999999880,1134160.000000000000,1000000.000000000000,10169330.000000000000
FS( 33 ),976600.000000000120,1040970.000000000000,962720.000000000000,990760.000000000000,1076540.000000000000,1000000.000000000000,1016559.999999999900,1000000.000000000000,1178360.000000000000,1000000.000000000000,10242510.000000000000
FS( 34 ),968950.000000000000,1049980.000000000000,974720.000000000000,986000.000000000000,1076540.000000000000,1000000.000000000000,1024239.999999999900,1008639.999999999800,1161460.000000000000,1000000.000000000000,10250530.000000000000
FS( 35 ),968950.000000000000,1043180.000000000000,964160.000000000000,972000.000000000000,1056760.000000000000,1000000.000000000000,1033959.999999999900,1032219.999999999900,1134160.000000000000,1000000.000000000000,10205390.000000000000
FS( 36 ),978850.000000000000,1065960.000000000000,970720.000000000000,987119.999999999880,1067940.000000000000,1000000.000000000000,1044639.999999999800,1068760.000000000000,1174200.000000000000,1000000.000000000000,10358190.000000000000
FS( 37 ),982450.000000000000,1077350.000000000000,974720.000000000000,1002519.999999999900,1073100.000000000000,1000000.000000000000,1043679.999999999900,1054180.000000000000,1176280.000000000000,1000000.000000000000,10384280.000000000000
FS( 38 ),974799.999999999880,1071570.000000000000,977440.000000000000,1014000.000000000000,1073100.000000000000,1000000.000000000000,1033000.000000000000,1048239.999999999900,1170040.000000000000,1000000.000000000000,10362190.000000000000
FS( 39 ),972999.999999999880,1075140.000000000000,980000.000000000000,1016519.999999999900,1073100.000000000000,1000000.000000000000,1036959.999999999900,1037979.999999999900,1176280.000000000000,1000000.000000000000,10368980.000000000000
FS( 40 ),978850.000000000000,1081940.000000000000,982720.000000000000,1031640.000000000100,1092880.000000000000,1000000.000000000000,1036000.000000000000,1054180.000000000000,1212160.000000000000,1000000.000000000000,10470370.000000000000
FS( 41 ),972999.999999999880,1082960.000000000000,980000.000000000000,1039760.000000000000,1090300.000000000000,1000000.000000000000,1033000.000000000000,1052740.000000000000,1262860.000000000000,1000000.000000000000,10514620.000000000000
FS( 42 ),957250.000000000000,1070550.000000000000,966720.000000000000,1040880.000000000000,1112660.000000000000,1000000.000000000000,1033959.999999999900,1046799.999999999900,1260780.000000000000,1000000.000000000000,10489600.000000000000
FS( 43 ),972999.999999999880,1077350.000000000000,968160.000000000000,1039760.000000000000,1095460.000000000000,1000000.000000000000,1037919.999999999800,1046799.999999999900,1252200.000000000000,1000000.000000000000,10490650.000000000000
FS( 44 ),964900.000000000000,1078540.000000000200,966720.000000000000,1033880.000000000000,1081700.000000000000,1000000.000000000000,1034919.999999999800,1035099.999999999900,1231140.000000000000,1000000.000000000000,10426900.000000000000
FS( 45 ),967150.000000000000,1076160.000000000000,980000.000000000000,1039760.000000000000,1095460.000000000000,1000000.000000000000,1025319.999999999900,1026279.999999999900,1224900.000000000000,1000000.000000000000,10435030.000000000000
