代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13466063.324800000000
真實報酬,3466063.324799999600

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,14356.681689781319
風險,197764.874452770540
起點值,0.072594699789
找到最佳解世代,1567
找到最佳解實驗#,1
找到最佳解次數,45

投資組合檔數,6
1101(0)[15],2301(13)[2],2881(33)[3],2912(41)[9],3008(42)[1],9999(50)[34],
Stock#,1101(0)[15],2301(13)[2],2881(33)[3],2912(41)[9],3008(42)[1],9999(50)[34],
張數,59,59,64,12,3,-1,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,10536.000000000000,1096.000000000000,14186.000000000000,33345.999999999767,13636.000000000000,1666666.000000000000,
FS( 1 ),1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,10000000.000000000000
FS( 2 ),1657226.000000000000,1657815.999999999800,1666666.000000000000,1666666.000000000000,1714065.999999999800,1666666.000000000000,10029110.000000000000
FS( 3 ),1650146.000000000000,1635986.000000000000,1656426.000000000000,1666666.000000000000,1719645.999999999800,1666666.000000000000,9995540.000000000000
FS( 4 ),1677876.000000000200,1622416.000000000000,1682666.000000000000,1650946.000000000000,1714065.999999999800,1666666.000000000000,10014640.000000000000
FS( 5 ),1682596.000000000000,1642476.000000000000,1700586.000000000000,1640505.999999999800,1755886.000000000000,1666666.000000000000,10088720.000000000000
FS( 6 ),1682596.000000000000,1646606.000000000000,1690346.000000000000,1640505.999999999800,1719645.999999999800,1666666.000000000000,10046370.000000000000
FS( 7 ),1700886.000000000000,1670796.000000000000,1708906.000000000000,1650946.000000000000,1691775.999999999800,1666666.000000000000,10089980.000000000000
FS( 8 ),1666666.000000000000,1657815.999999999800,1692906.000000000000,1624905.999999999800,1716856.000000000000,1666666.000000000000,10025820.000000000000
FS( 9 ),1641296.000000000000,1679646.000000000000,1687786.000000000000,1624905.999999999800,1719645.999999999800,1666666.000000000000,10019950.000000000000
FS( 10 ),1677876.000000000200,1653096.000000000000,1682666.000000000000,1619745.999999999500,1722436.000000000200,1666666.000000000000,10022490.000000000000
FS( 11 ),1698526.000000000000,1657815.999999999800,1690346.000000000000,1630065.999999999800,1733565.999999999800,1666666.000000000000,10076990.000000000000
FS( 12 ),1710326.000000000000,1677876.000000000200,1685226.000000000000,1630065.999999999800,1708486.000000000200,1666666.000000000000,10078650.000000000000
FS( 13 ),1705606.000000000000,1657815.999999999800,1698026.000000000000,1609305.999999999800,1716856.000000000000,1666666.000000000000,10054280.000000000000
FS( 14 ),1742776.000000000000,1657815.999999999800,1682666.000000000000,1598865.999999999800,1700116.000000000000,1666666.000000000000,10048910.000000000000
FS( 15 ),1751626.000000000200,1648966.000000000000,1669226.000000000000,1588425.999999999800,1675035.999999999800,1666666.000000000000,9999950.000000000000
FS( 16 ),1742776.000000000000,1657815.999999999800,1648746.000000000000,1567545.999999999500,1666666.000000000000,1666666.000000000000,9950220.000000000000
FS( 17 ),1745136.000000000000,1670796.000000000000,1658986.000000000000,1536225.999999999500,1663876.000000000200,1666666.000000000000,9941690.000000000000
FS( 18 ),1758705.999999999800,1648966.000000000000,1641066.000000000000,1536225.999999999500,1672246.000000000200,1666666.000000000000,9923880.000000000000
FS( 19 ),1689676.000000000000,1640116.000000000000,1578346.000000000000,1515345.999999999800,1730775.999999999800,1666666.000000000000,9820930.000000000000
FS( 20 ),1712686.000000000000,1635986.000000000000,1578346.000000000000,1557105.999999999800,1714065.999999999800,1666666.000000000000,9864860.000000000000
FS( 21 ),1733336.000000000000,1640116.000000000000,1593706.000000000000,1557105.999999999800,1741936.000000000200,1666666.000000000000,9932870.000000000000
FS( 22 ),1735695.999999999800,1644246.000000000000,1578346.000000000000,1541385.999999999800,1747516.000000000000,1666666.000000000000,9913860.000000000000
FS( 23 ),1696755.999999999800,1624776.000000000000,1583466.000000000000,1515345.999999999800,1778176.000000000000,1666666.000000000000,9865190.000000000000
FS( 24 ),1730976.000000000000,1635986.000000000000,1622506.000000000000,1551825.999999999800,1772596.000000000000,1666666.000000000000,9980560.000000000000
FS( 25 ),1765786.000000000000,1661946.000000000000,1614826.000000000000,1572706.000000000000,1728016.000000000000,1666666.000000000000,10009950.000000000000
FS( 26 ),1776996.000000000000,1666666.000000000000,1651306.000000000000,1593586.000000000000,1811626.000000000200,1666666.000000000000,10166850.000000000000
FS( 27 ),1784076.000000000000,1666666.000000000000,1680106.000000000000,1614465.999999999800,1937085.999999999800,1666666.000000000000,10349070.000000000000
FS( 28 ),1761066.000000000200,1657815.999999999800,1656426.000000000000,1604025.999999999500,2015116.000000000000,1666666.000000000000,10361120.000000000000
FS( 29 ),1745136.000000000000,1635986.000000000000,1674986.000000000000,1604025.999999999500,1981666.000000000000,1666666.000000000000,10308470.000000000000
FS( 30 ),1745136.000000000000,1631265.999999999800,1674986.000000000000,1598865.999999999800,1948216.000000000000,1666666.000000000000,10265140.000000000000
FS( 31 ),1712686.000000000000,1591736.000000000000,1625066.000000000000,1572706.000000000000,1909186.000000000200,1666666.000000000000,10078050.000000000000
FS( 32 ),1705606.000000000000,1646606.000000000000,1641066.000000000000,1572706.000000000000,1917556.000000000000,1666666.000000000000,10150210.000000000000
FS( 33 ),1684955.999999999800,1653096.000000000000,1609706.000000000000,1567545.999999999500,1937085.999999999800,1666666.000000000000,10119060.000000000000
FS( 34 ),1687316.000000000200,1646606.000000000000,1609706.000000000000,1588425.999999999800,1895266.000000000000,1666666.000000000000,10093990.000000000000
FS( 35 ),1696755.999999999800,1666666.000000000000,1627626.000000000000,1588425.999999999800,1948216.000000000000,1666666.000000000000,10194360.000000000000
FS( 36 ),1705606.000000000000,1660176.000000000200,1638506.000000000000,1614465.999999999800,1925926.000000000000,1666666.000000000000,10211350.000000000000
FS( 37 ),1705606.000000000000,1657815.999999999800,1612266.000000000000,1609305.999999999800,1956585.999999999800,1666666.000000000000,10208250.000000000000
FS( 38 ),1675516.000000000000,1657815.999999999800,1622506.000000000000,1577985.999999999500,1942636.000000000000,1666666.000000000000,10143130.000000000000
FS( 39 ),1705606.000000000000,1679646.000000000000,1677546.000000000000,1588425.999999999800,2012326.000000000000,1666666.000000000000,10330220.000000000000
FS( 40 ),1705606.000000000000,1679646.000000000000,1700586.000000000000,1588425.999999999800,2115466.000000000000,1666666.000000000000,10456400.000000000000
FS( 41 ),1687316.000000000200,1693216.000000000000,1698026.000000000000,1609305.999999999800,2107126.000000000000,1666666.000000000000,10461660.000000000000
FS( 42 ),1669026.000000000000,1688496.000000000000,1698026.000000000000,1598865.999999999800,2118256.000000000000,1666666.000000000000,10439340.000000000000
FS( 43 ),1728616.000000000200,1693216.000000000000,1700586.000000000000,1619745.999999999500,2134996.000000000000,1666666.000000000000,10543830.000000000000
FS( 44 ),1763426.000000000000,1755166.000000000000,1734506.000000000000,1588425.999999999800,2226976.000000000000,1666666.000000000000,10735170.000000000000
FS( 45 ),1761066.000000000200,1750446.000000000000,1737066.000000000000,1609305.999999999800,2182366.000000000000,1666666.000000000000,10706920.000000000000
FS( 46 ),1746906.000000000000,1737466.000000000000,1742826.000000000000,1624905.999999999800,2207476.000000000000,1666666.000000000000,10726250.000000000000
FS( 47 ),1769916.000000000000,1750446.000000000000,1750506.000000000000,1635345.999999999800,2243716.000000000000,1666666.000000000000,10816600.000000000000
FS( 48 ),1756346.000000000000,1761656.000000000000,1755626.000000000000,1635345.999999999800,2399806.000000000000,1666666.000000000000,10975450.000000000000
FS( 49 ),1825376.000000000200,1768146.000000000000,1755626.000000000000,1640505.999999999800,2410966.000000000000,1666666.000000000000,11067290.000000000000
FS( 50 ),1807086.000000000000,1741596.000000000000,1739626.000000000000,1666666.000000000000,2463915.999999999500,1666666.000000000000,11085560.000000000000
FS( 51 ),1802366.000000000200,1737466.000000000000,1739626.000000000000,1671825.999999999800,2427676.000000000000,1666666.000000000000,11045630.000000000000
