代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13433030.000000000000
真實報酬,3433030.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,12805.811102878242
風險,146281.199004763910
起點值,0.087542426436
找到最佳解世代,1950
找到最佳解實驗#,1
找到最佳解次數,17

投資組合檔數,9
1301(3)[10],2317(16)[6],2408(23)[2],2474(27)[28],2801(28)[16],2882(31)[9],2885(34)[7],2892(39)[1],3008(41)[3],
Stock#,1301(3)[10],2317(16)[6],2408(23)[2],2474(27)[28],2801(28)[16],2882(31)[9],2885(34)[7],2892(39)[1],3008(41)[3],
張數,15,16,31,4,77,33,114,78,0,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,37711.000000000000,6951.000000000000,25490.999999999767,221991.000000000000,5391.000000000000,661.000000000000,1891.000000000000,9751.000000000000,1111111.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1111111.000000000000,1119111.000000000000,1117000.999999999800,1111111.000000000000,1111111.000000000000,1114411.000000000000,1116810.999999999800,1111111.000000000000,1111111.000000000000,10022890.000000000000
FS( 3 ),1111111.000000000000,1115111.000000000000,1117000.999999999800,1083231.000000000000,1111111.000000000000,1109461.000000000000,1169251.000000000200,1114231.000000000000,1111111.000000000000,10041620.000000000000
FS( 4 ),1093410.999999999800,1095111.000000000000,1098710.999999999800,1044151.000000000000,1091091.000000000000,1081081.000000000000,1148731.000000000200,1104871.000000000000,1111111.000000000000,9868270.000000000000
FS( 5 ),1101511.000000000000,1103111.000000000000,1098710.999999999800,1038591.000000000000,1084161.000000000000,1081081.000000000000,1148731.000000000200,1100971.000000000000,1111111.000000000000,9867980.000000000000
FS( 6 ),1119211.000000000000,1108391.000000000000,1115450.999999999500,1040431.000000000000,1101101.000000000000,1082731.000000000000,1164691.000000000000,1117351.000000000000,1111111.000000000000,9960470.000000000000
FS( 7 ),1135561.000000000000,1119111.000000000000,1119790.999999999800,1064631.000000000000,1104181.000000000000,1090651.000000000000,1164691.000000000000,1117351.000000000000,1111111.000000000000,10027080.000000000000
