代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10828868.519999999552965
真實報酬,828868.519999999552965

夏普值報酬,0.074186852000000
夏普值風險,0.032318723851507
夏普值,2.295475908667091

二次趨勢線,324.462824995115454 x^2 + -5193.480893882679084 x + 10000000.000000000000000
二次加權預期報酬,22710.322055697248288
風險,114621.587696871778462
二次加權趨勢值,0.198133026352391
一次趨勢線,10501.465059369409573 x + 10000000.000000000000000
一次預期報酬,10501.465059369409573
一次風險,189948.992206888913643
一次趨勢值,0.055285710849844
找到最佳解世代,2773
找到最佳解實驗#,1
找到最佳解次數,22

stock[index](rank)
投資組合檔數,3
NKE[19](1),V[25](2),XOM[29](6),
Stock#,NKE[19](1),V[25](2),XOM[29](6),
張數,50261,27685,44326,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,23.480000000447035,59.000000000000000,17.799999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3311720.770000000484288,3343576.449999999720603,3348847.099999999627471,10004145.320000000298023
FS( 3 ),3269501.530000000260770,3374306.799999999813735,3380761.819999999832362,10024571.150000000372529
FS( 4 ),3279051.120000000111759,3351605.100000000093132,3376772.479999999981374,10007429.700000001117587
FS( 5 ),3225271.850000000558794,3373476.250000000000000,3291666.560000000055879,9890415.660000000149012
FS( 6 ),3272517.190000000409782,3383719.700000000186265,3285460.919999999925494,9941698.810000000521541
FS( 7 ),3332327.780000000260770,3447118.350000000093132,3304964.359999999869615,10084411.490000000223517
FS( 8 ),3358463.500000000000000,3439643.399999999906868,3335106.039999999571592,10133213.939999999478459
FS( 9 ),3325793.850000000558794,3410851.000000000000000,3303634.580000000074506,10040280.429999999701977
FS( 10 ),3327301.680000000633299,3393686.299999999813735,3262411.399999999441206,9983400.379999998956919
FS( 11 ),3336851.270000000484288,3416664.850000000093132,3298758.719999999739230,10052275.839999999850988
FS( 12 ),3312725.990000000223517,3447672.049999999813735,3329786.919999999925494,10090185.960000000894070
FS( 13 ),3302673.790000000037253,3411127.849999999627471,3286790.700000000186265,10000593.339999999850988
FS( 14 ),3357458.280000000260770,3458192.350000000093132,3279698.539999999571592,10095350.169999999925494
FS( 15 ),3334840.830000000074506,3411404.700000000186265,3326240.840000000316650,10072487.370000001043081
