代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10852254.459999999031425
真實報酬,852254.459999999031425

夏普值報酬,0.076525446000000
夏普值風險,0.030493512482874
夏普值,2.509564814580742

二次趨勢線,91.029089407612105 x^2 + 10329.752344777563849 x + 10000000.000000000000000
二次加權預期報酬,18158.254033832203277
風險,115840.188950456184102
二次加權趨勢值,0.156752627894956
一次趨勢線,14733.019925424850953 x + 10000000.000000000000000
一次預期報酬,14733.019925424850953
一次風險,123388.641732910706196
一次趨勢值,0.119403372291886
找到最佳解世代,2246
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),PG[21](5),V[25](2),
Stock#,HD[9](1),PG[21](5),V[25](2),
張數,19278,43066,28155,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,166.799999999813735,24.599999999627471,62.549999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3349912.079999999608845,3378982.959999999497086,3356138.549999999813735,10085034.589999999850988
FS( 3 ),3420855.119999999646097,3404391.899999999441206,3373313.100000000093132,10198561.119999999180436
FS( 4 ),3453434.939999999944121,3393625.399999999441206,3412166.999999999534339,10259228.339999999850988
FS( 5 ),3363213.899999999441206,3377690.979999999981374,3313906.049999999813735,10054811.929999999701977
FS( 6 ),3325814.579999999608845,3366063.159999999683350,3344595.000000000000000,10036473.739999998360872
FS( 7 ),3344707.020000000018626,3375107.020000000018626,3398934.149999999906868,10118749.189999999478459
FS( 8 ),3332561.879999999888241,3370800.419999999459833,3372468.449999999720603,10075831.749999998137355
FS( 9 ),3342200.879999999888241,3350128.739999999757856,3408788.399999999441206,10101119.019999999552965
FS( 10 ),3331405.200000000186265,3375107.020000000018626,3399778.799999999813735,10106292.019999999552965
FS( 11 ),3362828.339999999850988,3385442.859999999403954,3431593.949999999720603,10179866.149999998509884
FS( 12 ),3372081.779999999795109,3377690.979999999981374,3485651.549999999813735,10235425.309999998658895
FS( 13 ),3467315.099999999627471,3367785.799999999813735,3485651.549999999813735,10320753.449999999254942
FS( 14 ),3413915.040000000037253,3227821.299999999813735,3490156.349999999627471,10131893.689999999478459
FS( 15 ),3412565.579999999608845,3178295.399999999441206,3496913.549999999813735,10087775.529999997466803
FS( 16 ),3425096.279999999795109,3143842.599999999627471,3504233.849999999627471,10073173.729999998584390
FS( 17 ),3398107.079999999608845,3122309.599999999627471,3414419.399999999906868,9934837.080000000074506
FS( 18 ),3419891.219999999739230,3113696.399999999441206,3412730.099999999627471,9946318.719999998807907
FS( 19 ),3580476.959999999962747,3133076.099999999627471,3577999.949999999720603,10291554.009999999776483
FS( 20 ),3594742.680000000167638,3135660.059999999590218,3547874.100000000093132,10278277.839999999850988
FS( 21 ),3562741.200000000186265,3115419.039999999571592,3572368.949999999720603,10250530.189999999478459
FS( 22 ),3559463.939999999944121,3099053.959999999497086,3590106.600000000093132,10248625.500000000000000
FS( 23 ),3584139.779999999795109,3055126.639999999664724,3558291.449999999720603,10197558.869999999180436
FS( 24 ),3531703.619999999646097,3073214.359999999403954,3580815.450000000186265,10185734.429999999701977
FS( 25 ),3567175.139999999664724,3119294.979999999981374,3608407.349999999627471,10294878.469999998807907
FS( 26 ),3538836.479999999981374,3099915.279999999795109,3639377.849999999627471,10278130.609999999403954
FS( 27 ),3567367.919999999459833,3076659.639999999664724,3657397.049999999813735,10301425.609999999403954
FS( 28 ),3592814.879999999888241,3116711.020000000018626,3683862.750000000000000,10393389.650000000372529
FS( 29 ),3608237.279999999795109,3150302.500000000000000,3683862.750000000000000,10442403.529999999329448
FS( 30 ),3668962.979999999981374,3159777.020000000018626,3711454.649999999441206,10540195.649999998509884
FS( 31 ),3683807.040000000037253,3155901.079999999608845,3694280.100000000093132,10533989.219999998807907
FS( 32 ),3624045.239999999757856,3141689.299999999813735,3691183.049999999813735,10456918.589999999850988
FS( 33 ),3593200.439999999944121,3166667.579999999608845,3685270.499999999534339,10445139.519999999552965
FS( 34 ),3572958.540000000037253,3185185.959999999497086,3658241.700000000186265,10416387.199999999254942
FS( 35 ),3613249.559999999590218,3163222.299999999813735,3658241.700000000186265,10434714.559999998658895
FS( 36 ),3658938.419999999459833,3189492.559999999590218,3678794.849999999627471,10527226.829999998211861
FS( 37 ),3602646.659999999683350,3188200.579999999608845,3680202.600000000093132,10471050.839999999850988
