代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11453317.839999999850988
真實報酬,1453317.839999999850988

夏普值報酬,0.136631784000000
夏普值風險,0.047603761977915
夏普值,2.870188790192429

二次趨勢線,503.159473487007574 x^2 + -4532.384147143626251 x + 10000000.000000000000000
二次加權預期報酬,36726.692678790997888
風險,115324.312708143770578
二次加權趨勢值,0.318464440119724
一次趨勢線,18674.312544659562263 x + 10000000.000000000000000
一次預期報酬,18674.312544659562263
一次風險,242727.845575399085646
一次趨勢值,0.076935188463405
找到最佳解世代,1866
找到最佳解實驗#,2
找到最佳解次數,38

stock[index](rank)
投資組合檔數,5
AAPL[0](1),BA[2](2),PFE[20](5),UNH[23](6),WBA[27](14),
Stock#,AAPL[0](1),BA[2](2),PFE[20](5),UNH[23](6),WBA[27](14),
張數,17380,15106,63979,20189,29511,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,83.400000000139698,116.660000000149012,16.459999999962747,77.659999999916181,39.530000000027940,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1992352.800000000046566,1998338.340000000083819,2019833.489999999990687,2015545.529999999795109,1969898.780000000027940,9995968.939999999478459
FS( 3 ),2014946.800000000279397,1993655.480000000214204,2031349.709999999962747,2035128.859999999869615,1988490.709999999962747,10063571.559999998658895
FS( 4 ),2007299.600000000093132,1983836.580000000074506,2026231.390000000130385,2012315.290000000037253,2003836.430000000167638,10033519.290000000968575
FS( 5 ),1998783.400000000139698,1997280.920000000158325,2046704.669999999925494,2025640.029999999795109,2024494.129999999888241,10092903.149999998509884
FS( 6 ),1953595.400000000139698,1968126.340000000083819,2045425.089999999850988,2017362.540000000037253,1998819.560000000055879,9983328.929999999701977
FS( 7 ),1983489.000000000232831,1958760.620000000111759,2044145.510000000009313,2039570.439999999944121,2024199.020000000018626,10050164.589999999850988
FS( 8 ),1945774.400000000139698,1882928.500000000232831,2038387.399999999906868,2000605.669999999925494,2011214.180000000167638,9878910.150000000372529
FS( 9 ),1940039.000000000232831,1863743.880000000121072,2024951.809999999823049,2013526.629999999888241,2154637.640000000596046,9996898.960000000894070
FS( 10 ),1907190.800000000279397,1824468.280000000027940,1980166.510000000009313,1993943.300000000046566,2198609.030000000260770,9904377.919999999925494
FS( 11 ),1881120.800000000279397,1844257.140000000130385,1974408.399999999906868,1984050.689999999944121,2167327.370000000111759,9851164.399999998509884
FS( 12 ),1855398.400000000139698,1877037.160000000149012,1962252.390000000130385,1935193.309999999823049,2136340.820000000298023,9766222.080000001937151
FS( 13 ),1901629.200000000186265,1889273.020000000251457,1991042.939999999944121,2001615.119999999878928,2124536.419999999925494,9908096.699999999254942
FS( 14 ),1957940.400000000139698,1898487.680000000167638,2045425.089999999850988,2064201.019999999785796,2195067.709999999962747,10161121.899999998509884
FS( 15 ),1942819.800000000046566,1906947.040000000270084,2043505.719999999972060,2069248.269999999785796,2161130.060000000521541,10123650.890000000596046
FS( 16 ),1962980.600000000093132,1937007.980000000214204,2053102.570000000065193,2080352.219999999972060,2191821.500000000000000,10225264.870000001043081
FS( 17 ),1956028.600000000325963,1964349.840000000083819,2012156.010000000009313,2076516.309999999823049,2257926.140000000596046,10266976.900000000372529
FS( 18 ),1946817.200000000186265,1982628.100000000325963,2010236.640000000130385,2073084.180000000167638,2262647.900000000372529,10275414.020000001415610
FS( 19 ),1981229.600000000093132,1988519.440000000176951,2024951.809999999823049,2070459.609999999869615,2256450.589999999850988,10321611.049999998882413
FS( 20 ),1979839.200000000186265,1998489.400000000139698,2008317.270000000018626,2066018.029999999795109,2266189.220000000670552,10318853.120000001043081
FS( 21 ),1955681.000000000000000,1991540.640000000363216,2007677.479999999981374,2076516.309999999823049,2244351.080000000074506,10275766.510000001639128
FS( 22 ),1918487.800000000046566,1963594.540000000037253,1992962.309999999823049,2040983.669999999925494,2248777.730000000447035,10164806.050000000745058
FS( 23 ),1900238.800000000046566,1963141.359999999869615,2004478.529999999795109,2034725.079999999841675,2242875.530000000260770,10145459.300000000745058
