代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10812088.140000000596046
真實報酬,812088.140000000596046

夏普值報酬,0.072508814000000
夏普值風險,0.037323603255241
夏普值,1.942706696996564

二次趨勢線,551.302423396895620 x^2 + -17347.302524390139297 x + 10000000.000000000000000
二次加權預期報酬,28594.566092017830670
風險,152524.230607742298162
二次加權趨勢值,0.187475563574922
一次趨勢線,8493.344665069131224 x + 10000000.000000000000000
一次預期報酬,8493.344665069131224
一次風險,285781.136584950436372
一次趨勢值,0.029719752558071
找到最佳解世代,1862
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](2),DD[7](5),V[25](1),
Stock#,CSCO[4](2),DD[7](5),V[25](1),
張數,175070,79840,97522,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,0.200000000186265,13.000000000000000,31.040000000037253,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3303571.100000000558794,3315768.200000000186265,3315779.040000000037253,9935119.339999999850988
FS( 3 ),3314075.300000000279397,3264670.600000000093132,3377217.900000000372529,9955964.800000000745058
FS( 4 ),3308823.199999999720603,3318163.400000000372529,3405499.280000000260770,10032486.879999998956919
FS( 5 ),3301820.399999999906868,3319760.199999999720603,3420127.580000000074506,10041709.179999999701977
FS( 6 ),3308823.199999999720603,3297405.000000000000000,3382094.000000000000000,9988323.199999999254942
FS( 7 ),3291316.200000000186265,3228742.599999999627471,3334308.219999999739230,9854368.019999999552965
FS( 8 ),3205531.899999999906868,3192814.600000000093132,3349911.740000000223517,9748259.240000000223517
FS( 9 ),3196778.400000000372529,3208782.599999999627471,3389895.759999999776483,9795457.759999999776483
FS( 10 ),3223038.900000000372529,3192814.600000000093132,3391846.200000000186265,9807700.699999999254942
FS( 11 ),3247548.700000000186265,3219960.199999999720603,3410375.379999999888241,9877885.280000001192093
FS( 12 ),3300069.700000000651926,3400398.600000000093132,3441582.419999999925494,10142051.720000000670552
FS( 13 ),3273809.200000000186265,3437923.400000000372529,3475715.120000000111759,10187448.720000000670552
FS( 14 ),3258052.899999999906868,3436326.600000000093132,3459136.379999999888241,10153516.879999998956919
FS( 15 ),3158263.000000000000000,3394809.800000000279397,3412325.820000000298023,9965399.620000001043081
FS( 16 ),3184523.500000000465661,3381237.000000000000000,3388920.540000000037253,9954682.039999999105930
FS( 17 ),3153010.900000000372529,3246307.399999999906868,3331382.559999999590218,9730701.859999999403954
FS( 18 ),3042716.799999999813735,3397205.000000000000000,3327481.679999999701977,9767404.480000000447035
