代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10537313.779999999329448
真實報酬,537313.779999999329448

夏普值報酬,0.045031378000000
夏普值風險,0.015218661825142
夏普值,2.958957792570576

二次趨勢線,118.748247398077808 x^2 + 674.359460679158701 x + 10000000.000000000000000
二次加權預期報酬,10411.715747321539311
風險,38748.050163585226983
二次加權趨勢值,0.268702959332552
一次趨勢線,6151.260334575867091 x + 10000000.000000000000000
一次預期報酬,6151.260334575867091
一次風險,63578.405964084115112
一次趨勢值,0.096750779471426
找到最佳解世代,1720
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](1),KO[14](3),MSFT[18](2),
Stock#,DIS[6](1),KO[14](3),MSFT[18](2),
張數,29949,80788,52427,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,9.300000000279397,20.120000000111759,24.340000000316650,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3312668.190000000409782,3344643.319999999832362,3311837.930000000633299,9969150.440000001341105
FS( 3 ),3303384.000000000000000,3355953.640000000130385,3338575.700000000186265,9997914.339999999850988
FS( 4 ),3281521.229999999981374,3357569.400000000372529,3336478.620000000577420,9975570.250000001862645
FS( 5 ),3264450.300000000279397,3385037.319999999832362,3325468.950000000186265,9974957.570000000298023
FS( 6 ),3264450.300000000279397,3394731.880000000353903,3320750.520000000484288,9979933.700000001117587
FS( 7 ),3279125.310000000055879,3332525.120000000111759,3358497.960000000428408,9970149.390000000596046
FS( 8 ),3272237.040000000502914,3278397.160000000149012,3355352.340000000316650,9905987.540000000968575
FS( 9 ),3283917.150000000372529,3281628.679999999701977,3393099.780000000260770,9958646.609999999403954
FS( 10 ),3304282.470000000204891,3274357.760000000242144,3385235.729999999981374,9963876.960000000894070
FS( 11 ),3299790.120000000577420,3267086.839999999850988,3383138.650000000372529,9950016.610000001266599
FS( 12 ),3315663.090000000316650,3328485.720000000204891,3382614.379999999888241,10026764.190000001341105
FS( 13 ),3296196.240000000223517,3330909.359999999869615,3387857.080000000540167,10014963.679999999701977
FS( 14 ),3294698.790000000502914,3349490.600000000093132,3381041.569999999832362,10025231.960000000894070
FS( 15 ),3297993.180000000633299,3360800.920000000391155,3374226.060000000055879,10033021.160000002011657
FS( 16 ),3286313.070000000298023,3365648.199999999720603,3387857.080000000540167,10039819.349999999627471
FS( 17 ),3303982.979999999981374,3375342.760000000242144,3387857.080000000540167,10067183.820000000298023
FS( 18 ),3301287.570000000298023,3366456.080000000074506,3367410.550000000745058,10035155.200000001117587
FS( 19 ),3297094.710000000428408,3389884.600000000093132,3354303.800000000279397,10041284.110000001266599
FS( 20 ),3325546.260000000242144,3406042.199999999720603,3404633.720000000204891,10136223.179999999701977
FS( 21 ),3312069.210000000428408,3431086.479999999981374,3355876.610000000800937,10099033.300000000745058
FS( 22 ),3331536.060000000055879,3431894.359999999869615,3368459.090000000316650,10131890.509999999776483
FS( 23 ),3314465.130000000353903,3407657.959999999962747,3369507.629999999888241,10091631.719999998807907
FS( 24 ),3320155.440000000409782,3392308.240000000223517,3376323.140000000596046,10088787.820000000298023
FS( 25 ),3319556.460000000428408,3392308.240000000223517,3407255.069999999832362,10119120.770000001415610
FS( 26 ),3325246.770000000484288,3395539.760000000242144,3393624.050000000745058,10114411.580000001937151
FS( 27 ),3321952.380000000353903,3416544.640000000130385,3404109.450000000651926,10142607.470000000670552
FS( 28 ),3339921.780000000260770,3395539.760000000242144,3392575.509999999776483,10128038.050000000745058
FS( 29 ),3363581.490000000223517,3390692.479999999981374,3376847.410000000149012,10131122.380000000819564
FS( 30 ),3350403.930000000633299,3402810.679999999701977,3394672.590000000316650,10147888.200000001117587
FS( 31 ),3345612.090000000316650,3413313.120000000111759,3388905.620000000577420,10147831.830000001937151
FS( 32 ),3347109.540000000502914,3395539.760000000242144,3400963.830000000540167,10143614.130000000819564
FS( 33 ),3375561.090000000316650,3407657.959999999962747,3404109.450000000651926,10187329.500000001862645
FS( 34 ),3346810.050000000279397,3433510.120000000111759,3366362.009999999776483,10146683.179999999701977
FS( 35 ),3356693.220000000204891,3423815.560000000521541,3409352.150000000372529,10189861.930000001564622
FS( 36 ),3361485.060000000055879,3406850.080000000074506,3400963.830000000540167,10169299.970000000670552
FS( 37 ),3358490.160000000149012,3402810.679999999701977,3406730.800000000745058,10168032.640000000596046
FS( 38 ),3365677.919999999925494,3418968.280000000260770,3413022.040000000037253,10197669.240000000223517
FS( 39 ),3385743.750000000000000,3427854.959999999962747,3422983.170000000856817,10236582.880000000819564
FS( 40 ),3370170.270000000484288,3427047.080000000074506,3432420.030000000260770,10229638.380000000819564
FS( 41 ),3389637.120000000577420,3441588.920000000391155,3445002.509999999776483,10276229.550000000745058
FS( 42 ),3395926.410000000149012,3428662.839999999850988,3452866.560000000055879,10277456.810000000521541
FS( 43 ),3390236.100000000558794,3426239.199999999720603,3436614.189999999944121,10253090.490000000223517
FS( 44 ),3385444.260000000242144,3448051.959999999962747,3446051.050000000745058,10279548.270000001415610
FS( 45 ),3384246.300000000279397,3439165.280000000260770,3437138.460000000428408,10260551.040000000968575
FS( 46 ),3385743.750000000000000,3447244.080000000074506,3446051.050000000745058,10279039.880000000819564
FS( 47 ),3371667.720000000204891,3442396.800000000279397,3443429.700000000651926,10257495.220000000670552
FS( 48 ),3367175.370000000577420,3448859.839999999850988,3435565.650000000372529,10251601.860000001266599
FS( 49 ),3386342.729999999981374,3446436.199999999720603,3432944.300000000745058,10265724.230000000447035
FS( 50 ),3385444.260000000242144,3469056.839999999850988,3419837.550000000745058,10274339.650000000372529
FS( 51 ),3390236.100000000558794,3456938.640000000130385,3405157.990000000689179,10252333.730000000447035
FS( 52 ),3407606.520000000484288,3479559.280000000260770,3432944.300000000745058,10320111.100000001490116
FS( 53 ),3419885.610000000335276,3512682.359999999869615,3428225.870000000577420,10360794.840000001713634
FS( 54 ),3406109.070000000298023,3492485.359999999869615,3409876.420000000856817,10308471.850000001490116
FS( 55 ),3437855.010000000242144,3481175.040000000502914,3433992.840000000316650,10353023.890000000596046
FS( 56 ),3427372.860000000335276,3479559.280000000260770,3481177.140000000596046,10388110.280000001192093
FS( 57 ),3405210.600000000558794,3496524.760000000242144,3540419.650000000372529,10442156.010000001639128
FS( 58 ),3449535.120000000577420,3482790.800000000279397,3560866.180000000633299,10493193.100000001490116
FS( 59 ),3461514.720000000204891,3493293.240000000223517,3556147.750000000000000,10510956.710000000894070
FS( 60 ),3469301.460000000428408,3474712.000000000000000,3579215.629999999888241,10523230.089999999850988
FS( 61 ),3462113.700000000186265,3486022.319999999832362,3589176.759999999776483,10537313.779999999329448
