代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11934912.410000000149012
真實報酬,1934912.410000000149012

夏普值報酬,0.184791241000000
夏普值風險,0.064733995426085
夏普值,2.854624371378415

二次趨勢線,611.063676377569095 x^2 + -9171.563082849592320 x + 10000000.000000000000000
二次加權預期報酬,44194.664654124768276
風險,212893.057043395965593
二次加權趨勢值,0.207590915682686
一次趨勢線,20845.190791117292974 x + 10000000.000000000000000
一次預期報酬,20845.190791117292974
一次風險,363115.879498750087805
一次趨勢值,0.057406442317786
找到最佳解世代,2694
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,47977,
分配資金,10000000.000000000000000,
剩餘資金,153.890000000596046,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9788421.430000001564622,9788421.430000001564622
FS( 3 ),9276027.070000000298023,9276027.070000000298023
FS( 4 ),9451622.890000000596046,9451622.890000000596046
FS( 5 ),9549495.970000000670552,9549495.970000000670552
FS( 6 ),9760115.000000000000000,9760115.000000000000000
FS( 7 ),9643051.120000001043081,9643051.120000001043081
FS( 8 ),9618582.849999999627471,9618582.849999999627471
FS( 9 ),10025907.580000000074506,10025907.580000000074506
FS( 10 ),9727490.640000000596046,9727490.640000000596046
FS( 11 ),9679033.870000001043081,9679033.870000001043081
FS( 12 ),9907404.390000000596046,9907404.390000000596046
FS( 13 ),10092115.839999999850988,10092115.839999999850988
FS( 14 ),10092595.610000001266599,10092595.610000001266599
FS( 15 ),10201983.169999999925494,10201983.169999999925494
FS( 16 ),10193347.310000000521541,10193347.310000000521541
FS( 17 ),9722213.169999999925494,9722213.169999999925494
FS( 18 ),9906924.620000001043081,9906924.620000001043081
FS( 19 ),9795138.210000000894070,9795138.210000000894070
FS( 20 ),9860866.700000001117587,9860866.700000001117587
FS( 21 ),10027826.660000000149012,10027826.660000000149012
FS( 22 ),10014872.870000001043081,10014872.870000001043081
FS( 23 ),9869022.790000000968575,9869022.790000000968575
FS( 24 ),10036462.520000001415610,10036462.520000001415610
FS( 25 ),10232688.450000001117587,10232688.450000001117587
FS( 26 ),10231728.910000000149012,10231728.910000000149012
FS( 27 ),10275387.980000000447035,10275387.980000000447035
FS( 28 ),10396769.790000000968575,10396769.790000000968575
FS( 29 ),10727331.320000000298023,10727331.320000000298023
FS( 30 ),10703342.820000000298023,10703342.820000000298023
FS( 31 ),10495122.640000000596046,10495122.640000000596046
FS( 32 ),10550296.190000001341105,10550296.190000001341105
FS( 33 ),10588677.790000000968575,10588677.790000000968575
FS( 34 ),10687990.180000001564622,10687990.180000001564622
FS( 35 ),10601151.810000000521541,10601151.810000000521541
FS( 36 ),10446186.099999999627471,10446186.099999999627471
FS( 37 ),10493683.330000000074506,10493683.330000000074506
FS( 38 ),10443787.250000000000000,10443787.250000000000000
FS( 39 ),10604510.200000001117587,10604510.200000001117587
FS( 40 ),10549816.419999999925494,10549816.419999999925494
FS( 41 ),10498481.030000001192093,10498481.030000001192093
FS( 42 ),10745562.580000000074506,10745562.580000000074506
FS( 43 ),10775308.320000000298023,10775308.320000000298023
FS( 44 ),10505197.810000000521541,10505197.810000000521541
FS( 45 ),10594435.030000001192093,10594435.030000001192093
FS( 46 ),10891412.660000000149012,10891412.660000000149012
FS( 47 ),10893811.509999999776483,10893811.509999999776483
FS( 48 ),10766192.690000001341105,10766192.690000001341105
FS( 49 ),10892372.200000001117587,10892372.200000001117587
FS( 50 ),11039181.820000000298023,11039181.820000000298023
FS( 51 ),11332801.060000000521541,11332801.060000000521541
FS( 52 ),11316488.880000000819564,11316488.880000000819564
FS( 53 ),11290101.530000001192093,11290101.530000001192093
FS( 54 ),11244523.380000000819564,11244523.380000000819564
FS( 55 ),11288182.450000001117587,11288182.450000001117587
FS( 56 ),11342396.460000000894070,11342396.460000000894070
FS( 57 ),11539102.160000000149012,11539102.160000000149012
FS( 58 ),11512714.810000000521541,11512714.810000000521541
FS( 59 ),11667200.750000000000000,11667200.750000000000000
FS( 60 ),11686391.550000000745058,11686391.550000000745058
FS( 61 ),11830322.550000000745058,11830322.550000000745058
FS( 62 ),11948825.740000000223517,11948825.740000000223517
FS( 63 ),11672478.220000000670552,11672478.220000000670552
FS( 64 ),11671038.910000000149012,11671038.910000000149012
FS( 65 ),11934912.410000000149012,11934912.410000000149012
