代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,9834614.559999998658895
真實報酬,-165385.440000001341105

夏普值報酬,-0.025238544000000
夏普值風險,0.034928907506974
夏普值,-0.722568949371266

二次趨勢線,1180.593009640226228 x^2 + -68741.305879523060867 x + 10000000.000000000000000
二次加權預期報酬,28067.320910975489824
風險,198187.762778793054167
二次加權趨勢值,0.141619848357150
一次趨勢線,-14290.052678799451314 x + 10000000.000000000000000
一次預期報酬,-14290.052678799451314
一次風險,538905.333303535706364
一次趨勢值,-7700985601.793501853942871
找到最佳解世代,2418
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MRK[17](1),
Stock#,MRK[17](1),
張數,167056,
分配資金,10000000.000000000000000,
剩餘資金,27.839999999850988,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9782827.200000001117587,9782827.200000001117587
FS( 3 ),9421986.240000000223517,9421986.240000000223517
FS( 4 ),9264953.599999999627471,9264953.599999999627471
FS( 5 ),9335117.120000001043081,9335117.120000001043081
FS( 6 ),9143002.719999998807907,9143002.719999998807907
FS( 7 ),9166390.559999998658895,9166390.559999998658895
FS( 8 ),9259941.919999999925494,9259941.919999999925494
FS( 9 ),9171402.240000000223517,9171402.240000000223517
FS( 10 ),9171402.240000000223517,9171402.240000000223517
FS( 11 ),9353493.279999999329448,9353493.279999999329448
FS( 12 ),9403610.080000000074506,9403610.080000000074506
FS( 13 ),9184766.719999998807907,9184766.719999998807907
FS( 14 ),9112932.639999998733401,9112932.639999998733401
FS( 15 ),9116273.759999999776483,9116273.759999999776483
FS( 16 ),9166390.559999998658895,9166390.559999998658895
FS( 17 ),9365187.200000001117587,9365187.200000001117587
FS( 18 ),9141332.160000000149012,9141332.160000000149012
FS( 19 ),9057804.160000000149012,9057804.160000000149012
FS( 20 ),8970935.040000000968575,8970935.040000000968575
FS( 21 ),9081192.000000000000000,9081192.000000000000000
FS( 22 ),9087874.240000000223517,9087874.240000000223517
FS( 23 ),9071168.639999998733401,9071168.639999998733401
FS( 24 ),9099568.160000000149012,9099568.160000000149012
FS( 25 ),9148014.400000000372529,9148014.400000000372529
FS( 26 ),9211495.679999999701977,9211495.679999999701977
FS( 27 ),9248248.000000000000000,9248248.000000000000000
FS( 28 ),9249918.559999998658895,9249918.559999998658895
FS( 29 ),9154696.639999998733401,9154696.639999998733401
FS( 30 ),9229871.839999999850988,9229871.839999999850988
FS( 31 ),9300035.359999999403954,9300035.359999999403954
FS( 32 ),9126297.120000001043081,9126297.120000001043081
FS( 33 ),9127967.679999999701977,9127967.679999999701977
FS( 34 ),9136320.479999998584390,9136320.479999998584390
FS( 35 ),9041098.559999998658895,9041098.559999998658895
FS( 36 ),8922488.799999998882413,8922488.799999998882413
FS( 37 ),9027734.080000000074506,9027734.080000000074506
FS( 38 ),8979287.839999999850988,8979287.839999999850988
FS( 39 ),9203142.880000000819564,9203142.880000000819564
FS( 40 ),9099568.160000000149012,9099568.160000000149012
FS( 41 ),8899100.960000000894070,8899100.960000000894070
FS( 42 ),9036086.880000000819564,9036086.880000000819564
FS( 43 ),9111262.080000000074506,9111262.080000000074506
FS( 44 ),9109591.519999999552965,9109591.519999999552965
FS( 45 ),8914136.000000000000000,8914136.000000000000000
FS( 46 ),9381892.799999998882413,9381892.799999998882413
FS( 47 ),9437021.279999999329448,9437021.279999999329448
FS( 48 ),9388575.040000000968575,9388575.040000000968575
FS( 49 ),9478785.279999999329448,9478785.279999999329448
FS( 50 ),9550619.359999999403954,9550619.359999999403954
FS( 51 ),9797862.240000000223517,9797862.240000000223517
FS( 52 ),9901436.960000000894070,9901436.960000000894070
FS( 53 ),9842967.359999999403954,9842967.359999999403954
FS( 54 ),9796191.679999999701977,9796191.679999999701977
FS( 55 ),9827932.320000000298023,9827932.320000000298023
FS( 56 ),10065151.839999999850988,10065151.839999999850988
FS( 57 ),10038422.880000000819564,10038422.880000000819564
FS( 58 ),9961577.120000001043081,9961577.120000001043081
FS( 59 ),9924824.799999998882413,9924824.799999998882413
FS( 60 ),9934848.160000000149012,9934848.160000000149012
FS( 61 ),9834614.559999998658895,9834614.559999998658895
