代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10745577.450000001117587
真實報酬,745577.450000001117587

夏普值報酬,0.065857745000000
夏普值風險,0.036332113359548
夏普值,1.812659350373112

二次趨勢線,520.454819150032563 x^2 + -16677.262267114267161 x + 10000000.000000000000000
二次加權預期報酬,28081.852179788533249
風險,101251.631600192893529
二次加權趨勢值,0.277347157136923
一次趨勢線,8498.226659212885352 x + 10000000.000000000000000
一次預期報酬,8498.226659212885352
一次風險,263215.660627734148875
一次趨勢值,0.032286174154478
找到最佳解世代,2049
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](1),IBM[10](2),KO[14](9),MCD[15](4),
Stock#,GS[8](1),IBM[10](2),KO[14](9),MCD[15](4),
張數,12211,17785,51450,12875,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,41.970000000204891,140.399999999906868,44.500000000000000,61.250000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2503174.860000000335276,2482748.549999999813735,2489710.000000000000000,2505665.000000000000000,9981298.410000000149012
FS( 3 ),2534068.690000000409782,2494486.649999999906868,2506688.500000000000000,2543131.250000000000000,10078375.089999999850988
FS( 4 ),2520758.700000000186265,2496798.699999999720603,2493826.000000000000000,2560898.750000000000000,10072282.150000000372529
FS( 5 ),2474356.900000000372529,2448067.799999999813735,2469644.500000000000000,2549826.250000000000000,9941895.449999999254942
FS( 6 ),2453842.419999999925494,2454470.399999999906868,2461927.000000000000000,2549697.500000000000000,9919937.320000000298023
FS( 7 ),2462145.900000000372529,2407162.299999999813735,2438774.500000000000000,2545835.000000000000000,9853917.699999999254942
FS( 8 ),2467274.520000000484288,2406806.599999999627471,2479420.000000000000000,2574932.500000000000000,9928433.620000001043081
FS( 9 ),2380820.640000000130385,2337445.099999999627471,2472217.000000000000000,2562572.500000000000000,9753055.240000000223517
FS( 10 ),2396817.050000000279397,2371058.750000000000000,2505145.000000000000000,2549440.000000000000000,9822460.800000000745058
FS( 11 ),2398282.370000000111759,2390444.399999999906868,2530355.500000000000000,2563087.500000000000000,9882169.769999999552965
FS( 12 ),2431740.510000000242144,2416766.199999999720603,2550935.500000000000000,2574932.500000000000000,9974374.710000000894070
FS( 13 ),2410859.700000000186265,2389021.599999999627471,2531384.500000000000000,2565018.750000000000000,9896284.550000000745058
FS( 14 ),2408539.610000000335276,2403249.600000000093132,2513377.000000000000000,2562057.500000000000000,9887223.710000000894070
FS( 15 ),2431374.180000000167638,2426903.649999999906868,2500514.500000000000000,2573001.250000000000000,9931793.580000000074506
FS( 16 ),2387536.690000000409782,2425125.149999999906868,2554537.000000000000000,2574546.250000000000000,9941745.089999999850988
FS( 17 ),2344187.640000000130385,2354696.549999999813735,2564827.000000000000000,2561800.000000000000000,9825511.189999999478459
FS( 18 ),2356764.970000000204891,2352740.199999999720603,2552479.000000000000000,2546350.000000000000000,9808334.169999999925494
FS( 19 ),2313293.810000000055879,2320371.500000000000000,2526239.500000000000000,2532187.500000000000000,9692092.310000000521541
FS( 20 ),2296320.520000000484288,2306677.049999999813735,2501029.000000000000000,2523818.750000000000000,9627845.320000000298023
FS( 21 ),2288017.040000000037253,2304542.849999999627471,2533957.000000000000000,2565276.250000000000000,9691793.140000000596046
FS( 22 ),2228427.360000000335276,2258657.549999999813735,2527783.000000000000000,2552787.500000000000000,9567655.410000000149012
FS( 23 ),2236975.060000000055879,2281422.350000000093132,2571515.500000000000000,2559353.750000000000000,9649266.660000000149012
FS( 24 ),2318666.650000000372529,2360032.049999999813735,2572544.500000000000000,2570297.500000000000000,9821540.699999999254942
FS( 25 ),2301082.810000000055879,2338690.050000000279397,2612675.500000000000000,2576735.000000000000000,9829183.359999999403954
FS( 26 ),2317811.880000000353903,2351673.100000000093132,2644574.500000000000000,2614330.000000000000000,9928389.480000000447035
FS( 27 ),2317811.880000000353903,2371058.750000000000000,2649205.000000000000000,2645616.250000000000000,9983691.880000000819564
FS( 28 ),2370441.290000000037253,2396491.300000000279397,2643545.500000000000000,2591798.750000000000000,10002276.839999999850988
FS( 29 ),2377890.000000000000000,2418011.149999999906868,2640973.000000000000000,2617033.750000000000000,10053907.900000000372529
FS( 30 ),2322818.390000000130385,2398803.350000000093132,2656922.500000000000000,2638535.000000000000000,10017079.240000000223517
FS( 31 ),2337837.919999999925494,2414631.999999999534339,2630683.000000000000000,2632870.000000000000000,10016022.919999999925494
FS( 32 ),2340402.229999999981374,2403783.149999999906868,2639944.000000000000000,2643170.000000000000000,10027299.379999998956919
FS( 33 ),2330267.100000000558794,2400226.149999999906868,2617306.000000000000000,2624115.000000000000000,9971914.250000000000000
FS( 34 ),2380942.750000000000000,2425658.699999999720603,2605472.500000000000000,2633127.500000000000000,10045201.449999999254942
FS( 35 ),2389002.010000000242144,2438108.200000000186265,2630168.500000000000000,2633642.500000000000000,10090921.210000000894070
FS( 36 ),2389734.669999999925494,2469587.649999999906868,2657951.500000000000000,2640981.250000000000000,10158255.070000000298023
FS( 37 ),2392665.310000000055879,2475812.399999999906868,2652292.000000000000000,2629908.750000000000000,10150678.460000000894070
FS( 38 ),2411592.360000000335276,2478480.149999999906868,2671328.500000000000000,2625531.250000000000000,10186932.259999999776483
FS( 39 ),2394130.630000000353903,2460873.000000000000000,2663096.500000000000000,2648577.500000000000000,10166677.630000000819564
FS( 40 ),2405731.080000000074506,2463718.600000000093132,2630168.500000000000000,2633642.500000000000000,10133260.679999999701977
FS( 41 ),2433938.490000000223517,2463718.600000000093132,2628110.500000000000000,2655787.500000000000000,10181555.089999999850988
FS( 42 ),2498412.570000000298023,2452691.899999999906868,2619878.500000000000000,2673683.750000000000000,10244666.720000000670552
FS( 43 ),2526009.430000000167638,2487906.199999999720603,2654864.500000000000000,2656173.750000000000000,10324953.879999998956919
FS( 44 ),2515263.750000000000000,2493953.100000000093132,2674415.500000000000000,2698403.750000000000000,10382036.099999999627471
FS( 45 ),2515996.410000000149012,2517429.299999999813735,2680589.500000000000000,2739990.000000000000000,10454005.210000000894070
FS( 46 ),2538708.870000000111759,2514583.699999999720603,2681104.000000000000000,2719776.250000000000000,10454172.820000000298023
FS( 47 ),2512455.220000000204891,2500177.849999999627471,2675444.500000000000000,2731621.250000000000000,10419698.820000000298023
FS( 48 ),2537121.440000000409782,2478124.450000000186265,2654350.000000000000000,2730720.000000000000000,10400315.890000000596046
FS( 49 ),2515141.640000000130385,2498399.350000000093132,2666183.500000000000000,2742436.250000000000000,10422160.740000000223517
FS( 50 ),2580836.820000000298023,2512093.800000000279397,2677502.500000000000000,2738445.000000000000000,10508878.120000001043081
FS( 51 ),2612463.310000000055879,2538771.300000000279397,2681618.500000000000000,2742307.500000000000000,10575160.609999999403954
FS( 52 ),2583645.350000000558794,2549086.599999999627471,2682133.000000000000000,2758015.000000000000000,10572879.949999999254942
FS( 53 ),2631756.690000000409782,2552821.449999999720603,2682647.500000000000000,2751706.250000000000000,10618931.890000000596046
FS( 54 ),2604648.270000000484288,2544640.349999999627471,2684705.500000000000000,2751577.500000000000000,10585571.620000001043081
