代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11116327.809999998658895
真實報酬,1116327.809999998658895

夏普值報酬,0.102932781000000
夏普值風險,0.063051541922409
夏普值,1.632518061599008

二次趨勢線,829.521759182511687 x^2 + -27603.633270141228422 x + 10000000.000000000000000
二次加權預期報酬,40417.150982824728999
風險,401620.633667524787597
二次加權趨勢值,0.100635145693942
一次趨勢線,10655.528842398498455 x + 10000000.000000000000000
一次預期報酬,10655.528842398498455
一次風險,534120.730640876921825
一次趨勢值,0.019949663495767
找到最佳解世代,2252
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
INTC[11](1),
Stock#,INTC[11](1),
張數,213447,
分配資金,10000000.000000000000000,
剩餘資金,8.049999998882413,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9660619.269999997690320,9660619.269999997690320
FS( 3 ),9483458.259999997913837,9483458.259999997913837
FS( 4 ),9549626.830000000074506,9549626.830000000074506
FS( 5 ),9549626.830000000074506,9549626.830000000074506
FS( 6 ),9310566.189999997615814,9310566.189999997615814
FS( 7 ),9071505.549999998882413,9071505.549999998882413
FS( 8 ),9265742.319999998435378,9265742.319999998435378
FS( 9 ),9229456.330000000074506,9229456.330000000074506
FS( 10 ),9208111.629999998956919,9208111.629999998956919
FS( 11 ),9474920.379999998956919,9474920.379999998956919
FS( 12 ),9494130.609999997541308,9494130.609999997541308
FS( 13 ),9566702.589999999850988,9566702.589999999850988
FS( 14 ),9765208.299999998882413,9765208.299999998882413
FS( 15 ),9831376.869999999180436,9831376.869999999180436
FS( 16 ),9713981.019999997690320,9713981.019999997690320
FS( 17 ),9669157.149999998509884,9669157.149999998509884
FS( 18 ),10689433.809999998658895,10689433.809999998658895
FS( 19 ),10668089.109999997541308,10668089.109999997541308
FS( 20 ),10414087.179999997839332,10414087.179999997839332
FS( 21 ),10275346.629999998956919,10275346.629999998956919
FS( 22 ),10170757.599999997764826,10170757.599999997764826
FS( 23 ),9850587.099999997764826,9850587.099999997764826
FS( 24 ),9502668.490000000223517,9502668.490000000223517
FS( 25 ),9585912.819999998435378,9585912.819999998435378
FS( 26 ),9647812.449999999254942,9647812.449999999254942
FS( 27 ),9124867.299999998882413,9124867.299999998882413
FS( 28 ),9381003.699999999254942,9381003.699999999254942
FS( 29 ),9568837.059999998658895,9568837.059999998658895
FS( 30 ),9489861.669999999925494,9489861.669999999925494
FS( 31 ),9686232.910000000149012,9686232.910000000149012
FS( 32 ),9801494.289999999105930,9801494.289999999105930
FS( 33 ),9724653.369999999180436,9724653.369999999180436
FS( 34 ),9886873.089999999850988,9886873.089999999850988
FS( 35 ),9805763.229999998584390,9805763.229999998584390
FS( 36 ),9775880.649999998509884,9775880.649999998509884
FS( 37 ),10187833.359999997541308,10187833.359999997541308
FS( 38 ),10482390.219999998807907,10482390.219999998807907
FS( 39 ),10653147.819999998435378,10653147.819999998435378
FS( 40 ),10520810.679999997839332,10520810.679999997839332
FS( 41 ),10211312.529999999329448,10211312.529999999329448
FS( 42 ),10454642.109999997541308,10454642.109999997541308
FS( 43 ),10618996.299999998882413,10618996.299999998882413
FS( 44 ),10823905.419999999925494,10823905.419999999925494
FS( 45 ),10954108.089999999850988,10954108.089999999850988
FS( 46 ),10830308.830000000074506,10830308.830000000074506
FS( 47 ),11139806.979999998584390,11139806.979999998584390
FS( 48 ),10996797.490000000223517,10996797.490000000223517
FS( 49 ),11052293.709999999031425,11052293.709999999031425
FS( 50 ),11069369.469999998807907,11069369.469999998807907
FS( 51 ),10860191.410000000149012,10860191.410000000149012
FS( 52 ),10922091.039999999105930,10922091.039999999105930
FS( 53 ),10849519.059999998658895,10849519.059999998658895
FS( 54 ),11003200.899999998509884,11003200.899999998509884
FS( 55 ),11005335.369999999180436,11005335.369999999180436
FS( 56 ),10849519.059999998658895,10849519.059999998658895
FS( 57 ),10535751.969999998807907,10535751.969999998807907
FS( 58 ),11201706.609999997541308,11201706.609999997541308
FS( 59 ),10926359.979999998584390,10926359.979999998584390
FS( 60 ),10586979.250000000000000,10586979.250000000000000
FS( 61 ),11116327.809999998658895,11116327.809999998658895
