代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10751393.410000000149012
真實報酬,751393.410000000149012

夏普值報酬,0.066439341000000
夏普值風險,0.022625152272742
夏普值,2.936525694902988

二次趨勢線,127.007158910503222 x^2 + 3832.800323320353073 x + 10000000.000000000000000
二次加權預期報酬,14924.758868170969436
風險,94678.027791847765911
二次加權趨勢值,0.157636985225162
一次趨勢線,10071.663434687452536 x + 10000000.000000000000000
一次預期報酬,10071.663434687452536
一次風險,112703.190073110774392
一次趨勢值,0.089364492949613
找到最佳解世代,1987
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),BA[2](1),JPM[13](3),
Stock#,AAPL[0](2),BA[2](1),JPM[13](3),
張數,31431,25023,52246,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,75.450000000186265,19.169999999925494,38.200000000186265,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3283986.330000000540167,3293045.969999999739230,3325496.100000000093132,9902529.400000000372529
FS( 3 ),3325160.940000000409782,3299802.180000000167638,3378264.560000000055879,10003228.680000001564622
FS( 4 ),3327675.420000000391155,3283287.000000000000000,3373039.960000000428408,9984003.380000000819564
FS( 5 ),3378279.330000000540167,3296298.959999999497086,3463948.000000000000000,10138527.289999999105930
FS( 6 ),3406252.920000000391155,3307809.540000000037253,3453498.799999999813735,10167562.260000001639128
FS( 7 ),3420082.560000000055879,3318569.430000000167638,3441482.220000000204891,10180135.210000000894070
FS( 8 ),3394623.450000000186265,3310061.609999999869615,3410657.080000000074506,10115343.140000000596046
FS( 9 ),3392423.280000000260770,3328078.169999999925494,3420061.359999999869615,10140563.810000000521541
FS( 10 ),3400281.030000000260770,3330580.469999999739230,3412746.919999999925494,10143609.419999999925494
FS( 11 ),3441141.330000000540167,3369616.349999999627471,3433645.320000000298023,10244404.000000000000000
FS( 12 ),3437998.229999999981374,3378124.169999999925494,3433122.859999999869615,10249246.259999999776483
FS( 13 ),3432969.270000000018626,3371117.729999999981374,3442527.140000000130385,10246615.140000000596046
FS( 14 ),3428568.930000000167638,3378124.169999999925494,3445661.900000000372529,10252356.000000000000000
FS( 15 ),3437369.610000000335276,3364111.290000000037253,3440959.760000000242144,10242441.660000000149012
FS( 16 ),3410653.260000000242144,3377873.939999999944121,3437825.000000000000000,10226353.199999999254942
FS( 17 ),3421339.799999999813735,3356604.389999999664724,3436257.620000000111759,10214202.809999998658895
FS( 18 ),3395566.380000000353903,3335334.839999999850988,3445661.900000000372529,10176564.120000001043081
FS( 19 ),3381108.120000000111759,3327577.709999999497086,3451931.419999999925494,10160618.250000000000000
FS( 20 ),3361306.590000000316650,3308810.459999999497086,3459768.320000000298023,10129886.370000001043081
FS( 21 ),3357534.870000000111759,3325575.870000000111759,3497907.900000000372529,10181019.640000000596046
FS( 22 ),3331761.450000000186265,3273277.799999999813735,3526643.200000000186265,10131683.449999999254942
FS( 23 ),3334904.549999999813735,3239246.519999999552965,3526643.200000000186265,10100795.269999999552965
FS( 24 ),3354706.080000000540167,3250506.870000000111759,3511491.859999999869615,10116705.810000000521541
FS( 25 ),3386137.080000000540167,3282035.849999999627471,3526120.739999999757856,10194294.669999999925494
FS( 26 ),3385194.150000000372529,3327827.939999999944121,3523508.439999999944121,10236531.529999999329448
FS( 27 ),3405938.610000000335276,3319069.889999999664724,3508879.560000000055879,10233889.060000000521541
FS( 28 ),3316674.569999999832362,3325575.870000000111759,3513581.700000000186265,10155833.140000000596046
FS( 29 ),3241554.479999999981374,3216225.359999999869615,3482234.100000000558794,9940014.940000001341105
FS( 30 ),3314160.090000000316650,3256011.930000000167638,3503654.960000000428408,10073827.980000000447035
FS( 31 ),3393051.900000000372529,3221980.649999999906868,3475964.580000000074506,10090998.130000000819564
