代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11639771.890000000596046
真實報酬,1639771.890000000596046

夏普值報酬,0.155277189000000
夏普值風險,0.038842897055580
夏普值,3.997569717259153

二次趨勢線,162.753126405707519 x^2 + 10774.055421867054974 x + 10000000.000000000000000
二次加權預期報酬,24987.828461298846378
風險,126328.350373456443776
二次加權趨勢值,0.197800639266079
一次趨勢線,18768.836860193237953 x + 10000000.000000000000000
一次預期報酬,18768.836860193237953
一次風險,148651.240418418339686
一次趨勢值,0.126260882905271
找到最佳解世代,2112
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),WBA[27](1),
Stock#,MCD[15](2),WBA[27](1),
張數,31863,75255,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,58.040000000037253,57.799999999813735,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4951886.870000000111759,5040637.700000000186265,9992524.570000000298023
FS( 3 ),4977377.270000000484288,5058698.899999999441206,10036076.169999999925494
FS( 4 ),4993627.400000000372529,5073749.900000000372529,10067377.300000000745058
FS( 5 ),4971960.559999999590218,5045905.549999999813735,10017866.109999999403954
FS( 6 ),5063726.000000000000000,5003762.749999999068677,10067488.750000000000000
FS( 7 ),5075833.940000000409782,4979681.150000000372529,10055515.089999999850988
FS( 8 ),5056078.879999999888241,5003762.749999999068677,10059841.629999998956919
FS( 9 ),5038872.859999999403954,5003010.200000000186265,10041883.059999998658895
FS( 10 ),5117255.839999999850988,5167066.099999999627471,10284321.939999999478459
FS( 11 ),5094314.479999999515712,5172333.950000000186265,10266648.429999999701977
FS( 12 ),5153261.029999999329448,5239310.900000000372529,10392571.929999999701977
FS( 13 ),5134780.490000000223517,5267155.249999999068677,10401935.739999998360872
FS( 14 ),5151667.879999999888241,5267155.249999999068677,10418823.129999998956919
