代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10821931.280000001192093
真實報酬,821931.280000001192093

夏普值報酬,0.073493128000000
夏普值風險,0.034053147047839
夏普值,2.158189018382177

二次趨勢線,600.269845924038236 x^2 + -22735.180548788965098 x + 10000000.000000000000000
二次加權預期報酬,28087.666406112937693
風險,73343.036085583793465
二次加權趨勢值,0.382962962882223
一次趨勢線,5850.898413010879267 x + 10000000.000000000000000
一次預期報酬,5850.898413010879267
一次風險,281342.800110078474972
一次趨勢值,0.020796332483794
找到最佳解世代,1940
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
IBM[10](3),PFE[20](5),
Stock#,IBM[10](3),PFE[20](5),
張數,34886,283768,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,138.480000000447035,7.839999999850988,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5018140.720000000670552,4951759.439999999478459,9969900.160000000149012
FS( 3 ),5029653.099999999627471,4991486.959999999962747,10021140.059999998658895
FS( 4 ),5121054.419999999925494,4931895.679999999701977,10052950.099999999627471
FS( 5 ),5125589.599999999627471,4875142.080000000074506,10000731.679999999701977
FS( 6 ),5109542.040000000968575,4838252.240000000223517,9947794.280000001192093
FS( 7 ),5098378.519999999552965,4821226.159999999217689,9919604.679999999701977
FS( 8 ),5112681.780000001192093,4775823.279999999329448,9888505.060000000521541
FS( 9 ),5073609.460000000894070,4818388.479999999515712,9891997.940000001341105
FS( 10 ),5014652.120000001043081,4781498.640000000596046,9796150.760000001639128
FS( 11 ),5011163.519999999552965,4753121.839999999850988,9764285.359999999403954
FS( 12 ),4962323.120000001043081,4710556.640000000596046,9672879.760000001639128
FS( 13 ),4952206.179999999701977,4676504.479999999515712,9628710.660000000149012
FS( 14 ),5036281.440000001341105,4775823.279999999329448,9812104.720000000670552
FS( 15 ),5060352.780000001192093,4767310.240000000223517,9827663.020000001415610
FS( 16 ),5072214.019999999552965,4719069.679999999701977,9791283.699999999254942
FS( 17 ),4995115.960000000894070,4702043.599999999627471,9697159.560000000521541
FS( 18 ),5086866.140000000596046,4736095.759999999776483,9822961.900000000372529
FS( 19 ),5020233.880000000819564,4679342.159999999217689,9699576.039999999105930
FS( 20 ),4984999.019999999552965,4699205.919999999925494,9684204.939999999478459
FS( 21 ),4935112.040000000968575,4625426.240000000223517,9560538.280000001192093
FS( 22 ),5038025.740000000223517,4738933.439999999478459,9776959.179999999701977
FS( 23 ),5064887.960000000894070,4736095.759999999776483,9800983.720000000670552
FS( 24 ),5071865.160000000149012,4744608.799999999813735,9816473.960000000894070
FS( 25 ),5058259.620000001043081,4770147.919999999925494,9828407.540000000968575
