代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10983513.099999999627471
真實報酬,983513.099999999627471

夏普值報酬,0.089651310000000
夏普值風險,0.043184273409116
夏普值,2.076017562010782

二次趨勢線,719.791628743855426 x^2 + -26025.480978768093337 x + 10000000.000000000000000
二次加權預期報酬,34916.876921544993820
風險,150501.563097029866185
二次加權趨勢值,0.232003417127527
一次趨勢線,8252.469971175472892 x + 10000000.000000000000000
一次預期報酬,8252.469971175472892
一次風險,358788.493313546234276
一次趨勢值,0.023000932652440
找到最佳解世代,1601
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),MCD[15](4),MSFT[18](1),
Stock#,AAPL[0](3),MCD[15](4),MSFT[18](1),
張數,67380,42387,129903,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,44.399999999906868,19.319999999832362,22.020000000018626,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3351525.600000000093132,3346049.099999999627471,3352818.449999999720603,10050394.149999998509884
FS( 3 ),3365001.599999999627471,3351559.409999999683350,3385294.199999999720603,10101856.209999999031425
FS( 4 ),3338049.599999999627471,3331637.519999999552965,3350220.390000000130385,10019908.509999999776483
FS( 5 ),3336702.000000000000000,3335876.219999999739230,3360612.630000000353903,10033191.849999999627471
FS( 6 ),3346135.199999999720603,3361732.290000000037253,3355416.509999999776483,10063285.000000000000000
FS( 7 ),3363654.000000000000000,3378687.089999999385327,3334632.030000000260770,10076974.120000001043081
FS( 8 ),3342092.399999999906868,3370209.689999999944121,3294362.100000000093132,10006665.189999999478459
FS( 9 ),3336028.199999999720603,3418954.739999999757856,3289165.979999999981374,10044149.919999999925494
FS( 10 ),3277407.600000000093132,3422345.699999999720603,3251494.110000000335276,9951248.410000000149012
FS( 11 ),3208006.199999999720603,3439300.500000000000000,3191738.729999999981374,9839046.429999999701977
FS( 12 ),3235632.000000000000000,3430399.229999999981374,3185243.580000000074506,9851275.810000000521541
FS( 13 ),3271343.399999999906868,3454559.819999999832362,3207327.090000000316650,9933231.310000000521541
FS( 14 ),3278081.399999999906868,3497370.689999999944121,3211224.179999999701977,9986677.269999999552965
FS( 15 ),3226872.600000000093132,3489741.029999999795109,3181346.489999999757856,9897961.119999999180436
FS( 16 ),3218787.000000000000000,3496946.819999999832362,3139777.530000000260770,9855512.350000001490116
FS( 17 ),3197899.200000000186265,3502881.000000000000000,3137179.469999999739230,9837960.669999999925494
FS( 18 ),3241696.199999999720603,3506271.959999999962747,3142375.590000000316650,9890344.750000000000000
FS( 19 ),3224851.199999999720603,3493979.729999999981374,3204729.030000000260770,9923560.960000000894070
FS( 20 ),3247760.399999999906868,3459646.260000000242144,3216420.300000000279397,9923827.960000000894070
FS( 21 ),3348156.599999999627471,3456255.300000000279397,3248896.050000000279397,10053308.950000001117587
FS( 22 ),3325921.199999999720603,3432518.580000000074506,3173552.310000000055879,9931993.089999999850988
FS( 23 ),3331311.599999999627471,3422769.569999999832362,3146272.679999999701977,9900354.849999999627471
FS( 24 ),3305707.200000000186265,3413868.300000000279397,3106002.750000000000000,9825579.250000000000000
