代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12106484.260000001639128
真實報酬,2106484.260000001639128

夏普值報酬,0.201948426000000
夏普值風險,0.055331167488797
夏普值,3.649813209542163

二次趨勢線,222.529943393805155 x^2 + 20450.195813507089042 x + 10000000.000000000000000
二次加權預期報酬,38697.651171799108852
風險,67179.068850872557960
二次加權趨勢值,0.576037325817988
一次趨勢線,30713.711007596968557 x + 10000000.000000000000000
一次預期報酬,30713.711007596968557
一次風險,115912.326143562037032
一次趨勢值,0.264973640245618
找到最佳解世代,1826
找到最佳解實驗#,1
找到最佳解次數,24

stock[index](rank)
投資組合檔數,3
CVX[5](4),DIS[6](2),XOM[29](1),
Stock#,CVX[5](4),DIS[6](2),XOM[29](1),
張數,40306,89798,46731,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,26.799999999813735,31.240000000223517,10.770000000018626,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3405883.799999999813735,3353088.560000000521541,3340342.650000000372529,10099316.010000001639128
FS( 3 ),3421603.139999999664724,3375538.060000000521541,3326790.659999999683350,10123932.859999999403954
FS( 4 ),3424021.500000000000000,3372844.120000000577420,3332398.380000000353903,10129265.000000001862645
FS( 5 ),3478434.599999999627471,3352190.580000000074506,3339408.029999999795109,10170034.209999999031425
FS( 6 ),3471985.639999999664724,3319863.300000000279397,3357633.119999999646097,10149483.059999998658895
FS( 7 ),3492541.700000000186265,3299209.760000000242144,3364642.770000000018626,10156395.230000000447035
FS( 8 ),3507857.979999999981374,3292025.919999999925494,3373054.350000000558794,10172939.250000000000000
FS( 9 ),3561868.020000000018626,3334230.980000000447035,3381465.930000000167638,10277565.929999999701977
FS( 10 ),3562271.079999999608845,3344108.760000000242144,3373054.350000000558794,10279435.190000001341105
FS( 11 ),3547357.859999999869615,3318067.340000000316650,3357633.119999999646097,10223059.320000000298023
FS( 12 ),3589679.159999999683350,3323455.220000000204891,3374923.589999999850988,10288058.969999998807907
FS( 13 ),3566704.739999999757856,3327047.140000000130385,3372587.040000000037253,10266339.919999999925494
FS( 14 ),3579199.599999999627471,3327945.120000000577420,3374923.589999999850988,10282069.310000000521541
FS( 15 ),3596531.180000000167638,3352190.580000000074506,3398289.089999999850988,10347011.849999999627471
FS( 16 ),3624342.319999999832362,3407865.340000000316650,3402027.569999999832362,10434236.230000000447035
FS( 17 ),3654974.879999999888241,3385415.840000000316650,3420719.970000000204891,10461111.690000001341105
FS( 18 ),3632403.520000000018626,3365660.279999999795109,3411841.080000000074506,10409905.879999998956919
FS( 19 ),3675530.939999999944121,3354884.520000000018626,3431000.790000000037253,10461417.250000000000000
FS( 20 ),3682786.020000000018626,3376436.040000000502914,3428664.240000000223517,10487887.300000000745058
FS( 21 ),3692056.399999999441206,3365660.279999999795109,3428196.930000000167638,10485914.609999999403954
FS( 22 ),3677949.299999999813735,3368354.220000000204891,3416981.490000000223517,10463286.009999999776483
FS( 23 ),3705760.439999999944121,3396191.600000000093132,3483806.819999999832362,10585759.859999999403954
FS( 24 ),3692056.399999999441206,3501255.260000000242144,3500162.670000000391155,10693475.330000000074506
FS( 25 ),3685607.439999999944121,3588359.320000000298023,3490816.470000000204891,10764784.230000000447035
