代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10673759.570000000298023
真實報酬,673759.570000000298023

夏普值報酬,0.058675957000000
夏普值風險,0.021852419635211
夏普值,2.685101145753942

二次趨勢線,386.345007194075492 x^2 + -16022.042412840417455 x + 10000000.000000000000000
二次加權預期報酬,17203.628205850072845
風險,77228.289074888278265
二次加權趨勢值,0.222763295832797
一次趨勢線,2666.274214221835791 x + 10000000.000000000000000
一次預期報酬,2666.274214221835791
一次風險,196195.136250611947617
一次趨勢值,0.013589909847796
找到最佳解世代,1843
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](2),VZ[26](1),WMT[28](4),
Stock#,JNJ[12](2),VZ[26](1),WMT[28](4),
張數,30527,61716,48267,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,89.870000000111759,51.840000000316650,13.979999999981374,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3315016.800000000279397,3358636.560000000521541,3335263.679999999701977,10008918.040000000968575
FS( 3 ),3326006.520000000018626,3338270.280000000726432,3313060.859999999869615,9977338.660000000149012
FS( 4 ),3340354.209999999962747,3303092.160000000614673,3332367.660000000149012,9975815.030000001192093
FS( 5 ),3335775.160000000149012,3209283.840000000316650,3292788.719999999739230,9837848.719999998807907
FS( 6 ),3330585.569999999832362,3220392.720000000204891,3285066.000000000000000,9836045.289999999105930
FS( 7 ),3326617.060000000055879,3185214.600000000093132,3253209.780000000260770,9765042.440000001341105
FS( 8 ),3345849.069999999832362,3206198.040000000502914,3320783.580000000074506,9872831.690000001341105
FS( 9 ),3354091.360000000335276,3165465.480000000447035,3337677.030000000260770,9857234.870000001043081
FS( 10 ),3353175.550000000279397,3169785.600000000093132,3320783.580000000074506,9843745.730000000447035
FS( 11 ),3363554.730000000447035,3169168.440000000409782,3333333.000000000000000,9866057.170000001788139
FS( 12 ),3386449.980000000447035,3192620.520000000018626,3371946.600000000093132,9951018.099999999627471
FS( 13 ),3439872.230000000447035,3214221.120000000111759,3367602.569999999832362,10021696.919999999925494
FS( 14 ),3467346.530000000260770,3193854.840000000316650,3340573.049999999813735,10001775.420000001788139
FS( 15 ),3467041.259999999776483,3087703.320000000298023,3304855.469999999739230,9859601.050000000745058
FS( 16 ),3459409.509999999776483,3119795.640000000130385,3316922.219999999739230,9896128.370000001043081
FS( 17 ),3465209.640000000130385,3132756.000000000000000,3353122.469999999739230,9951089.109999999403954
FS( 18 ),3446893.439999999944121,3113006.880000000353903,3344917.080000000074506,9904818.400000000372529
FS( 19 ),3442619.660000000149012,3190151.880000000353903,3350709.120000000111759,9983481.660000000149012
FS( 20 ),3433766.830000000074506,3148802.160000000614673,3326092.949999999720603,9908662.939999999478459
FS( 21 ),3421556.030000000260770,3143864.880000000353903,3227628.270000000018626,9793050.179999999701977
FS( 22 ),3442009.120000000111759,3167316.960000000428408,3262380.510000000242144,9871707.589999999850988
FS( 23 ),3440177.500000000000000,3127818.720000000204891,3233902.979999999981374,9801900.200000001117587
FS( 24 ),3425829.810000000055879,3137693.280000000726432,3243073.709999999962747,9806597.800000000745058
FS( 25 ),3445977.629999999888241,3137693.280000000726432,3244039.049999999813735,9827710.960000000894070
FS( 26 ),3441703.850000000093132,3154973.760000000242144,3294236.729999999981374,9890915.339999999850988
FS( 27 ),3471620.310000000055879,3152505.120000000111759,3328023.629999999888241,9952150.059999998658895
FS( 28 ),3500620.959999999962747,3180894.480000000447035,3320300.910000000149012,10001817.350000001490116
FS( 29 ),3491462.860000000335276,3156825.240000000223517,3205425.449999999720603,9853714.550000000745058
