代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10691551.039999999105930
真實報酬,691551.039999999105930

夏普值報酬,0.060455104000000
夏普值風險,0.021112592439011
夏普值,2.863461897189532

二次趨勢線,366.077296399252077 x^2 + -13727.120644567661657 x + 10000000.000000000000000
二次加權預期報酬,16779.320722036678490
風險,79488.215363880211953
二次加權趨勢值,0.211091929102000
一次趨勢線,3431.654392258067674 x + 10000000.000000000000000
一次預期報酬,3431.654392258067674
一次風險,179085.570842663146323
一次趨勢值,0.019162093160889
找到最佳解世代,1949
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CVX[5](6),JNJ[12](7),MRK[17](1),PFE[20](2),WMT[28](10),
Stock#,CVX[5](6),JNJ[12](7),MRK[17](1),PFE[20](2),WMT[28](10),
張數,20785,32986,58823,104058,35505,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,67.300000000046566,58.819999999832362,18.000000000000000,5.240000000223517,3.350000000093132,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2005404.100000000093132,1999670.139999999664724,1989411.860000000102445,1972944.920000000391155,1983312.650000000139698,9950743.669999999925494
FS( 3 ),2022655.650000000139698,2005607.619999999646097,1935294.699999999953434,1994797.100000000325963,1985442.950000000186265,9943798.019999999552965
FS( 4 ),2018498.650000000139698,2006927.060000000055879,1934706.469999999972060,2008324.640000000363216,1989348.500000000232831,9957805.320000000298023
FS( 5 ),2029930.399999999906868,2007916.639999999664724,1941177.000000000000000,1981269.560000000055879,1990768.700000000186265,9951062.300000000745058
FS( 6 ),2031593.199999999953434,2010225.659999999683350,1957059.210000000195578,1993756.520000000251457,2001775.250000000232831,9994409.839999999850988
FS( 7 ),2000415.699999999953434,2008246.500000000000000,1946471.070000000298023,1982310.140000000363216,2014202.000000000000000,9951645.410000000149012
FS( 8 ),2009976.800000000046566,2009895.799999999813735,1943529.919999999925494,1980228.980000000447035,1973726.300000000279397,9917357.800000000745058
FS( 9 ),2004780.550000000046566,2002309.020000000018626,1945294.610000000102445,1959417.380000000121072,1977276.800000000046566,9889078.360000001266599
FS( 10 ),2015173.050000000046566,2002309.020000000018626,1930588.860000000102445,1982310.140000000363216,1945677.350000000093132,9876058.420000001788139
FS( 11 ),2002494.200000000186265,1999670.139999999664724,1928824.169999999925494,1982310.140000000363216,1951003.100000000093132,9864301.750000000000000
FS( 12 ),2009145.399999999906868,1996371.540000000037253,1938824.080000000074506,2006243.480000000447035,1936801.100000000093132,9887385.599999999627471
FS( 13 ),2019745.750000000000000,2005277.759999999776483,1947059.300000000046566,2015608.700000000419095,1943902.100000000093132,9931593.609999999403954
FS( 14 ),2051962.500000000000000,2015833.279999999795109,1932353.550000000046566,1996878.260000000242144,1966270.250000000232831,9963297.839999999850988
FS( 15 ),2085218.500000000000000,2000659.719999999739230,1902353.820000000298023,1965660.860000000335276,1905556.700000000186265,9859449.600000001490116
FS( 16 ),2125749.250000000000000,1992083.359999999869615,1887648.070000000298023,1952133.320000000298023,1882833.500000000232831,9840447.500000000000000
FS( 17 ),2120760.849999999627471,1987465.319999999832362,1884118.690000000176951,1966701.440000000176951,1849458.800000000279397,9808505.099999999627471
FS( 18 ),2122215.799999999813735,1967343.859999999869615,1893530.369999999878928,1962539.120000000111759,1837387.100000000093132,9783016.250000000000000
FS( 19 ),2156511.049999999813735,2026718.659999999683350,1915883.110000000102445,2002081.160000000149012,1845553.250000000000000,9946747.230000000447035
FS( 20 ),2138843.799999999813735,2002309.020000000018626,1909412.580000000074506,1991675.360000000335276,1848748.700000000186265,9890989.460000000894070
FS( 21 ),2150691.250000000000000,2005937.479999999981374,1916471.339999999850988,1996878.260000000242144,1845198.199999999953434,9915176.529999999329448
FS( 22 ),2165656.450000000186265,2013854.119999999646097,1947059.300000000046566,2057231.900000000139698,1846618.399999999906868,10030420.169999999925494
