代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11533298.079999998211861
真實報酬,1533298.079999998211861

夏普值報酬,0.144629808000000
夏普值風險,0.038860163473723
夏普值,3.721801327413312

二次趨勢線,44.057602117803683 x^2 + 18090.090321207801026 x + 10000000.000000000000000
二次加權預期報酬,21937.787572829314740
風險,133800.389336093357997
二次加權趨勢值,0.163959071282848
一次趨勢線,20254.293906154907745 x + 10000000.000000000000000
一次預期報酬,20254.293906154907745
一次風險,135470.879404667386552
一次趨勢值,0.149510315391494
找到最佳解世代,2318
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
NKE[19](1),PG[21](4),
Stock#,NKE[19](1),PG[21](4),
張數,130242,62774,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,9.620000000111759,50.899999999441206,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5024745.979999999515712,4973007.179999999701977,9997753.160000000149012
FS( 3 ),5009116.940000000409782,4984934.239999999292195,9994051.179999999701977
FS( 4 ),5023443.560000000521541,5090394.559999999590218,10113838.120000001043081
FS( 5 ),4971346.760000000707805,5030759.259999999776483,10002106.019999999552965
FS( 6 ),5018233.879999999888241,5081606.199999999254942,10099840.079999998211861
FS( 7 ),5018233.879999999888241,5114876.419999999925494,10133110.300000000745058
FS( 8 ),4997395.160000000149012,5111109.979999999515712,10108505.140000000596046
FS( 9 ),5031258.080000000074506,5114876.419999999925494,10146134.500000000000000
FS( 10 ),5033862.919999999925494,5144380.199999999254942,10178243.119999999180436
FS( 11 ),5023443.560000000521541,5133708.619999999180436,10157152.179999999701977
FS( 12 ),5115915.379999999888241,5175139.459999999031425,10291054.839999999850988
FS( 13 ),5113310.540000000037253,5190832.959999999031425,10304143.500000000000000
FS( 14 ),5139358.940000000409782,5198365.839999999850988,10337724.780000001192093
FS( 15 ),5140661.360000000335276,5227869.619999999180436,10368530.980000000447035
FS( 16 ),5164104.919999999925494,5234774.759999999776483,10398879.679999999701977
FS( 17 ),5210992.040000000037253,5244190.859999999403954,10455182.899999998509884
FS( 18 ),5175826.700000000186265,5234147.019999999552965,10409973.719999998807907
FS( 19 ),5191455.740000000223517,5229752.839999999850988,10421208.580000000074506
FS( 20 ),5132846.839999999850988,5212176.119999999180436,10345022.959999999031425
FS( 21 ),5115915.379999999888241,5217198.039999999105930,10333113.419999998062849
FS( 22 ),5162802.500000000000000,5209037.419999999925494,10371839.919999999925494
FS( 23 ),5132846.839999999850988,5204015.500000000000000,10336862.339999999850988
FS( 24 ),5204479.940000000409782,5254234.699999999254942,10458714.640000000596046
FS( 25 ),5342536.460000000894070,5258628.879999998956919,10601165.339999999850988
FS( 26 ),5365980.020000000484288,5230380.579999999143183,10596360.599999999627471
FS( 27 ),5329512.260000000707805,5209665.159999999217689,10539177.419999999925494
FS( 28 ),5371189.700000000186265,5250468.259999999776483,10621657.960000000894070
FS( 29 ),5328209.839999999850988,5241052.159999999217689,10569262.000000000000000
FS( 30 ),5329512.260000000707805,5226614.139999999664724,10556126.400000000372529
FS( 31 ),5315185.640000000596046,5264906.279999999329448,10580091.919999999925494
FS( 32 ),5287834.820000000298023,5278088.819999999366701,10565923.640000000596046
FS( 33 ),5308673.540000000037253,5283110.739999999292195,10591784.279999999329448
FS( 34 ),5338629.200000000186265,5284993.959999999031425,10623623.160000000149012
FS( 35 ),5328209.839999999850988,5302570.679999999701977,10630780.519999999552965
FS( 36 ),5255274.320000000298023,5323913.839999999850988,10579188.160000000149012
FS( 37 ),5217504.140000000596046,5300687.459999999031425,10518191.599999999627471
FS( 38 ),5264391.260000000707805,5350906.659999999217689,10615297.919999999925494
FS( 39 ),5194060.580000000074506,5293782.319999999366701,10487842.899999998509884
FS( 40 ),5828339.120000000111759,5309475.819999999366701,11137814.939999999478459
FS( 41 ),5803593.140000000596046,5300687.459999999031425,11104280.599999999627471
FS( 42 ),5808802.820000000298023,5256745.659999999217689,11065548.480000000447035
FS( 43 ),5711121.320000000298023,5219081.259999999776483,10930202.580000000074506
FS( 44 ),5815314.919999999925494,5213431.599999999627471,11028746.519999999552965
FS( 45 ),5880435.919999999925494,5259884.359999999403954,11140320.279999999329448
FS( 46 ),5810105.240000000223517,5246074.079999999143183,11056179.320000000298023
FS( 47 ),5735867.299999999813735,5220336.739999999292195,10956204.039999999105930
FS( 48 ),5785359.260000000707805,5284366.219999999739230,11069725.480000000447035
FS( 49 ),5681165.660000000149012,5251723.739999999292195,10932889.399999998509884
FS( 50 ),5678560.820000000298023,5316380.959999999031425,10994941.779999999329448
FS( 51 ),5561343.020000000484288,5233519.279999999329448,10794862.300000000745058
FS( 52 ),5541806.719999999739230,5244818.599999999627471,10786625.320000000298023
FS( 53 ),5547016.400000000372529,5207154.199999999254942,10754170.599999999627471
FS( 54 ),5668141.460000000894070,5162584.659999999217689,10830726.120000001043081
FS( 55 ),5677258.400000000372529,5227241.879999998956919,10904500.279999999329448
FS( 56 ),5789266.520000000484288,5284366.219999999739230,11073632.740000000223517
FS( 57 ),5902577.060000000521541,5311359.039999999105930,11213936.099999999627471
FS( 58 ),5851782.679999999701977,5287504.919999999925494,11139287.599999999627471
FS( 59 ),5885645.599999999627471,5224730.919999999925494,11110376.519999999552965
FS( 60 ),5919508.520000000484288,5345884.739999999292195,11265393.259999999776483
FS( 61 ),5967698.060000000521541,5395476.199999999254942,11363174.259999999776483
FS( 62 ),6021097.279999999329448,5428118.679999999701977,11449215.959999999031425
FS( 63 ),5988536.779999999329448,5432512.859999999403954,11421049.639999998733401
FS( 64 ),6056262.620000000111759,5457622.459999999031425,11513885.079999998211861
FS( 65 ),6054960.200000000186265,5478337.879999998956919,11533298.079999998211861
