代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10796233.570000000298023
真實報酬,796233.570000000298023

夏普值報酬,0.070923357000000
夏普值風險,0.032079784543267
夏普值,2.210842685191460

二次趨勢線,453.535101964661749 x^2 + -14135.869178778084461 x + 10000000.000000000000000
二次加權預期報酬,24868.149590182823886
風險,80934.195974953297991
二次加權趨勢值,0.307263812170059
一次趨勢線,7802.572962768339494 x + 10000000.000000000000000
一次預期報酬,7802.572962768339494
一次風險,226664.161571918200934
一次趨勢值,0.034423496456861
找到最佳解世代,1697
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,7
IBM[10](3),KO[14](2),MCD[15](15),PG[21](13),TRV[22](5),V[25](12),XOM[29](1),
Stock#,IBM[10](3),KO[14](2),MCD[15](15),PG[21](13),TRV[22](5),V[25](12),XOM[29](1),
張數,10925,50640,20335,23019,28093,79101,23063,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,18.000000000000000,16.599999999860302,37.250000000000000,11.859999999869615,41.949999999953434,6.940000000176951,48.780000000027940,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1424310.250000000000000,1427558.199999999953434,1432638.000000000000000,1379770.719999999739230,1408063.109999999869615,1443600.190000000176951,1446560.139999999897555,9962503.609999999403954
FS( 3 ),1434142.750000000000000,1432115.799999999813735,1437518.399999999906868,1370793.309999999823049,1423795.189999999944121,1432526.050000000046566,1446560.139999999897555,9977454.640000000596046
FS( 4 ),1440260.750000000232831,1427558.199999999953434,1432638.000000000000000,1377929.199999999953434,1423514.260000000009313,1414332.820000000065193,1446329.510000000009313,9962565.740000000223517
FS( 5 ),1421797.499999999767169,1437179.799999999813735,1458870.149999999906868,1381612.239999999990687,1412277.060000000055879,1426988.980000000214204,1429262.889999999897555,9967991.620000001043081
FS( 6 ),1442118.000000000000000,1446294.999999999767169,1482865.449999999953434,1389899.079999999841675,1421828.679999999934807,1477613.620000000111759,1440333.130000000121072,10100955.960000000894070
FS( 7 ),1440370.000000000000000,1442750.199999999720603,1481238.650000000139698,1399106.679999999934807,1387836.149999999906868,1488687.760000000242144,1428340.370000000111759,10068332.809999998658895
FS( 8 ),1418410.750000000232831,1418949.399999999906868,1455413.199999999953434,1387366.989999999990687,1375475.229999999981374,1453883.320000000065193,1392823.350000000093132,9902325.240000000223517
FS( 9 ),1401695.500000000232831,1410340.599999999860302,1465377.350000000093132,1380921.669999999925494,1394297.540000000037253,1443600.190000000176951,1389133.270000000018626,9885369.119999999180436
FS( 10 ),1396997.750000000000000,1411353.399999999906868,1461920.399999999906868,1377008.439999999944121,1408624.969999999972060,1428571.000000000000000,1381753.109999999869615,9866232.070000000298023
FS( 11 ),1395905.250000000000000,1414898.199999999953434,1459886.900000000139698,1375857.489999999990687,1402163.579999999841675,1440436.150000000139698,1381061.219999999972060,9870211.790000000968575
FS( 12 ),1403334.249999999767169,1420974.999999999767169,1488965.949999999953434,1387827.369999999878928,1402163.579999999841675,1450719.280000000260770,1402740.439999999944121,9956728.869999999180436
FS( 13 ),1413603.749999999767169,1413885.399999999906868,1489576.000000000000000,1398416.109999999869615,1406939.389999999897555,1441227.160000000149012,1387288.229999999981374,9950939.039999999105930
FS( 14 ),1408250.500000000000000,1399706.199999999953434,1483882.199999999953434,1385525.469999999739230,1400197.070000000065193,1416705.850000000093132,1367454.050000000046566,9861724.340000001713634
FS( 15 ),1392955.500000000000000,1400212.599999999860302,1486119.050000000046566,1380691.479999999748543,1407220.320000000065193,1385856.460000000195578,1358228.850000000093132,9811287.259999999776483
FS( 16 ),1381702.750000000000000,1407808.599999999860302,1491406.150000000139698,1381842.429999999934807,1397387.770000000018626,1386647.470000000204891,1372297.280000000027940,9819095.449999999254942
FS( 17 ),1364550.500000000000000,1409327.799999999813735,1478798.449999999953434,1373325.399999999906868,1383903.129999999888241,1397721.610000000335276,1359382.000000000000000,9767011.890000000596046
FS( 18 ),1368592.750000000000000,1402744.599999999860302,1488355.899999999906868,1373555.589999999850988,1391207.310000000055879,1401676.660000000149012,1358690.109999999869615,9784825.919999999925494
FS( 19 ),1341389.500000000000000,1396667.799999999813735,1487745.849999999860302,1370563.119999999878928,1377441.739999999990687,1382692.420000000158325,1348773.020000000018626,9705276.449999999254942
FS( 20 ),1362693.250000000000000,1421987.799999999813735,1504623.899999999906868,1376548.059999999823049,1401039.859999999869615,1406422.720000000204891,1379216.179999999934807,9852534.769999999552965
FS( 21 ),1348163.000000000000000,1406795.799999999813735,1479205.149999999906868,1366649.889999999897555,1375194.300000000046566,1375573.330000000307336,1360765.780000000027940,9712350.249999998137355
