代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12449410.150000000372529
真實報酬,2449410.150000000372529

夏普值報酬,0.236241015000000
夏普值風險,0.073451849448451
夏普值,3.216270478877391

二次趨勢線,239.256619660717462 x^2 + 28320.211014649205026 x + 10000000.000000000000000
二次加權預期報酬,48577.271479256611201
風險,114848.967648077217746
二次加權趨勢值,0.422966548799186
一次趨勢線,39714.101059594111575 x + 10000000.000000000000000
一次預期報酬,39714.101059594111575
一次風險,157831.117792824603384
一次趨勢值,0.251624024558480
找到最佳解世代,1957
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),CAT[3](5),DIS[6](4),MCD[15](2),
Stock#,AAPL[0](1),CAT[3](5),DIS[6](4),MCD[15](2),
張數,89863,47223,84688,39129,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,11.339999999850988,14.379999999888241,10.240000000223517,48.189999999944121,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2514378.080000000074506,2528806.029999999795109,2538956.480000000447035,2505478.060000000055879,10087618.650000000372529
FS( 3 ),2557512.319999999832362,2521250.350000000093132,2604166.240000000223517,2551650.279999999795109,10234579.189999999478459
FS( 4 ),2465852.060000000055879,2427276.579999999608845,2512703.200000000186265,2506651.930000000167638,9912483.769999999552965
FS( 5 ),2508986.299999999813735,2443804.629999999888241,2501693.760000000242144,2479652.919999999925494,9934137.609999999403954
FS( 6 ),2491912.330000000074506,2397998.319999999832362,2496612.480000000447035,2462044.870000000111759,9848568.000000000000000
FS( 7 ),2518871.229999999981374,2527861.569999999832362,2527100.160000000149012,2487478.719999999739230,10061311.679999999701977
FS( 8 ),2504493.149999999906868,2509916.829999999608845,2543190.880000000353903,2474957.439999999944121,10032558.299999998882413
FS( 9 ),2550323.279999999795109,2651585.829999999608845,2554200.320000000298023,2496087.100000000093132,10252196.529999999329448
FS( 10 ),2572789.029999999795109,2653946.979999999981374,2546578.400000000372529,2488261.300000000279397,10261575.710000000894070
FS( 11 ),2611430.119999999646097,2697392.139999999664724,2580453.600000000093132,2504695.479999999981374,10393971.339999999850988
FS( 12 ),2600646.560000000055879,2715336.879999999888241,2613481.920000000391155,2514477.729999999981374,10443943.089999999850988
FS( 13 ),2605139.709999999497086,2729976.009999999776483,2627032.000000000000000,2523086.109999999869615,10485233.829999998211861
FS( 14 ),2588964.369999999646097,2750754.129999999888241,2644816.480000000447035,2533259.649999999906868,10517794.630000000819564
FS( 15 ),2572789.029999999795109,2740365.069999999832362,2635500.800000000279397,2534433.520000000018626,10483088.419999999925494
FS( 16 ),2529654.789999999571592,2675669.559999999590218,2618563.200000000186265,2538346.419999999925494,10362233.969999998807907
FS( 17 ),2576383.549999999813735,2689836.459999999962747,2658366.560000000055879,2553606.729999999981374,10478193.300000000745058
FS( 18 ),2593457.520000000018626,2681808.549999999813735,2655825.920000000391155,2519173.209999999962747,10450265.199999999254942
FS( 19 ),2626706.830000000074506,2694086.529999999795109,2645663.359999999869615,2498434.839999999850988,10464891.559999998658895
FS( 20 ),2683320.520000000018626,2731864.930000000167638,2671069.760000000242144,2503521.609999999869615,10589776.820000000298023
FS( 21 ),2681523.259999999776483,2746031.829999999608845,2699863.680000000167638,2507043.219999999739230,10634461.989999998360872
FS( 22 ),2686915.039999999571592,2765865.489999999757856,2679538.560000000055879,2489826.459999999962747,10622145.550000000745058
FS( 23 ),2704887.640000000130385,2760198.729999999981374,2758298.400000000372529,2482000.660000000149012,10705385.429999999701977
FS( 24 ),2810925.979999999981374,2797032.669999999925494,2813345.600000000093132,2491391.620000000111759,10912695.870000001043081
FS( 25 ),2812723.239999999757856,2781921.309999999590218,2810804.959999999962747,2548128.669999999925494,10953578.179999997839332
FS( 26 ),2863046.520000000018626,2794671.520000000018626,2820967.520000000484288,2547346.089999999850988,11026031.650000000372529
FS( 27 ),2886410.899999999441206,2775782.319999999832362,2822661.280000000260770,2541085.449999999720603,11025939.949999999254942
FS( 28 ),2894498.569999999832362,2781449.079999999608845,2863311.520000000484288,2551650.279999999795109,11090909.449999999254942
FS( 29 ),2908876.649999999441206,2850394.659999999683350,2853148.959999999962747,2564171.560000000055879,11176591.830000000074506
FS( 30 ),2873830.080000000074506,2808366.189999999944121,2855689.600000000093132,2579823.160000000149012,11117709.029999999329448
FS( 31 ),2881019.120000000111759,2807421.729999999981374,2858230.240000000223517,2585301.219999999739230,11131972.309999998658895
FS( 32 ),2877424.600000000093132,2843783.439999999944121,2858230.240000000223517,2597431.209999999962747,11176869.490000002086163
FS( 33 ),2883715.010000000242144,2822533.089999999850988,2860770.880000000353903,2609169.910000000149012,11176188.890000000596046
FS( 34 ),2853161.589999999850988,2803643.889999999664724,2848914.560000000055879,2603300.560000000055879,11109020.599999999627471
FS( 35 ),2885512.270000000018626,2831033.229999999981374,2875167.840000000316650,2622082.479999999981374,11213795.820000000298023
FS( 36 ),2931342.399999999441206,2947201.809999999590218,2880249.120000000111759,2635386.339999999850988,11394179.669999998062849
FS( 37 ),2944821.850000000093132,2930673.759999999776483,2912430.560000000055879,2613865.389999999664724,11401791.559999998658895
FS( 38 ),2909775.280000000260770,2934451.600000000093132,2971712.160000000614673,2617778.290000000037253,11433717.330000001937151
FS( 39 ),2964591.709999999962747,2948618.500000000000000,2990343.520000000484288,2631864.729999999981374,11535418.460000000894070
FS( 40 ),2983462.939999999944121,2997730.419999999925494,2977640.319999999832362,2624430.219999999739230,11583263.899999998509884
FS( 41 ),3027495.809999999590218,2982619.059999999590218,2972559.040000000502914,2631082.149999999906868,11613756.060000000521541
FS( 42 ),3016712.250000000000000,2967979.930000000167638,2956468.319999999832362,2610735.069999999832362,11551895.570000000298023
FS( 43 ),3029293.069999999832362,3021814.149999999906868,3010668.640000000130385,2644386.009999999776483,11706161.869999999180436
FS( 44 ),3061643.750000000000000,3069037.149999999441206,2982721.600000000093132,2661994.060000000055879,11775396.560000000521541
FS( 45 ),3075123.199999999720603,3083204.050000000279397,3003893.600000000093132,2653385.680000000167638,11815606.529999999329448
FS( 46 ),3088602.649999999441206,3044481.189999999944121,2991190.400000000372529,2649081.490000000223517,11773355.730000000447035
