代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10950665.610000001266599
真實報酬,950665.610000001266599

夏普值報酬,0.086366561000000
夏普值風險,0.031053036453674
夏普值,2.781259769196641

二次趨勢線,281.574524823347645 x^2 + -1093.638357827575419 x + 10000000.000000000000000
二次加權預期報酬,22746.338077215859812
風險,47182.999622363400704
二次加權趨勢值,0.482087579409316
一次趨勢線,12315.516966043298453 x + 10000000.000000000000000
一次預期報酬,12315.516966043298453
一次風險,135864.984185386827448
一次趨勢值,0.090645261101557
找到最佳解世代,2026
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CSCO[4](12),CVX[5](16),INTC[11](1),TRV[22](2),UNH[23](8),
Stock#,CSCO[4](12),CVX[5](16),INTC[11](1),TRV[22](2),UNH[23](8),
張數,86580,16806,76952,23699,24437,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,1.999999999767169,86.000000000000000,17.520000000018626,41.389999999897555,75.919999999925494,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1990476.199999999720603,2005882.099999999860302,1992304.800000000046566,2006161.739999999990687,1994379.489999999990687,9989204.330000000074506
FS( 3 ),1999134.199999999720603,2000672.239999999990687,2032319.840000000083819,2013982.409999999916181,2010019.169999999925494,10056127.859999999403954
FS( 4 ),1966233.799999999813735,1996638.800000000046566,2013081.840000000083819,2019196.189999999944121,1992424.530000000027940,9987575.159999998286366
FS( 5 ),1978355.000000000000000,1972102.040000000037253,2038476.000000000000000,2014456.389999999897555,1981427.879999999888241,9984817.309999998658895
FS( 6 ),1986147.199999999953434,1979832.800000000046566,2070795.840000000083819,2008057.659999999916181,1971164.339999999850988,10015997.839999999850988
FS( 7 ),2001731.599999999860302,2001680.599999999860302,2076182.479999999981374,2033889.569999999832362,1989003.349999999860302,10102487.599999999627471
FS( 8 ),1961038.999999999534339,1961178.139999999897555,2033858.879999999888241,2014219.399999999674037,1954791.549999999813735,9925086.969999998807907
FS( 9 ),1944588.799999999813735,1966892.179999999934807,2014620.879999999888241,2021566.089999999850988,1929377.070000000065193,9877045.019999999552965
FS( 10 ),1978355.000000000000000,1994958.199999999953434,2043862.639999999897555,2026305.889999999897555,1934997.580000000074506,9978479.309999998658895
FS( 11 ),1981818.199999999720603,2021847.800000000046566,2060022.560000000055879,2035548.500000000000000,1943061.790000000037253,10042298.850000001490116
