代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11175068.440000001341105
真實報酬,1175068.440000001341105

夏普值報酬,0.108806844000000
夏普值風險,0.041242176181788
夏普值,2.638242063668020

二次趨勢線,331.902882822693414 x^2 + 192.076410732317072 x + 10000000.000000000000000
二次加權預期報酬,28735.724333483951341
風險,102845.900692732102470
二次加權趨勢值,0.279405636393193
一次趨勢線,16246.913533318424015 x + 10000000.000000000000000
一次預期報酬,16246.913533318424015
一次風險,185967.779670217307284
一次趨勢值,0.087364131367969
找到最佳解世代,2050
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AXP[1](1),MCD[15](2),PG[21](3),
Stock#,AXP[1](1),MCD[15](2),PG[21](3),
張數,77249,44509,53129,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,38.649999999906868,53.989999999757856,19.540000000037253,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3323290.630000000353903,3324431.199999999720603,3315800.429999999701977,9963523.259999999776483
FS( 3 ),3422169.349999999627471,3393420.149999999441206,3323238.489999999757856,10138828.989999998360872
FS( 4 ),3377364.929999999701977,3384073.259999999776483,3295611.410000000149012,10057050.599999999627471
FS( 5 ),3376592.439999999944121,3395645.600000000093132,3278610.129999999888241,10050849.169999999925494
FS( 6 ),3494783.410000000149012,3362263.850000000093132,3296673.989999999757856,10153722.250000000000000
FS( 7 ),3480106.099999999627471,3372946.009999999776483,3294017.540000000037253,10147070.649999998509884
FS( 8 ),3400539.630000000353903,3413004.109999999869615,3266921.750000000000000,10080466.490000000223517
FS( 9 ),3420624.370000000111759,3415229.560000000055879,3266921.750000000000000,10102776.679999999701977
FS( 10 ),3392042.239999999757856,3368050.020000000018626,3259483.689999999944121,10019576.949999999254942
FS( 11 ),3371185.009999999776483,3343570.069999999832362,3222824.679999999701977,9937580.759999999776483
FS( 12 ),3272306.290000000037253,3266124.409999999683350,3173414.709999999962747,9711846.410000000149012
FS( 13 ),3354190.229999999981374,3267014.589999999850988,3210605.010000000242144,9831810.830000000074506
FS( 14 ),3412126.979999999981374,3248765.899999999441206,3219636.939999999944121,9880530.819999998435378
FS( 15 ),3423714.330000000074506,3283037.830000000074506,3256827.239999999757856,9963580.400000000372529
FS( 16 ),3456931.399999999906868,3287933.819999999832362,3237169.510000000242144,9982035.730000000447035
FS( 17 ),3477788.630000000353903,3317309.759999999776483,3236106.929999999701977,10031206.320000000298023
FS( 18 ),3521820.560000000055879,3335113.359999999869615,3248326.600000000093132,10105261.519999999552965
FS( 19 ),3521820.560000000055879,3349356.239999999757856,3234513.060000000055879,10105690.859999999403954
FS( 20 ),3531862.929999999701977,3338228.989999999757856,3222824.679999999701977,10092917.599999999627471
FS( 21 ),3526455.500000000000000,3354697.319999999832362,3255764.660000000149012,10136918.480000000447035
FS( 22 ),3546540.239999999757856,3374281.279999999795109,3292423.669999999925494,10213246.189999999478459
FS( 23 ),3491693.450000000186265,3386743.799999999813735,3272765.939999999944121,10151204.189999999478459
FS( 24 ),3504053.290000000037253,3382292.899999999441206,3298267.859999999869615,10184615.049999998882413
FS( 25 ),3508688.229999999981374,3400096.500000000000000,3307831.080000000074506,10216616.810000000521541
FS( 26 ),3508688.229999999981374,3409443.389999999664724,3276484.970000000204891,10194617.589999999850988
FS( 27 ),3575122.370000000111759,3414784.469999999739230,3281266.580000000074506,10271174.419999999925494
FS( 28 ),3565852.489999999757856,3383183.080000000074506,3300924.310000000055879,10249960.880000000819564
FS( 29 ),3575122.370000000111759,3384518.350000000093132,3288704.640000000130385,10248346.360000001266599
FS( 30 ),3582847.270000000018626,3393865.239999999757856,3304112.049999999813735,10280825.559999998658895
FS( 31 ),3555037.630000000353903,3412113.929999999701977,3341302.350000000093132,10308454.910000000149012
FS( 32 ),3561217.549999999813735,3422351.000000000000000,3346615.250000000000000,10330184.800000000745058
FS( 33 ),3544222.770000000018626,3430362.619999999646097,3363085.239999999757856,10337671.629999998956919
FS( 34 ),3572804.899999999906868,3444160.409999999683350,3409838.760000000242144,10426805.070000000298023
FS( 35 ),3558127.589999999850988,3427246.989999999757856,3400275.540000000037253,10385651.120000001043081
FS( 36 ),3602932.009999999776483,3409443.389999999664724,3392837.479999999981374,10405213.879999998956919
FS( 37 ),3630741.649999999906868,3489559.589999999850988,3385399.419999999925494,10505701.660000000149012
FS( 38 ),3639239.040000000037253,3423241.179999999701977,3361491.370000000111759,10423972.589999999850988
FS( 39 ),3634604.099999999627471,3433033.159999999683350,3366804.270000000018626,10434442.529999999329448
FS( 40 ),3638466.549999999813735,3424576.449999999720603,3391243.609999999869615,10454287.609999999403954
FS( 41 ),3678636.029999999795109,3465969.819999999832362,3401338.119999999646097,10545944.969999998807907
FS( 42 ),3748160.130000000353903,3473091.259999999776483,3426840.040000000037253,10648092.429999999701977
FS( 43 ),3791419.569999999832362,3485553.779999999795109,3448091.640000000130385,10725065.990000000223517
FS( 44 ),3835451.500000000000000,3500241.750000000000000,3462967.760000000242144,10798662.009999999776483
FS( 45 ),3854763.750000000000000,3513594.449999999720603,3491126.129999999888241,10859485.329999998211861
FS( 46 ),3839313.950000000186265,3519380.619999999646097,3531504.169999999925494,10890199.740000000223517
FS( 47 ),3825409.130000000353903,3498461.389999999664724,3500158.059999999590218,10824029.579999998211861
FS( 48 ),3877938.450000000186265,3502912.290000000037253,3467749.369999999646097,10848601.109999999403954
FS( 49 ),3877165.959999999962747,3530062.779999999795109,3460842.600000000093132,10868072.339999999850988
FS( 50 ),3875620.979999999981374,3547866.379999999422580,3492188.710000000428408,10915677.070000000298023
FS( 51 ),3849356.319999999832362,3538964.580000000074506,3502283.220000000204891,10890605.120000001043081
FS( 52 ),3826954.109999999869615,3590149.929999999701977,3551161.900000000372529,10968266.939999999478459
FS( 53 ),3823091.660000000149012,3593710.649999999441206,3552224.479999999981374,10969027.789999999105930
FS( 54 ),3867896.080000000074506,3611514.250000000000000,3556474.799999999813735,11035886.129999998956919
FS( 55 ),3921197.889999999664724,3602167.359999999869615,3581976.720000000204891,11105342.970000000670552
FS( 56 ),3944372.589999999850988,3627537.489999999757856,3579851.559999999590218,11151762.640000000596046
FS( 57 ),4003081.830000000074506,3672491.580000000074506,3584101.879999999888241,11259676.289999999105930
FS( 58 ),3954414.959999999962747,3664479.959999999497086,3578788.979999999981374,11197684.900000000372529
FS( 59 ),3949007.529999999795109,3672046.489999999757856,3562318.989999999757856,11183374.009999999776483
FS( 60 ),3905748.089999999850988,3678277.750000000000000,3560193.830000000540167,11144220.669999999925494
FS( 61 ),3894160.739999999757856,3681838.469999999739230,3526722.559999999590218,11102722.769999999552965
